2015-06-30-22 28 06.173	-0.535553 0.6902008 8.946777
2015-06-30-22 28 06.180	0.046447754 1.5780792 7.8625183
2015-06-30-22 28 06.185	1.0343018 2.231491 7.5233154
2015-06-30-22 28 06.190	1.7769775 2.5885468 7.981537
2015-06-30-22 28 06.194	2.3173218 2.7908783 8.994385
2015-06-30-22 28 06.199	2.6862793 2.8587189 10.083405
2015-06-30-22 28 06.204	2.8778992 2.8182526 11.212891
2015-06-30-22 28 06.219	2.8136292 2.5730743 12.1091
2015-06-30-22 28 06.220	2.530365 2.3552704 13.06958
2015-06-30-22 28 06.221	2.0376282 1.9970245 13.876526
2015-06-30-22 28 06.224	1.4175415 1.5887909 14.344269
2015-06-30-22 28 06.231	0.8474426 1.2007904 14.641815
2015-06-30-22 28 06.234	0.5689392 0.79374695 14.594208
2015-06-30-22 28 06.239	0.29638672 0.44145203 14.253815
2015-06-30-22 28 06.245	0.030975342 0.1474762 13.534943
2015-06-30-22 28 06.250	-0.122558594 -0.103652954 12.766083
2015-06-30-22 28 06.254	-0.26895142 -0.35121155 11.85321
2015-06-30-22 28 06.259	-0.44152832 -0.578537 10.729675
2015-06-30-22 28 06.265	-0.53674316 -0.70588684 9.822754
2015-06-30-22 28 06.270	-0.5664978 -0.7677765 9.003906
2015-06-30-22 28 06.274	-0.535553 -0.67256165 8.214813
2015-06-30-22 28 06.281	-0.39868164 -0.37620544 7.6958923
2015-06-30-22 28 06.285	-0.30465698 -0.08103943 6.6830444
2015-06-30-22 28 06.290	-0.07495117 0.15342712 6.7235107
2015-06-30-22 28 06.297	0.30828857 0.4438324 6.7746887
2015-06-30-22 28 06.301	0.70462036 0.70448303 6.8175354
2015-06-30-22 28 06.305	0.9736023 0.9722748 6.9139404
2015-06-30-22 28 06.310	1.0759583 1.1496124 7.000824
2015-06-30-22 28 06.315	1.1140442 1.4114532 7.097229
2015-06-30-22 28 06.320	1.0235901 1.5388031 7.23053
2015-06-30-22 28 06.325	0.8974304 1.6875763 7.36145
2015-06-30-22 28 06.330	0.70700073 1.826828 7.55188
2015-06-30-22 28 06.335	0.44277954 1.9494171 7.6137695
2015-06-30-22 28 06.340	0.14523315 1.9303741 7.769684
2015-06-30-22 28 06.345	-0.0809021 1.9006195 7.775635
2015-06-30-22 28 06.350	-0.35107422 1.845871 7.720886
2015-06-30-22 28 06.355	-0.56173706 1.7185211 7.6328125
2015-06-30-22 28 06.360	-0.72003174 1.6256866 7.4733276
2015-06-30-22 28 06.365	-0.7831116 1.4971466 7.212677
2015-06-30-22 28 06.370	-0.89260864 1.3638458 7.0305786
