2015-07-02-19 25 33.370	0.3392334 1.3567047 10.870117
2015-07-02-19 25 33.376	0.4796753 1.2757721 10.936768
2015-07-02-19 25 33.381	0.46539307 1.1757965 10.933197
2015-07-02-19 25 33.386	0.56417847 1.0793915 10.936768
2015-07-02-19 25 33.391	0.6451111 1.0555878 10.909393
2015-07-02-19 25 33.396	0.63082886 0.95085144 10.754669
2015-07-02-19 25 33.401	0.6213074 0.9365692 10.378571
2015-07-02-19 25 33.408	0.56536865 0.83540344 10.290497
2015-07-02-19 25 33.412	0.535614 0.7973175 10.338104
2015-07-02-19 25 33.416	0.42730713 0.78660583 10.464264
2015-07-02-19 25 33.421	0.24163818 0.7961273 10.6297
2015-07-02-19 25 33.428	0.10714722 0.7389984 10.8784485
2015-07-02-19 25 33.432	0.0178833 0.7996979 11.010559
2015-07-02-19 25 33.436	-0.044006348 0.8306427 11.158142
2015-07-02-19 25 33.441	-0.17730713 0.82588196 11.355713
2015-07-02-19 25 33.446	-0.28085327 0.8246918 11.428314
2015-07-02-19 25 33.452	-0.4260559 0.8377838 11.496155
2015-07-02-19 25 33.458	-0.4605713 0.8639679 11.560425
2015-07-02-19 25 33.463	-0.60458374 0.8782501 11.46759
2015-07-02-19 25 33.467	-0.6402893 0.9210968 11.3533325
2015-07-02-19 25 33.472	-0.6581421 1.0127411 11.170044
2015-07-02-19 25 33.476	-0.6414795 1.0294037 10.871307
2015-07-02-19 25 33.484	-0.6664734 1.0901031 10.490448
2015-07-02-19 25 33.487	-0.6676636 1.1615143 10.073883
2015-07-02-19 25 33.495	-0.631958 1.3174286 9.662079
2015-07-02-19 25 33.497	-0.696228 1.3745575 9.115784
2015-07-02-19 25 33.502	-0.65457153 1.4662018 8.764679
2015-07-02-19 25 33.507	-0.6676636 1.5304718 8.268372
2015-07-02-19 25 33.512	-0.49032593 1.5887909 7.854187
2015-07-02-19 25 33.517	-0.43319702 1.6947174 7.5423584
2015-07-02-19 25 33.522	-0.34274292 1.6970978 7.3566895
2015-07-02-19 25 33.528	-0.20944214 1.7339935 7.1198425
2015-07-02-19 25 33.532	-0.08328247 1.8661041 6.8389587
2015-07-02-19 25 33.537	-0.12612915 1.8815765 6.704468
2015-07-02-19 25 33.542	-0.14398193 1.942276 6.572357
2015-07-02-19 25 33.548	-0.14993286 1.8768158 6.4473877
2015-07-02-19 25 33.552	-0.15707397 2.0017853 6.2843323
2015-07-02-19 25 33.558	-0.2713318 2.0303497 6.2022095
2015-07-02-19 25 33.562	-0.34155273 2.0208282 6.1641235
2015-07-02-19 25 33.567	-0.45581055 1.9922638 6.148651
2015-07-02-19 25 33.572	-0.55459595 2.0267792 6.186737
2015-07-02-19 25 33.579	-0.5522156 2.0696259 6.2652893
2015-07-02-19 25 33.582	-0.5319824 2.0434418 6.512848
2015-07-02-19 25 33.587	-0.51651 2.0101166 6.8389587
2015-07-02-19 25 33.594	-0.58673096 2.0565338 7.174591
2015-07-02-19 25 33.597	-0.60220337 2.0160675 7.4459534
2015-07-02-19 25 33.603	-0.56173706 2.063675 7.7494507
2015-07-02-19 25 33.608	-0.5403137 2.0493927 7.783966
2015-07-02-19 25 33.613	-0.42962646 2.0267792 7.8589478
2015-07-02-19 25 33.617	-0.5177002 1.9732208 7.7934875
2015-07-02-19 25 33.622	-0.5022278 2.083908 7.80896
2015-07-02-19 25 33.628	-0.54626465 2.1422272 7.7423096
2015-07-02-19 25 33.633	-0.6581421 2.1624603 7.776825
2015-07-02-19 25 33.637	-0.6724243 2.1755524 7.6697083
