2015-07-04-23 13 21.731	0.45230103 0.8699188 11.561615
2015-07-04-23 13 21.736	0.36660767 1.0948639 11.130768
2015-07-04-23 13 21.741	-0.124938965 1.2067413 10.686829
2015-07-04-23 13 21.746	-0.8795166 1.3805084 10.146484
2015-07-04-23 13 21.751	-1.6614685 1.609024 9.960815
2015-07-04-23 13 21.756	-2.3136902 1.8196869 10.067932
2015-07-04-23 13 21.761	-2.8492737 1.7268524 10.527344
2015-07-04-23 13 21.766	-3.120636 1.5733185 11.430695
2015-07-04-23 13 21.771	-3.2206116 1.3602753 12.560181
2015-07-04-23 13 21.776	-3.3241577 1.2126923 13.747986
2015-07-04-23 13 21.781	-3.5800476 1.0972443 15.194061
2015-07-04-23 13 21.786	-3.7002563 0.9472809 16.668701
2015-07-04-23 13 21.791	-3.7657166 0.6187897 17.782715
2015-07-04-23 13 21.796	-3.5990906 0.5342865 18.675354
2015-07-04-23 13 21.801	-3.409851 0.3950348 19.179993
2015-07-04-23 13 21.806	-3.3098755 0.21888733 18.727722
2015-07-04-23 13 21.813	-3.2527466 0.13795471 17.81366
2015-07-04-23 13 21.817	-3.0575562 0.29267883 16.53421
2015-07-04-23 13 21.821	-2.8814087 0.4343109 15.1440735
2015-07-04-23 13 21.826	-2.7373962 0.7330475 13.745605
2015-07-04-23 13 21.831	-2.4362793 0.8044586 12.689911
2015-07-04-23 13 21.837	-2.2363281 0.903244 11.548523
2015-07-04-23 13 21.841	-2.1220703 1.0877228 10.677307
2015-07-04-23 13 21.846	-1.9423523 1.2781525 9.766815
2015-07-04-23 13 21.851	-1.8947449 1.4947662 9.007477
2015-07-04-23 13 21.857	-1.7923889 1.6363983 8.19696
2015-07-04-23 13 21.861	-1.7090759 1.7637482 7.5435486
2015-07-04-23 13 21.866	-1.4496155 1.8446808 6.994873
2015-07-04-23 13 21.872	-1.1151733 1.858963 6.65329
2015-07-04-23 13 21.877	-0.9354553 1.9279938 6.3819275
2015-07-04-23 13 21.882	-0.74264526 1.891098 6.007019
2015-07-04-23 13 21.887	-0.53674316 1.9065704 5.672577
2015-07-04-23 13 21.892	-0.368927 1.9160919 5.365509
2015-07-04-23 13 21.897	-0.23086548 1.9982147 5.0429688
2015-07-04-23 13 21.902	-0.13922119 1.9756012 4.8501587
2015-07-04-23 13 21.907	-0.19039917 2.0482025 4.609741
2015-07-04-23 13 21.912	-0.40463257 2.089859 4.383606
2015-07-04-23 13 21.917	-0.57244873 2.1315155 4.3038635
2015-07-04-23 13 21.922	-0.77716064 2.2207794 4.352661
2015-07-04-23 13 21.927	-0.9556885 2.385025 4.5930786
2015-07-04-23 13 21.932	-1.1318359 2.411209 5.019165
2015-07-04-23 13 21.937	-1.1508789 2.423111 5.486908
2015-07-04-23 13 21.942	-1.2472839 2.5099945 5.8225403
2015-07-04-23 13 21.947	-1.3484497 2.54451 6.0998535
2015-07-04-23 13 21.952	-1.1139832 2.5183258 6.2795715
2015-07-04-23 13 21.958	-1.0282898 2.4671478 6.391449
2015-07-04-23 13 21.963	-0.88427734 2.429062 6.4021606
2015-07-04-23 13 21.967	-0.7402649 2.3933563 6.4093018
2015-07-04-23 13 21.972	-0.5736389 2.2671967 6.322418
2015-07-04-23 13 21.978	-0.41177368 2.2898102 6.1307983
2015-07-04-23 13 21.982	-0.24276733 2.314804 6.01416
2015-07-04-23 13 21.987	-0.03805542 2.3671722 5.877289
2015-07-04-23 13 21.993	-0.01663208 2.3933563 5.955841
2015-07-04-23 13 21.998	0.102386475 2.398117 5.955841
2015-07-04-23 13 22.002	0.15356445 2.443344 6.1962585
2015-07-04-23 13 22.008	0.1737976 2.4135895 6.4580994
2015-07-04-23 13 22.013	0.125 2.493332 6.8234863
2015-07-04-23 13 22.018	0.1987915 2.5397491 7.4388123
2015-07-04-23 13 22.022	0.17260742 2.5016632 7.7601624
2015-07-04-23 13 22.028	0.14047241 2.4766693 8.281464
2015-07-04-23 13 22.033	0.08215332 2.443344 8.7039795
2015-07-04-23 13 22.038	0.04763794 2.4064484 9.233612
2015-07-04-23 13 22.043	-0.014251709 2.423111 9.683502
2015-07-04-23 13 22.048	0.029785156 2.4123993 9.938202
2015-07-04-23 13 22.053	0.0047912598 2.333847 10.181
2015-07-04-23 13 22.058	0.06668091 2.3885956 10.171478
2015-07-04-23 13 22.063	0.14285278 2.390976 9.888214
2015-07-04-23 13 22.068	0.2559204 2.4064484 9.515686
2015-07-04-23 13 22.073	0.32019043 2.525467 8.862274
2015-07-04-23 13 22.078	0.31304932 2.6242523 8.160065
2015-07-04-23 13 22.083	0.1821289 2.7349396 7.6720886
2015-07-04-23 13 22.088	0.044067383 2.8968048 7.579254
2015-07-04-23 13 22.093	-0.009490967 2.9575043 7.694702
2015-07-04-23 13 22.099	-0.026153564 2.9586945 8.121979
2015-07-04-23 13 22.103	-0.18563843 2.9670258 8.57901
2015-07-04-23 13 22.108	-0.29275513 2.9658356 9.214569
2015-07-04-23 13 22.115	-0.52246094 2.9063263 11.168854
2015-07-04-23 13 22.119	-0.52246094 2.9063263 11.168854
2015-07-04-23 13 22.123	-0.58673096 2.8265839 12.136475
2015-07-04-23 13 22.128	-0.58792114 2.7135162 13.218353
2015-07-04-23 13 22.134	-0.47485352 2.7075653 13.96579
2015-07-04-23 13 22.139	-0.22253418 2.725418 14.446625
2015-07-04-23 13 22.143	0.28567505 2.5980682 14.527557
2015-07-04-23 13 22.148	0.8153076 2.500473 14.047913
2015-07-04-23 13 22.154	1.356842 2.4004974 13.309998
2015-07-04-23 13 22.160	1.8329163 2.2898102 12.287628
2015-07-04-23 13 22.164	2.2720947 2.436203 11.327148
2015-07-04-23 13 22.169	2.5660706 2.5409393 10.674927
2015-07-04-23 13 22.174	2.568451 2.5564117 10.128632
2015-07-04-23 13 22.179	2.460144 2.4481049 9.625183
2015-07-04-23 13 22.184	2.0721436 2.2910004 9.124115
2015-07-04-23 13 22.189	1.542511 2.295761 9.018188
2015-07-04-23 13 22.194	1.0795288 2.2291107 9.302643
2015-07-04-23 13 22.199	0.76651 2.1112823 9.921539
2015-07-04-23 13 22.204	0.38446045 1.8887177 10.865356
2015-07-04-23 13 22.209	0.18569946 1.5852203 12.100769
2015-07-04-23 13 22.214	0.04763794 1.4519196 13.482574
2015-07-04-23 13 22.219	-0.034484863 1.230545 14.806061
2015-07-04-23 13 22.224	-0.114227295 0.922287 16.287842
2015-07-04-23 13 22.229	-0.0809021 0.70448303 17.733917
2015-07-04-23 13 22.234	-0.12612915 0.49024963 18.593231
2015-07-04-23 13 22.240	-0.12731934 0.21769714 19.013367
2015-07-04-23 13 22.244	0.0178833 -0.0048675537 18.609894
2015-07-04-23 13 22.249	0.17141724 0.13200378 18.050507
2015-07-04-23 13 22.254	-0.30703735 0.16532898 16.181915
2015-07-04-23 13 22.260	-0.30703735 0.16532898 16.181915
2015-07-04-23 13 22.265	-0.53674316 0.691391 12.989838
2015-07-04-23 13 22.269	-0.53674316 0.691391 12.989838
2015-07-04-23 13 22.275	-0.8795166 0.9722748 10.652313
2015-07-04-23 13 22.280	-1.0544739 1.0579681 9.560913
2015-07-04-23 13 22.284	-1.0973206 1.26268 8.532593
2015-07-04-23 13 22.289	-1.196106 1.3947906 7.718506
2015-07-04-23 13 22.295	-1.2556152 1.4769135 6.9460754
2015-07-04-23 13 22.300	-1.2341919 1.6042633 6.378357
2015-07-04-23 13 22.306	-1.144928 1.6780548 5.8570557
2015-07-04-23 13 22.311	-1.0211487 1.730423 5.5940247
2015-07-04-23 13 22.315	-0.9104614 1.7387543 5.1453247
2015-07-04-23 13 22.325	-0.82595825 1.781601 4.884674
2015-07-04-23 13 22.326	-0.8878479 1.8423004 4.53714
2015-07-04-23 13 22.330	-0.9854431 1.9339447 4.333618
2015-07-04-23 13 22.336	-1.1413574 1.9732208 4.184845
2015-07-04-23 13 22.341	-1.15802 2.0815277 4.076538
2015-07-04-23 13 22.345	-1.2246704 2.0874786 4.005127
2015-07-04-23 13 22.350	-1.2330017 2.114853 3.934906
2015-07-04-23 13 22.355	-1.1889648 2.1374664 3.8337402
2015-07-04-23 13 22.361	-1.1425476 2.1338959 3.864685
2015-07-04-23 13 22.365	-1.1187439 2.1398468 4.120575
2015-07-04-23 13 22.370	-1.1020813 2.0612946 4.512146
2015-07-04-23 13 22.375	-1.0663757 2.0601044 4.972748
2015-07-04-23 13 22.381	-0.9878235 1.987503 5.4785767
2015-07-04-23 13 22.385	-0.8985596 1.9779816 6.0296326
2015-07-04-23 13 22.391	-0.6926575 1.9268036 6.4259644
2015-07-04-23 13 22.396	-0.49508667 1.845871 6.668762
2015-07-04-23 13 22.401	-0.38320923 1.7958832 7.021057
2015-07-04-23 13 22.405	-0.285614 1.71138 7.4138184
2015-07-04-23 13 22.411	-0.26419067 1.7268524 7.7875366
2015-07-04-23 13 22.417	-0.27609253 1.6970978 8.2933655
2015-07-04-23 13 22.422	-0.26062012 1.6935272 8.719452
2015-07-04-23 13 22.425	-0.15231323 1.6756744 9.034851
2015-07-04-23 13 22.431	-0.17373657 1.7173309 9.397858
2015-07-04-23 13 22.436	-0.18563843 1.6851959 9.388336
2015-07-04-23 13 22.441	-0.25942993 1.7030487 9.353821
2015-07-04-23 13 22.446	-0.31536865 1.7006683 9.206238
2015-07-04-23 13 22.451	-0.37963867 1.7209015 8.9027405
2015-07-04-23 13 22.456	-0.3784485 1.6947174 8.721832
2015-07-04-23 13 22.462	-0.41296387 1.6078339 8.502838
2015-07-04-23 13 22.466	-0.5843506 1.5935516 8.19577
2015-07-04-23 13 22.471	-0.7402649 1.6494904 7.904175
2015-07-04-23 13 22.476	-1.0116272 1.7292328 7.7851563
2015-07-04-23 13 22.481	-1.2449036 1.7316132 7.724457
2015-07-04-23 13 22.486	-1.5626831 1.6947174 7.7815857
2015-07-04-23 13 22.491	-1.6912231 1.634018 7.8958435
2015-07-04-23 13 22.496	-1.7602539 1.634018 8.057709
2015-07-04-23 13 22.501	-1.7888184 1.5376129 8.1922
2015-07-04-23 13 22.506	-1.7971497 1.4055023 8.326691
2015-07-04-23 13 22.511	-1.9078369 1.2329254 8.670654
2015-07-04-23 13 22.516	-2.0780334 1.1281891 8.892029
2015-07-04-23 13 22.522	-2.3458252 0.91752625 9.371674
2015-07-04-23 13 22.526	-2.69693 0.7639923 10.05365
