2015-07-02-16 19 45.491	-2.5993347 3.5894928 12.523285
2015-07-02-16 19 45.495	-2.5969543 3.6561432 12.562561
2015-07-02-16 19 45.501	-2.6231384 3.6442413 12.531616
2015-07-02-16 19 45.506	-2.5660095 3.6382904 12.536377
2015-07-02-16 19 45.512	-2.5457764 3.6692352 12.318573
2015-07-02-16 19 45.517	-2.4624634 3.63591 12.059113
2015-07-02-16 19 45.521	-2.4291382 3.5835419 11.762756
2015-07-02-16 19 45.526	-2.4636536 3.3574066 11.421173
2015-07-02-16 19 45.534	-2.5124512 3.1574554 11.195038
2015-07-02-16 19 45.539	-2.704071 2.8944244 10.946289
2015-07-02-16 19 45.542	-2.9123535 2.6230621 10.928436
2015-07-02-16 19 45.547	-3.037323 2.4254913 10.971283
2015-07-02-16 19 45.552	-3.0992126 2.2576752 11.191467
2015-07-02-16 19 45.557	-3.075409 2.076767 11.588989
2015-07-02-16 19 45.561	-2.9718628 2.0374908 11.969849
2015-07-02-16 19 45.567	-2.832611 1.9696503 12.601837
2015-07-02-16 19 45.572	-2.6766968 1.955368 13.169556
2015-07-02-16 19 45.577	-2.5636292 1.8470612 13.601593
2015-07-02-16 19 45.582	-2.486267 1.7125702 14.026489
2015-07-02-16 19 45.587	-2.4124756 1.4638214 14.360931
2015-07-02-16 19 45.592	-2.4255676 1.2781525 14.552551
2015-07-02-16 19 45.599	-2.2756042 1.1043854 14.690613
2015-07-02-16 19 45.602	-2.0601807 0.9627533 14.782257
2015-07-02-16 19 45.607	-1.8780823 0.8651581 14.717987
2015-07-02-16 19 45.612	-1.7662048 0.66996765 14.525177
2015-07-02-16 19 45.617	-1.6019592 0.52119446 14.22406
2015-07-02-16 19 45.622	-1.4579468 0.46525574 13.695618
2015-07-02-16 19 45.627	-1.3079834 0.33314514 12.626831
2015-07-02-16 19 45.634	-1.2901306 0.30577087 11.878204
2015-07-02-16 19 45.638	-1.369873 0.33433533 11.174805
2015-07-02-16 19 45.642	-1.5198364 0.3521881 10.455933
2015-07-02-16 19 45.647	-1.5591125 0.41407776 9.73111
2015-07-02-16 19 45.653	-1.7459717 0.48667908 8.9670105
2015-07-02-16 19 45.657	-1.920929 0.5414276 8.174347
2015-07-02-16 19 45.662	-2.0542297 0.69615173 7.674469
