2015-07-02-16 18 02.489	-0.08328247 3.2014923 8.06366
2015-07-02-16 18 02.493	-0.17492676 3.0146332 8.239807
2015-07-02-16 18 02.499	-0.24752808 2.9003754 8.292175
2015-07-02-16 18 02.506	-0.3284607 2.7873077 8.282654
2015-07-02-16 18 02.510	-0.28442383 2.6551971 8.057709
2015-07-02-16 18 02.513	-0.30465698 2.5623627 7.885132
2015-07-02-16 18 02.519	-0.15707397 2.494522 7.642334
2015-07-02-16 18 02.523	-0.07733154 2.487381 7.513794
2015-07-02-16 18 02.528	0.03692627 2.455246 7.3947754
2015-07-02-16 18 02.533	0.06430054 2.4659576 7.4709473
2015-07-02-16 18 02.539	-0.052337646 2.411209 7.5233154
2015-07-02-16 18 02.544	-0.12374878 2.4564362 7.662567
2015-07-02-16 18 02.548	-0.25228882 2.3921661 7.4923706
2015-07-02-16 18 02.554	-0.38082886 2.3088531 7.623291
2015-07-02-16 18 02.559	-0.6164856 2.3409882 7.61734
2015-07-02-16 18 02.563	-0.7485962 2.3421783 7.622101
2015-07-02-16 18 02.568	-0.96640015 2.3707428 7.7149353
2015-07-02-16 18 02.575	-0.927124 2.3957367 7.564972
2015-07-02-16 18 02.579	-0.9306946 2.3695526 7.6137695
2015-07-02-16 18 02.584	-0.9057007 2.3897858 7.635193
2015-07-02-16 18 02.588	-1.02948 2.3814545 7.5875854
2015-07-02-16 18 02.594	-1.0247192 2.3576508 7.6209106
2015-07-02-16 18 02.599	-1.1604004 2.281479 7.7042236
2015-07-02-16 18 02.605	-1.2365723 2.2219696 7.836334
2015-07-02-16 18 02.611	-1.3686829 2.0850983 7.944641
2015-07-02-16 18 02.614	-1.4948425 1.9660797 8.206482
2015-07-02-16 18 02.619	-1.5317383 1.7696991 8.373108
2015-07-02-16 18 02.624	-1.5793457 1.5804596 8.599243
2015-07-02-16 18 02.629	-1.5531616 1.4626312 8.925354
2015-07-02-16 18 02.634	-1.5186462 1.3364716 9.28241
2015-07-02-16 18 02.639	-1.4805603 1.2614899 9.633514
2015-07-02-16 18 02.644	-1.440094 1.1258087 9.962006
2015-07-02-16 18 02.649	-1.427002 1.0817719 10.330963
2015-07-02-16 18 02.655	-1.402008 1.0329742 10.435699
2015-07-02-16 18 02.660	-1.3912964 0.9603729 10.779663
2015-07-02-16 18 02.664	-1.3460693 0.9698944 10.857025
