2015-07-02-19 56 26.038	1.292572 0.22483826 11.160522
2015-07-02-19 56 26.043	1.0628662 0.14628601 11.365234
2015-07-02-19 56 26.048	0.997406 0.091537476 11.588989
2015-07-02-19 56 26.053	0.83078 -0.02748108 11.918671
2015-07-02-19 56 26.058	0.57250977 -0.17744446 12.225739
2015-07-02-19 56 26.063	0.34399414 -0.28337097 12.393555
2015-07-02-19 56 26.068	0.102386475 -0.41429138 12.538757
2015-07-02-19 56 26.074	-0.12612915 -0.5214081 12.764893
2015-07-02-19 56 26.078	-0.3843994 -0.6904144 12.902954
2015-07-02-19 56 26.083	-0.4998474 -0.8427582 12.964844
2015-07-02-19 56 26.088	-0.6581421 -0.98439026 13.102905
2015-07-02-19 56 26.094	-0.72717285 -1.0665131 13.049347
2015-07-02-19 56 26.098	-0.7331238 -1.1641083 12.921997
2015-07-02-19 56 26.103	-0.7081299 -1.2140961 12.719666
2015-07-02-19 56 26.109	-0.5760193 -1.271225 12.487579
2015-07-02-19 56 26.114	-0.57125854 -1.3188324 12.204315
2015-07-02-19 56 26.118	-0.3772583 -1.2962189 11.799652
2015-07-02-19 56 26.123	-0.15231323 -1.2462311 11.558044
2015-07-02-19 56 26.129	-0.010681152 -1.1260223 11.229553
2015-07-02-19 56 26.134	0.3154297 -0.9998627 10.809418
2015-07-02-19 56 26.139	0.58203125 -0.86061096 10.514252
2015-07-02-19 56 26.144	0.8260193 -0.6594696 10.283356
2015-07-02-19 56 26.151	1.0438232 -0.6023407 9.898926
2015-07-02-19 56 26.155	1.356842 -0.48332214 9.584717
2015-07-02-19 56 26.159	1.6508179 -0.3381195 9.360962
2015-07-02-19 56 26.164	1.9233704 -0.2976532 9.15625
2015-07-02-19 56 26.169	2.1542664 -0.14292908 9.016998
2015-07-02-19 56 26.174	2.3875427 -0.02986145 8.933685
2015-07-02-19 56 26.179	2.4815674 0.10343933 8.928925
2015-07-02-19 56 26.184	2.5517883 0.10462952 8.89798
2015-07-02-19 56 26.189	2.575592 0.19389343 8.943207
2015-07-02-19 56 26.195	2.6065369 0.16889954 9.112213
2015-07-02-19 56 26.199	2.568451 0.18913269 9.107452
2015-07-02-19 56 26.204	2.4161072 0.14390564 9.210999
2015-07-02-19 56 26.209	2.2970886 0.114151 9.28598
2015-07-02-19 56 26.215	2.1352234 0.0034637451 9.394287
2015-07-02-19 56 26.219	1.8912354 -0.119125366 9.376434
2015-07-02-19 56 26.224	1.7257996 -0.22743225 9.465698
2015-07-02-19 56 26.229	1.4234924 -0.35835266 9.510925
2015-07-02-19 56 26.235	1.2294922 -0.5178375 9.463318
2015-07-02-19 56 26.239	0.92123413 -0.61305237 9.422852
2015-07-02-19 56 26.244	0.5534668 -0.758255 9.400238
2015-07-02-19 56 26.250	0.26068115 -0.822525 9.265747
2015-07-02-19 56 26.256	0.035736084 -0.8891754 9.111023
2015-07-02-19 56 26.260	-0.19039917 -0.91893005 9.061035
2015-07-02-19 56 26.266	-0.33917236 -0.77253723 8.858704
2015-07-02-19 56 26.273	-0.3867798 -0.72612 8.623047
2015-07-02-19 56 26.275	-0.4189148 -0.6416168 8.365967
2015-07-02-19 56 26.280	-0.4772339 -0.5130768 8.187439
2015-07-02-19 56 26.285	-0.38320923 -0.40953064 7.9482117
2015-07-02-19 56 26.290	-0.37487793 -0.31074524 7.694702
2015-07-02-19 56 26.295	-0.25585938 -0.17625427 7.539978
2015-07-02-19 56 26.301	-0.17373657 -0.022720337 7.2341003
2015-07-02-19 56 26.305	-0.07495117 0.15699768 7.0698547
2015-07-02-19 56 26.310	-0.07614136 0.2950592 6.9222717
2015-07-02-19 56 26.315	0.0036010742 0.377182 6.7473145
2015-07-02-19 56 26.320	-0.011871338 0.575943 6.668762
2015-07-02-19 56 26.325	-0.008300781 0.7306671 6.5092773
2015-07-02-19 56 26.330	0.038116455 0.8223114 6.4711914
2015-07-02-19 56 26.335	-0.03567505 0.89134216 6.442627
2015-07-02-19 56 26.340	-0.124938965 0.97346497 6.2664795
2015-07-02-19 56 26.346	-0.3272705 0.97465515 6.3188477
2015-07-02-19 56 26.351	-0.46533203 1.0222626 6.281952
2015-07-02-19 56 26.356	-0.55459595 1.0163116 6.2986145
2015-07-02-19 56 26.360	-0.72598267 1.0401154 6.379547
2015-07-02-19 56 26.365	-0.77001953 1.0651093 6.531891
2015-07-02-19 56 26.370	-0.8533325 1.1103363 6.7413635
2015-07-02-19 56 26.376	-0.9283142 1.0924835 6.943695
2015-07-02-19 56 26.380	-0.894989 1.140091 7.1888733
2015-07-02-19 56 26.385	-0.6593323 1.1389008 7.4733276
2015-07-02-19 56 26.391	-0.47961426 1.1876984 7.7018433
2015-07-02-19 56 26.396	-0.29632568 1.2222137 7.944641
2015-07-02-19 56 26.401	-0.032104492 1.2602997 8.229095
2015-07-02-19 56 26.405	0.21069336 1.300766 8.418335
2015-07-02-19 56 26.411	0.46896362 1.3281403 8.632568
2015-07-02-19 56 26.416	0.65463257 1.2852936 8.857513
2015-07-02-19 56 26.421	0.8153076 1.3186188 9.069366
2015-07-02-19 56 26.426	0.93551636 1.2376862 9.193146
2015-07-02-19 56 26.431	0.9390869 1.2007904 9.331207
2015-07-02-19 56 26.436	0.91290283 1.1615143 9.446655
2015-07-02-19 56 26.441	0.82125854 1.1293793 9.464508
2015-07-02-19 56 26.446	0.65701294 1.0936737 9.566864
2015-07-02-19 56 26.453	0.3392334 0.9115753 9.729919
2015-07-02-19 56 26.457	0.18807983 0.8365936 9.882263
2015-07-02-19 56 26.461	0.18807983 0.8365936 9.882263
2015-07-02-19 56 26.466	-0.09994507 0.7294769 9.883453
2015-07-02-19 56 26.471	-0.18444824 0.71281433 9.934631
2015-07-02-19 56 26.477	-0.3117981 0.5509491 10.010803
2015-07-02-19 56 26.481	-0.32965088 0.54737854 10.108398
2015-07-02-19 56 26.486	-0.3451233 0.49024963 10.175049
2015-07-02-19 56 26.491	-0.3022766 0.45811462 10.292877
