2015-06-14-16 28 23.394	-1.1365967 1.4102631 9.910828
2015-06-14-16 28 23.400	-1.1365967 1.4102631 9.910828
2015-06-14-16 28 23.406	-0.7878723 1.6375885 8.946777
2015-06-14-16 28 23.409	-0.6748047 1.6494904 8.58139
2015-06-14-16 28 23.415	-0.6093445 1.6673431 8.219574
2015-06-14-16 28 23.420	-0.484375 1.7042389 7.8327637
2015-06-14-16 28 23.424	-0.44033813 1.8292084 7.5494995
2015-06-14-16 28 23.429	-0.47961426 1.8803864 7.3816833
2015-06-14-16 28 23.435	-0.40344238 1.9565582 7.0924683
2015-06-14-16 28 23.440	-0.48794556 1.9970245 6.743744
2015-06-14-16 28 23.445	-0.6307678 2.0089264 6.2855225
2015-06-14-16 28 23.450	-0.51174927 2.1077118 5.94989
2015-06-14-16 28 23.458	-0.49746704 2.1910248 5.730896
2015-06-14-16 28 23.460	-0.5605469 2.1743622 5.50119
2015-06-14-16 28 23.465	-0.42486572 2.1553192 5.410736
2015-06-14-16 28 23.470	-0.47009277 2.1576996 5.5726013
2015-06-14-16 28 23.475	-0.37487793 2.2005463 5.9594116
2015-06-14-16 28 23.480	-0.3855896 2.1743622 6.231964
2015-06-14-16 28 23.485	-0.2784729 2.1624603 6.3164673
2015-06-14-16 28 23.490	-0.3784485 2.2481537 6.2724304
2015-06-14-16 28 23.495	-0.44152832 2.2445831 6.210541
2015-06-14-16 28 23.500	-0.4855652 2.211258 6.1427
2015-06-14-16 28 23.505	-0.5891113 2.2469635 5.973694
2015-06-14-16 28 23.510	-0.5891113 2.231491 6.1629333
2015-06-14-16 28 23.515	-0.58792114 2.2172089 6.217682
2015-06-14-16 28 23.521	-0.6331482 2.2219696 6.231964
2015-06-14-16 28 23.525	-0.53912354 2.1886444 6.3164673
2015-06-14-16 28 23.530	-0.54745483 2.1767426 6.470001
2015-06-14-16 28 23.535	-0.51651 2.250534 6.731842
2015-06-14-16 28 23.541	-0.5188904 2.3112335 6.8639526
2015-06-14-16 28 23.545	-0.54626465 2.320755 6.884186
2015-06-14-16 28 23.550	-0.50341797 2.262436 7.082947
2015-06-14-16 28 23.558	-0.38201904 2.3350372 7.3816833
2015-06-14-16 28 23.562	-0.39035034 2.346939 7.6340027
2015-06-14-16 28 23.565	-0.42129517 2.333847 7.93631
2015-06-14-16 28 23.570	-0.5855408 2.3707428 8.220764
2015-06-14-16 28 23.576	-0.683136 2.2529144 8.32193
2015-06-14-16 28 23.581	-0.85928345 2.22435 8.593292
2015-06-14-16 28 23.585	-0.96520996 2.1684113 8.7872925
2015-06-14-16 28 23.591	-1.0342407 2.192215 9.180054
2015-06-14-16 28 23.596	-0.84143066 2.135086 9.675171
2015-06-14-16 28 23.602	-0.7890625 2.0529633 10.11554
2015-06-14-16 28 23.606	-0.50341797 2.0970001 10.363098
2015-06-14-16 28 23.611	-0.4427185 1.9898834 10.4487915
2015-06-14-16 28 23.616	-0.39154053 2.0363007 10.444031
2015-06-14-16 28 23.621	-0.27490234 2.0922394 10.519012
2015-06-14-16 28 23.626	-0.14517212 2.1755524 10.316681
2015-06-14-16 28 23.631	-0.04043579 2.2469635 10.126251
2015-06-14-16 28 23.636	-0.09994507 2.3052826 9.909637
2015-06-14-16 28 23.641	-0.16421509 2.3171844 9.877502
2015-06-14-16 28 23.646	-0.253479 2.3255157 9.856079
2015-06-14-16 28 23.651	-0.24871826 2.3576508 10.065552
2015-06-14-16 28 23.656	-0.39987183 2.4123993 10.195282
2015-06-14-16 28 23.662	-0.49032593 2.468338 10.43689
2015-06-14-16 28 23.666	-0.47842407 2.4980927 10.541626
2015-06-14-16 28 23.671	-0.45224 2.5099945 10.904633
2015-06-14-16 28 23.676	-0.51651 2.4469147 11.195038
2015-06-14-16 28 23.682	-0.484375 2.3683624 11.662781
2015-06-14-16 28 23.686	-0.3701172 2.3100433 12.135284
2015-06-14-16 28 23.691	-0.20825195 2.2410126 12.569702
2015-06-14-16 28 23.697	0.0036010742 2.1707916 12.795837
2015-06-14-16 28 23.702	0.1987915 2.2231598 12.93985
2015-06-14-16 28 23.708	0.272583 2.2326813 12.817261
2015-06-14-16 28 23.711	0.471344 2.2172089 12.673248
