2015-06-14-16 31 12.645	-2.004242 2.2660065 5.8046875
2015-06-14-16 31 12.650	-1.7959595 2.1077118 5.7594604
2015-06-14-16 31 12.655	-1.4662781 1.9684601 5.833252
2015-06-14-16 31 12.661	-1.1484985 1.9089508 6.0724792
2015-06-14-16 31 12.665	-0.82595825 1.864914 6.391449
2015-06-14-16 31 12.670	-0.6890869 1.9029999 6.765167
2015-06-14-16 31 12.675	-0.4927063 1.8423004 7.193634
2015-06-14-16 31 12.680	-0.4272461 1.7328033 7.5304565
2015-06-14-16 31 12.685	-0.3617859 1.7316132 7.9410706
2015-06-14-16 31 12.690	-0.27490234 1.7470856 8.221954
2015-06-14-16 31 12.695	-0.19873047 1.724472 8.443329
2015-06-14-16 31 12.700	-0.17730713 1.7982635 8.493317
2015-06-14-16 31 12.705	-0.082092285 1.8030243 8.437378
2015-06-14-16 31 12.713	0.016693115 1.8839569 8.100555
2015-06-14-16 31 12.717	0.016693115 1.8839569 8.100555
2015-06-14-16 31 12.720	0.06906128 1.9303741 7.8172913
2015-06-14-16 31 12.726	0.13809204 2.0351105 7.468567
2015-06-14-16 31 12.730	0.2642517 2.0803375 7.16626
2015-06-14-16 31 12.735	0.24401855 2.16008 6.8365784
2015-06-14-16 31 12.740	0.115478516 2.3421783 6.0867615
2015-06-14-16 31 12.746	0.115478516 2.3421783 6.0867615
2015-06-14-16 31 12.751	-0.034484863 2.429062 5.7523193
2015-06-14-16 31 12.756	-0.14874268 2.5492706 5.090576
2015-06-14-16 31 12.761	-0.12850952 2.5754547 4.8168335
2015-06-14-16 31 12.766	-0.07495117 2.5802155 4.877533
2015-06-14-16 31 12.771	0.0059814453 2.5421295 4.9894104
2015-06-14-16 31 12.776	0.12857056 2.5504608 5.235779
2015-06-14-16 31 12.782	0.17260742 2.461197 5.6844788
2015-06-14-16 31 12.786	0.1987915 2.4397736 6.328369
2015-06-14-16 31 12.791	0.28329468 2.4600067 6.948456
2015-06-14-16 31 12.796	0.39517212 2.4838104 7.654236
2015-06-14-16 31 12.802	0.30233765 2.4564362 8.25647
2015-06-14-16 31 12.808	0.1083374 2.3231354 8.878937
2015-06-14-16 31 12.811	-0.10470581 2.2600555 9.509735
2015-06-14-16 31 12.816	-0.15588379 2.2422028 10.016754
2015-06-14-16 31 12.821	-0.2046814 2.3195648 10.458313
2015-06-14-16 31 12.828	-0.24276733 2.3493195 10.705872
2015-06-14-16 31 12.831	-0.30465698 2.442154 10.715393
2015-06-14-16 31 12.836	-0.2451477 2.5421295 10.595184
2015-06-14-16 31 12.842	-0.19992065 2.6123505 10.252411
2015-06-14-16 31 12.846	-0.1296997 2.5742645 9.892975
2015-06-14-16 31 12.851	-0.08328247 2.6171112 9.481171
2015-06-14-16 31 12.858	-0.090423584 2.6635284 9.119354
2015-06-14-16 31 12.864	-0.1796875 2.5849762 8.868225
2015-06-14-16 31 12.868	-0.3617859 2.4409637 8.661133
2015-06-14-16 31 12.871	-0.6569519 2.5016632 8.699219
2015-06-14-16 31 12.877	-0.76049805 2.5956879 8.756348
2015-06-14-16 31 12.883	-0.811676 2.5504608 9.177673
2015-06-14-16 31 12.887	-0.79977417 2.4385834 9.79895
2015-06-14-16 31 12.892	-0.78549194 2.2481537 10.471405
2015-06-14-16 31 12.898	-0.61172485 2.1398468 11.314056
2015-06-14-16 31 12.902	-0.3189392 2.1017609 12.253113
2015-06-14-16 31 12.908	0.104766846 2.012497 13.100525
2015-06-14-16 31 12.911	0.45111084 2.0470123 13.731323
2015-06-14-16 31 12.916	0.76174927 1.987503 13.813446
2015-06-14-16 31 12.922	0.95098877 1.8280182 13.939606
2015-06-14-16 31 12.927	1.0259705 1.6066437 13.797974
2015-06-14-16 31 12.931	1.2306824 1.5138092 13.621826
2015-06-14-16 31 12.937	1.3996887 1.5388031 13.308807
2015-06-14-16 31 12.942	1.4889526 1.5078583 13.112427
2015-06-14-16 31 12.947	1.3901672 1.4828644 12.919617
2015-06-14-16 31 12.952	1.0259705 1.3090973 12.7708435
2015-06-14-16 31 12.958	0.5141907 1.1698456 12.549469
2015-06-14-16 31 12.962	0.18688965 1.1638947 12.36618
2015-06-14-16 31 12.967	-0.0892334 1.2698212 12.0781555
2015-06-14-16 31 12.972	-0.054718018 1.2650604 11.882965
2015-06-14-16 31 12.977	-0.06304932 1.2924347 11.586609
2015-06-14-16 31 12.982	0.0107421875 1.281723 11.408081
2015-06-14-16 31 12.987	0.15356445 1.2329254 11.230743
2015-06-14-16 31 12.992	0.3059082 1.2662506 11.062927
2015-06-14-16 31 12.997	0.47372437 1.268631 10.941528
2015-06-14-16 31 13.002	0.6332092 1.249588 10.783234
2015-06-14-16 31 13.008	0.7688904 1.268631 10.646362
2015-06-14-16 31 13.013	0.83792114 1.3483734 10.494019
2015-06-14-16 31 13.017	0.83792114 1.4269257 10.188141
2015-06-14-16 31 13.022	0.64749146 1.4947662 9.885834
2015-06-14-16 31 13.028	0.3309021 1.5852203 9.534729
2015-06-14-16 31 13.032	-0.05114746 1.6483002 9.02652
2015-06-14-16 31 13.038	-0.48913574 1.6959076 8.782532
2015-06-14-16 31 13.043	-0.9449768 1.6851959 8.471893
2015-06-14-16 31 13.048	-1.4246216 1.7078094 8.12793
2015-06-14-16 31 13.053	-1.9744873 1.6387787 8.213623
2015-06-14-16 31 13.059	-2.401764 1.595932 8.596863
2015-06-14-16 31 13.063	-2.4874573 1.4888153 9.140778
2015-06-14-16 31 13.068	-2.2720337 1.4340668 9.904877
2015-06-14-16 31 13.073	-2.1280212 1.332901 10.578522
2015-06-14-16 31 13.078	-1.9923401 1.2781525 11.087921
2015-06-14-16 31 13.083	-1.6281433 1.2269745 11.492584
2015-06-14-16 31 13.088	-1.2472839 1.1781769 11.613983
2015-06-14-16 31 13.093	-0.83309937 1.1174774 11.666351
2015-06-14-16 31 13.098	-0.4177246 1.0793915 11.578278
2015-06-14-16 31 13.103	-0.13565063 1.0734406 11.260498
2015-06-14-16 31 13.108	0.07501221 1.0662994 10.907013
2015-06-14-16 31 13.113	0.083343506 1.1281891 10.382141
2015-06-14-16 31 13.118	-0.0642395 1.2507782 9.764435
2015-06-14-16 31 13.123	-0.17492676 1.3412323 9.097931
2015-06-14-16 31 13.128	-0.3451233 1.4281158 8.439758
2015-06-14-16 31 13.133	-0.5331726 1.5328522 7.770874
2015-06-14-16 31 13.138	-0.6236267 1.5935516 7.047241
2015-06-14-16 31 13.143	-0.696228 1.7101898 6.405731
2015-06-14-16 31 13.149	-0.8854675 1.7220917 5.8046875
2015-06-14-16 31 13.153	-0.8735657 1.7470856 5.3547974
2015-06-14-16 31 13.158	-0.9473572 1.8875275 5.044159
2015-06-14-16 31 13.166	-1.0877991 1.9827423 5.2095947
2015-06-14-16 31 13.170	-1.0877991 1.9827423 5.2095947
2015-06-14-16 31 13.173	-1.0187683 1.9791718 5.288147
2015-06-14-16 31 13.179	-0.8937988 2.0267792 5.6368713
2015-06-14-16 31 13.184	-0.5093689 2.0339203 6.005829
2015-06-14-16 31 13.189	-0.4343872 1.9839325 6.4283447
