2015-07-02-14 14 22.564	-1.0925598 2.6052094 5.846344
2015-07-02-14 14 22.567	-1.407959 2.4992828 6.5295105
2015-07-02-14 14 22.576	-1.690033 2.3576508 7.4150085
2015-07-02-14 14 22.578	-1.9554443 2.3814545 8.38858
2015-07-02-14 14 22.583	-2.1982422 2.314804 8.871796
2015-07-02-14 14 22.588	-2.4803162 2.1041412 9.0503235
2015-07-02-14 14 22.594	-2.5719604 1.8601532 9.013428
2015-07-02-14 14 22.599	-2.7564392 1.4221649 9.380005
2015-07-02-14 14 22.604	-2.7373962 1.1305695 9.5442505
2015-07-02-14 14 22.609	-2.5338745 0.97584534 9.0503235
2015-07-02-14 14 22.614	-2.3993835 0.7068634 8.230286
2015-07-02-14 14 22.619	-2.2637024 0.70329285 7.532837
2015-07-02-14 14 22.628	-2.2172852 0.9532318 7.096039
2015-07-02-14 14 22.630	-2.0792236 1.313858 6.705658
2015-07-02-14 14 22.634	-1.9685364 1.6137848 6.391449
2015-07-02-14 14 22.639	-2.0078125 1.8089752 5.999878
2015-07-02-14 14 22.644	-2.030426 2.0779572 5.6749573
2015-07-02-14 14 22.649	-2.2327576 2.199356 5.5487976
2015-07-02-14 14 22.654	-2.8016663 1.7982635 5.269104
2015-07-02-14 14 22.660	-3.4372253 0.86039734 4.973938
2015-07-02-14 14 22.664	-3.6038513 1.1888885 5.30719
2015-07-02-14 14 22.669	-3.6478882 1.7137604 5.5940247
2015-07-02-14 14 22.678	-3.4895935 2.1315155 5.7082825
2015-07-02-14 14 22.680	-3.1860962 2.5349884 5.9213257
2015-07-02-14 14 22.684	-2.742157 2.846817 6.052246
2015-07-02-14 14 22.689	-2.0958862 3.1324615 6.391449
2015-07-02-14 14 22.695	-1.402008 3.2943268 6.6187744
2015-07-02-14 14 22.699	-0.7331238 3.564499 7.044861
2015-07-02-14 14 22.704	-0.08328247 3.8191986 7.4971313
2015-07-02-14 14 22.710	0.5939331 4.013199 7.9529724
2015-07-02-14 14 22.715	0.9414673 4.198868 8.444519
2015-07-02-14 14 22.719	0.86886597 4.270279 8.922974
2015-07-02-14 14 22.727	0.36184692 4.1512604 9.081268
2015-07-02-14 14 22.730	-0.34988403 3.9013214 9.203857
2015-07-02-14 14 22.735	-1.3520203 3.4728546 9.979858
2015-07-02-14 14 22.739	-2.3244019 2.917038 10.816559
2015-07-02-14 14 22.744	-3.094452 2.35289 11.096252
2015-07-02-14 14 22.750	-3.9323425 1.7209015 11.450928
2015-07-02-14 14 22.755	-5.078491 1.4066925 12.6185
2015-07-02-14 14 22.760	-5.1522827 1.1055756 12.215027
2015-07-02-14 14 22.765	-4.808319 0.72114563 11.84845
2015-07-02-14 14 22.770	-4.007324 0.25816345 11.496155
2015-07-02-14 14 22.776	-3.6157532 -0.42619324 11.342621
2015-07-02-14 14 22.780	-3.377716 -0.7677765 11.292633
2015-07-02-14 14 22.785	-3.268219 -0.8403778 11.084351
2015-07-02-14 14 22.790	-2.9183044 -0.7487335 11.405701
2015-07-02-14 14 22.795	-2.286316 -0.5547333 12.464966
2015-07-02-14 14 22.800	-1.8780823 -0.21076965 13.531372
2015-07-02-14 14 22.805	-1.920929 0.17008972 14.360931
2015-07-02-14 14 22.810	-2.138733 0.44621277 14.9953
2015-07-02-14 14 22.815	-2.3493958 0.66877747 15.266663
2015-07-02-14 14 22.820	-2.5993347 0.8794403 15.309509
2015-07-02-14 14 22.827	-2.6433716 1.0793915 15.428528
2015-07-02-14 14 22.832	-2.4112854 1.4447784 14.762024
2015-07-02-14 14 22.836	-2.4112854 1.4447784 14.762024
2015-07-02-14 14 22.840	-2.1744385 1.5459442 14.059814
2015-07-02-14 14 22.845	-1.9685364 1.6078339 13.138611
2015-07-02-14 14 22.851	-1.8031006 1.5364227 12.125763
2015-07-02-14 14 22.856	-1.7007446 1.4792938 11.061737
2015-07-02-14 14 22.860	-1.8388062 1.4233551 10.145294
