2015-07-02-14 17 29.222	-1.0901794 2.7385101 9.857269
2015-07-02-14 17 29.228	-0.98187256 2.6492462 10.146484
2015-07-02-14 17 29.232	-1.0401917 2.5111847 10.552338
2015-07-02-14 17 29.238	-1.1246948 2.346939 11.242645
2015-07-02-14 17 29.243	-1.3817749 2.1172333 11.324768
2015-07-02-14 17 29.248	-1.3615417 1.4043121 11.0260315
2015-07-02-14 17 29.253	-1.2615662 0.57832336 10.978424
2015-07-02-14 17 29.258	-1.1651611 0.12486267 10.95343
2015-07-02-14 17 29.263	-1.0889893 0.08201599 10.901062
2015-07-02-14 17 29.268	-1.2175293 0.21174622 10.5963745
2015-07-02-14 17 29.273	-1.28656 0.43074036 10.334534
2015-07-02-14 17 29.278	-1.4031982 0.7378082 10.129822
2015-07-02-14 17 29.287	-1.3841553 1.147232 9.770386
2015-07-02-14 17 29.296	-1.3317871 1.5566559 9.356201
2015-07-02-14 17 29.297	-1.1520691 1.974411 9.21814
2015-07-02-14 17 29.300	-0.9473572 2.365982 9.269318
2015-07-02-14 17 29.303	-0.84143066 2.5933075 9.199097
2015-07-02-14 17 29.309	-0.4439087 2.8991852 9.47403
2015-07-02-14 17 29.313	-0.4439087 2.8991852 9.47403
2015-07-02-14 17 29.319	-0.14755249 2.9634552 9.421661
2015-07-02-14 17 29.324	0.4796753 2.9979706 9.463318
2015-07-02-14 17 29.328	1.0604858 2.9337006 9.5442505
2015-07-02-14 17 29.334	1.3544617 2.7028046 9.568054
2015-07-02-14 17 29.338	1.5782166 2.6183014 9.690643
2015-07-02-14 17 29.344	1.6889038 2.4135895 9.672791
2015-07-02-14 17 29.348	1.561554 2.1362762 9.7561035
2015-07-02-14 17 29.356	1.375885 1.724472 9.901306
2015-07-02-14 17 29.359	1.3270874 0.986557 10.673737
2015-07-02-14 17 29.364	1.3270874 0.986557 10.673737
2015-07-02-14 17 29.368	0.85220337 0.75328064 11.680634
2015-07-02-14 17 29.373	0.31066895 0.52952576 12.243591
2015-07-02-14 17 29.379	0.18688965 0.3521881 12.61731
2015-07-02-14 17 29.385	-0.011871338 0.057022095 12.698242
2015-07-02-14 17 29.389	-0.38796997 -0.2738495 12.384033
2015-07-02-14 17 29.394	-0.5498352 -0.347641 11.840118
2015-07-02-14 17 29.399	-1.241333 -0.9225006 10.614227
2015-07-02-14 17 29.404	-1.241333 -0.9225006 10.614227
2015-07-02-14 17 29.409	-1.209198 -0.71302795 9.931061
2015-07-02-14 17 29.414	-1.8542786 -0.39286804 10.11554
2015-07-02-14 17 29.419	-1.9566345 -0.23338318 9.957245
2015-07-02-14 17 29.424	-1.2437134 -0.13459778 9.754913
2015-07-02-14 17 29.429	-0.57125854 -0.03819275 9.704926
2015-07-02-14 17 29.435	0.033355713 0.1058197 9.656128
2015-07-02-14 17 29.439	0.40350342 0.26649475 9.501404
2015-07-02-14 17 29.444	0.6367798 0.29029846 9.151489
2015-07-02-14 17 29.449	0.6248779 0.27244568 8.658752
2015-07-02-14 17 29.454	0.44277954 0.061782837 8.119598
2015-07-02-14 17 29.461	0.33566284 -0.041763306 7.624481
2015-07-02-14 17 29.465	0.33447266 -0.095321655 7.3840637
2015-07-02-14 17 29.469	0.35232544 -0.031051636 7.513794
2015-07-02-14 17 29.474	0.3713684 0.06892395 7.8172913
2015-07-02-14 17 29.479	0.34042358 0.24507141 8.404053
2015-07-02-14 17 29.485	0.20474243 0.39027405 8.888458
2015-07-02-14 17 29.489	0.080963135 0.59498596 9.303833
2015-07-02-14 17 29.494	0.102386475 0.7247162 9.593048
2015-07-02-14 17 29.499	0.26901245 0.7973175 9.803711
2015-07-02-14 17 29.505	0.3475647 0.75923157 9.978668
2015-07-02-14 17 29.509	0.28805542 0.7306671 10.167908
2015-07-02-14 17 29.514	0.21069336 0.61164856 10.152435
2015-07-02-14 17 29.520	0.04168701 0.53071594 10.05246
2015-07-02-14 17 29.525	-0.15826416 0.49620056 9.740631
2015-07-02-14 17 29.529	-0.28442383 0.37123108 9.499023
2015-07-02-14 17 29.535	-0.45462036 0.29029846 9.034851
2015-07-02-14 17 29.540	-0.7247925 0.23197937 8.590912
2015-07-02-14 17 29.545	-0.9390259 0.22721863 8.439758
2015-07-02-14 17 29.550	-1.0497131 0.26887512 8.226715
2015-07-02-14 17 29.555	-1.0782776 0.34861755 8.142212
2015-07-02-14 17 29.560	-1.0151978 0.5092926 8.19577
2015-07-02-14 17 29.565	-0.9925842 0.71876526 8.479034
2015-07-02-14 17 29.570	-0.93188477 0.890152 8.798004
2015-07-02-14 17 29.575	-0.8295288 1.0329742 9.015808
2015-07-02-14 17 29.580	-0.7164612 1.1389008 9.15863
2015-07-02-14 17 29.585	-0.5593567 1.1674652 9.225281
2015-07-02-14 17 29.590	-0.5498352 1.1900787 9.209808
2015-07-02-14 17 29.595	-0.5522156 1.2067413 9.152679
2015-07-02-14 17 29.600	-0.6176758 1.2448273 9.049133
2015-07-02-14 17 29.606	-0.6593323 1.2614899 9.071747
2015-07-02-14 17 29.611	-0.76763916 1.2115021 9.038422
2015-07-02-14 17 29.615	-0.7640686 1.2103119 9.266937
2015-07-02-14 17 29.620	-0.79382324 1.345993 9.214569
2015-07-02-14 17 29.626	-0.7378845 1.3828888 9.0824585
2015-07-02-14 17 29.630	-0.6164856 1.4423981 8.914642
2015-07-02-14 17 29.635	-0.57125854 1.5019073 8.599243
2015-07-02-14 17 29.640	-0.51293945 1.5423737 8.279083
2015-07-02-14 17 29.646	-1.4924622 1.1936493 7.7530212
2015-07-02-14 17 29.650	-1.4055786 1.2436371 7.4400024
2015-07-02-14 17 29.656	-1.09375 1.614975 7.5673523
2015-07-02-14 17 29.661	-1.106842 1.8625336 7.74588
2015-07-02-14 17 29.666	-1.1758728 2.0791473 7.989868
2015-07-02-14 17 29.670	-1.1342163 2.173172 8.70517
2015-07-02-14 17 29.675	-0.8283386 2.166031 9.47879
2015-07-02-14 17 29.681	-0.7045593 2.1100922 10.226227
2015-07-02-14 17 29.686	-0.69384766 1.9756012 10.82132
2015-07-02-14 17 29.691	-1.0009155 1.8280182 11.070068
2015-07-02-14 17 29.696	-0.7652588 1.7744598 11.371185
2015-07-02-14 17 29.701	-0.65219116 1.6268768 11.459259
2015-07-02-14 17 29.706	-0.50341797 1.628067 11.279541
2015-07-02-14 17 29.711	-0.8902283 1.730423 11.129578
2015-07-02-14 17 29.716	-1.1520691 1.8423004 10.82251
2015-07-02-14 17 29.721	-1.1365967 1.9660797 10.335724
2015-07-02-14 17 29.726	-1.177063 2.1576996 10.058411
2015-07-02-14 17 29.731	-0.88308716 2.0981903 9.60495
2015-07-02-14 17 29.736	-0.6390991 2.1041412 9.352631
2015-07-02-14 17 29.741	-0.5403137 2.1005707 9.297882
2015-07-02-14 17 29.747	-0.42248535 2.1743622 9.2300415
2015-07-02-14 17 29.751	-0.30465698 2.4350128 9.391907
2015-07-02-14 17 29.756	-0.31655884 2.5754547 9.616852
2015-07-02-14 17 29.764	-0.29989624 2.67305 9.802521
2015-07-02-14 17 29.768	-0.3284607 2.6516266 10.088165
2015-07-02-14 17 29.771	-0.28442383 2.6313934 10.252411
2015-07-02-14 17 29.776	-0.23443604 2.5349884 10.30954
2015-07-02-14 17 29.782	-0.122558594 2.3707428 10.392853
2015-07-02-14 17 29.787	-0.17373657 2.3636017 10.547577
2015-07-02-14 17 29.792	-0.33322144 2.301712 10.668976
2015-07-02-14 17 29.796	-0.39154053 2.3421783 10.710632
2015-07-02-14 17 29.802	-0.5093689 2.3695526 10.778473
2015-07-02-14 17 29.807	-0.60220337 2.3421783 10.661835
2015-07-02-14 17 29.812	-0.57006836 2.3505096 10.56543
