2015-06-30-17 55 59.169	0.8343506 2.22435 6.9329834
2015-06-30-17 55 59.173	0.87838745 2.2529144 6.956787
2015-06-30-17 55 59.178	0.9545593 2.3029022 7.0365295
2015-06-30-17 55 59.183	0.93551636 2.339798 7.2674255
2015-06-30-17 55 59.188	1.010498 2.4409637 7.42453
2015-06-30-17 55 59.193	0.96765137 2.4219208 7.528076
2015-06-30-17 55 59.198	0.9724121 2.3766937 7.481659
2015-06-30-17 55 59.203	0.95217896 2.4076385 7.5352173
2015-06-30-17 55 59.208	0.96765137 2.4135895 7.61734
2015-06-30-17 55 59.213	0.9057617 2.4004974 7.629242
2015-06-30-17 55 59.218	0.8641052 2.4147797 7.705414
2015-06-30-17 55 59.223	0.83792114 2.429062 7.9136963
2015-06-30-17 55 59.228	0.80578613 2.4266815 8.046997
2015-06-30-17 55 59.233	0.798645 2.4397736 8.1922
2015-06-30-17 55 59.238	0.798645 2.4802399 8.363586
2015-06-30-17 55 59.243	0.7736511 2.430252 8.3862
2015-06-30-17 55 59.248	0.73794556 2.4195404 8.3576355
2015-06-30-17 55 59.253	0.67367554 2.3933563 8.406433
2015-06-30-17 55 59.261	0.5344238 2.3540802 8.38858
2015-06-30-17 55 59.264	0.49395752 2.3564606 8.64209
2015-06-30-17 55 59.268	0.45587158 2.3493195 8.831329
2015-06-30-17 55 59.273	0.48919678 2.3707428 8.96463
2015-06-30-17 55 59.279	0.5427551 2.436203 8.90155
2015-06-30-17 55 59.284	0.55822754 2.4707184 9.005096
2015-06-30-17 55 59.288	0.6343994 2.526657 9.009857
2015-06-30-17 55 59.293	0.7165222 2.5921173 9.059845
2015-06-30-17 55 59.299	0.7498474 2.6873322 9.194336
2015-06-30-17 55 59.304	0.7260437 2.7730255 9.235992
2015-06-30-17 55 59.309	0.8010254 2.8384857 9.35144
2015-06-30-17 55 59.314	0.6665344 2.9194183 9.3133545
2015-06-30-17 55 59.319	0.31781006 2.9860687 9.358582
2015-06-30-17 55 59.324	0.42373657 2.9717865 9.100311
2015-06-30-17 55 59.329	0.2321167 2.8884735 8.828949
2015-06-30-17 55 59.334	0.2321167 2.9670258 8.876556
2015-06-30-17 55 59.339	0.79745483 3.212204 8.863464
2015-06-30-17 55 59.344	1.112854 3.6121063 8.83371
2015-06-30-17 55 59.349	1.177124 3.840622 8.756348
2015-06-30-17 55 59.354	1.2342529 4.013199 8.618286
2015-06-30-17 55 59.359	1.3556519 4.001297 8.32312
2015-06-30-17 55 59.364	1.3842163 3.9667816 8.139832
2015-06-30-17 55 59.369	1.3461304 3.9477386 8.163635
2015-06-30-17 55 59.374	1.2354431 3.912033 8.32074
2015-06-30-17 55 59.379	1.0414429 3.9060822 8.51474
2015-06-30-17 55 59.385	0.8652954 3.7751617 8.738495
2015-06-30-17 55 59.389	0.6343994 3.539505 8.928925
2015-06-30-17 55 59.394	0.4796753 3.4252472 9.245514
2015-06-30-17 55 59.399	0.45825195 3.2967072 9.341919
2015-06-30-17 55 59.405	0.3642273 3.2300568 9.579956
2015-06-30-17 55 59.411	0.31900024 3.2169647 9.967957
2015-06-30-17 55 59.414	0.3154297 3.1729279 10.330963
2015-06-30-17 55 59.420	0.3392334 3.1217499 10.882019
2015-06-30-17 55 59.425	0.2654419 2.9967804 11.40213
2015-06-30-17 55 59.429	0.12261963 2.93013 11.671112
2015-06-30-17 55 59.434	0.1000061 2.7599335 12.030548
2015-06-30-17 55 59.440	0.08691406 2.6813812 12.2447815
2015-06-30-17 55 59.445	-0.28204346 2.5861664 12.322144
2015-06-30-17 55 59.450	-0.06185913 2.621872 12.273346
2015-06-30-17 55 59.455	0.14880371 2.7420807 12.194794
2015-06-30-17 55 59.460	0.059539795 2.8825226 12.093628
2015-06-30-17 55 59.465	-0.17016602 3.0467682 11.8341675
2015-06-30-17 55 59.470	-0.45700073 3.153885 11.439026
