2015-07-02-22 27 34.567	0.5130005 3.147934 6.518799
2015-07-02-22 27 34.572	0.64868164 3.153885 6.859192
2015-07-02-22 27 34.580	0.7593689 3.18721 7.0484314
2015-07-02-22 27 34.583	0.8914795 3.1848297 7.2079163
2015-07-02-22 27 34.589	1.0414429 3.2003021 7.4031067
2015-07-02-22 27 34.593	1.1735535 3.225296 7.5435486
2015-07-02-22 27 34.600	1.2747192 3.3181305 7.7351685
2015-07-02-22 27 34.605	1.2913818 3.4680939 8.039856
2015-07-02-22 27 34.608	1.2640076 3.6906586 8.493317
2015-07-02-22 27 34.614	1.1866455 3.7977753 8.955109
2015-07-02-22 27 34.619	1.1497498 3.9358368 9.79895
2015-07-02-22 27 34.623	1.1759338 3.9417877 9.919159
2015-07-02-22 27 34.629	1.1057129 3.9263153 9.938202
2015-07-02-22 27 34.634	0.9295654 3.8918 10.001282
2015-07-02-22 27 34.639	0.817688 3.8382416 9.866791
2015-07-02-22 27 34.643	0.7105713 3.6977997 9.803711
2015-07-02-22 27 34.649	0.5594177 3.6323395 9.614471
2015-07-02-22 27 34.654	0.35232544 3.5299835 9.353821
2015-07-02-22 27 34.659	0.20474243 3.4121552 9.138397
2015-07-02-22 27 34.663	0.07382202 3.3752594 9.015808
2015-07-02-22 27 34.668	0.053588867 3.3455048 8.912262
2015-07-02-22 27 34.674	-0.052337646 3.3300323 8.862274
2015-07-02-22 27 34.679	-0.0071105957 3.3252716 8.968201
2015-07-02-22 27 34.684	-0.02734375 3.2967072 8.881317
2015-07-02-22 27 34.689	-0.009490967 3.2348175 9.078888
2015-07-02-22 27 34.696	-0.101135254 3.180069 9.276459
2015-07-02-22 27 34.699	-0.11065674 3.0753326 9.465698
2015-07-02-22 27 34.704	-0.17730713 2.9277496 9.696594
2015-07-02-22 27 34.709	-0.21777344 2.7527924 9.877502
2015-07-02-22 27 34.715	-0.3117981 2.3683624 10.036987
2015-07-02-22 27 34.720	-0.75335693 2.6004486 10.207184
2015-07-02-22 27 34.724	-0.8569031 2.86586 10.151245
2015-07-02-22 27 34.730	-0.52246094 2.9420319 9.92749
2015-07-02-22 27 34.735	-0.24633789 2.9539337 9.685883
2015-07-02-22 27 34.739	0.17617798 2.93013 9.526398
2015-07-02-22 27 34.744	0.75460815 2.911087 9.565674
2015-07-02-22 27 34.749	1.3639832 2.9146576 9.446655
2015-07-02-22 27 34.756	2.325653 3.0289154 9.521637
2015-07-02-22 27 34.760	2.325653 3.0289154 9.521637
2015-07-02-22 27 34.765	2.588684 3.0919952 9.812042
2015-07-02-22 27 34.769	2.5279846 3.2360077 10.380951
2015-07-02-22 27 34.774	2.420868 3.449051 11.303345
2015-07-02-22 27 34.780	2.1292725 3.4978485 12.320953
2015-07-02-22 27 34.785	1.709137 3.384781 13.338562
2015-07-02-22 27 34.789	1.1699829 3.263382 14.299042
2015-07-02-22 27 34.796	0.70581055 2.9908295 15.083374
2015-07-02-22 27 34.800	0.28805542 2.7325592 15.728455
2015-07-02-22 27 34.805	-0.105895996 2.3993073 15.865326
2015-07-02-22 27 34.810	-0.47009277 2.0410614 15.76297
2015-07-02-22 27 34.815	-0.7747803 1.7149506 15.317841
2015-07-02-22 27 34.820	-1.0437622 1.461441 14.716797
2015-07-02-22 27 34.825	-1.2032471 1.1972198 13.934845
2015-07-02-22 27 34.830	-1.1889648 0.9794159 12.962463
2015-07-02-22 27 34.835	-1.0509033 0.91038513 12.004364
2015-07-02-22 27 34.840	-0.83547974 0.8889618 11.140289
2015-07-02-22 27 34.846	-0.6414795 1.018692 10.266693
2015-07-02-22 27 34.850	-0.3356018 1.2186432 9.582336
2015-07-02-22 27 34.855	-0.05709839 1.3983612 9.016998
2015-07-02-22 27 34.860	0.27734375 1.5840302 8.521881
2015-07-02-22 27 34.865	0.5617981 1.8006439 8.221954
2015-07-02-22 27 34.870	0.618927 1.813736 7.7732544
2015-07-02-22 27 34.875	0.7843628 1.6709137 7.393585
2015-07-02-22 27 34.880	1.0509644 2.1386566 7.5614014
