2015-06-23-15 11 52.106	-0.6807556 1.6828156 12.007935
2015-06-23-15 11 52.111	-0.55340576 1.5852203 12.594696
2015-06-23-15 11 52.116	-0.4439087 1.4602509 13.174316
2015-06-23-15 11 52.121	-0.36654663 1.4066925 13.689667
2015-06-23-15 11 52.126	-0.27609253 1.3733673 14.027679
2015-06-23-15 11 52.131	-0.21539307 1.3864594 14.260956
2015-06-23-15 11 52.136	-0.0071105957 1.4626312 14.205017
2015-06-23-15 11 52.141	0.24401855 1.5721283 14.066956
2015-06-23-15 11 52.148	0.5296631 1.5328522 13.524231
2015-06-23-15 11 52.152	0.5927429 1.6435394 13.189789
2015-06-23-15 11 52.156	0.5927429 1.6435394 13.189789
2015-06-23-15 11 52.161	0.6439209 1.7839813 12.908905
2015-06-23-15 11 52.166	0.522522 1.987503 12.466156
2015-06-23-15 11 52.171	0.36184692 2.114853 11.910339
2015-06-23-15 11 52.176	0.10952759 2.269577 11.430695
2015-06-23-15 11 52.181	-0.021392822 2.2576752 11.030792
2015-06-23-15 11 52.186	-0.024963379 2.2457733 10.691589
2015-06-23-15 11 52.193	-0.13684082 2.262436 10.432129
2015-06-23-15 11 52.196	-0.17849731 2.2469635 10.408325
2015-06-23-15 11 52.201	-0.16183472 2.173172 10.589233
2015-06-23-15 11 52.206	0.08572388 1.923233 11.084351
2015-06-23-15 11 52.212	0.08572388 1.923233 11.084351
2015-06-23-15 11 52.216	0.32733154 1.7673187 11.377136
2015-06-23-15 11 52.221	0.54870605 1.6935272 11.611603
2015-06-23-15 11 52.227	0.70700073 1.4781036 12.088867
2015-06-23-15 11 52.232	0.7165222 1.4316864 12.543518
2015-06-23-15 11 52.236	0.49157715 1.2864838 12.474487
2015-06-23-15 11 52.242	0.3380432 1.2281647 12.449493
2015-06-23-15 11 52.247	0.22973633 1.2293549 12.529236
2015-06-23-15 11 52.252	0.07382202 1.2091217 12.585175
2015-06-23-15 11 52.257	-0.13684082 1.1436615 12.654205
2015-06-23-15 11 52.262	-0.3451233 1.0841522 12.795837
2015-06-23-15 11 52.267	-0.5319824 0.986557 12.788696
2015-06-23-15 11 52.273	-0.71170044 0.99964905 12.705383
2015-06-23-15 11 52.277	-0.78549194 0.9210968 12.482819
2015-06-23-15 11 52.282	-0.90093994 0.9770355 12.194794
2015-06-23-15 11 52.287	-1.1032715 1.0008392 11.737762
2015-06-23-15 11 52.292	-1.2258606 1.1674652 11.231934
2015-06-23-15 11 52.298	-1.2913208 1.2329254 10.642792
2015-06-23-15 11 52.302	-1.3294067 1.281723 10.092926
2015-06-23-15 11 52.307	-1.3460693 1.345993 9.47641
2015-06-23-15 11 52.313	-1.5293579 1.5114288 8.871796
2015-06-23-15 11 52.317	-1.2996521 1.6542511 8.793243
2015-06-23-15 11 52.325	-1.5960083 1.7351837 8.087463
2015-06-23-15 11 52.327	-1.8947449 1.7458954 7.5744934
2015-06-23-15 11 52.332	-1.8661804 2.025589 7.2091064
2015-06-23-15 11 52.337	-1.9387817 2.1005707 6.8389587
2015-06-23-15 11 52.343	-2.1184998 2.1327057 6.443817
2015-06-23-15 11 52.348	-2.062561 2.192215 6.01416
2015-06-23-15 11 52.353	-1.8150024 2.1886444 5.7523193
2015-06-23-15 11 52.357	-1.5983887 2.2076874 5.724945
2015-06-23-15 11 52.362	-1.3508301 2.269577 5.745178
2015-06-23-15 11 52.367	-1.0913696 2.3945465 5.56308
2015-06-23-15 11 52.373	-0.6736145 2.3743134 5.666626
2015-06-23-15 11 52.378	-0.29037476 2.1588898 5.608307
2015-06-23-15 11 52.382	0.24520874 1.9958344 5.6059265
2015-06-23-15 11 52.388	0.7831726 1.8696747 5.723755
2015-06-23-15 11 52.393	1.1366577 1.5399933 6.0534363
2015-06-23-15 11 52.398	1.4794312 1.5471344 6.308136
2015-06-23-15 11 52.403	1.7805481 1.6078339 6.936554
2015-06-23-15 11 52.408	1.8079224 1.435257 7.5375977
2015-06-23-15 11 52.413	1.7162781 1.1829376 8.121979
2015-06-23-15 11 52.418	1.6210632 1.0210724 8.764679
