2015-06-23-15 15 32.056	-0.90808105 2.0612946 8.558777
2015-06-23-15 15 32.061	-0.82714844 2.0589142 8.593292
2015-06-23-15 15 32.068	-0.75335693 2.0589142 8.606384
2015-06-23-15 15 32.072	-0.86047363 2.0160675 8.533783
2015-06-23-15 15 32.078	-0.90093994 2.0493927 8.332642
2015-06-23-15 15 32.082	-1.0032959 2.0398712 8.232666
2015-06-23-15 15 32.087	-1.1270752 2.0374908 8.25885
2015-06-23-15 15 32.092	-1.1151733 1.9922638 8.263611
2015-06-23-15 15 32.098	-1.0818481 1.9589386 8.285034
2015-06-23-15 15 32.103	-1.0877991 1.9315643 8.390961
2015-06-23-15 15 32.107	-1.1116028 1.8684845 8.4409485
2015-06-23-15 15 32.115	-1.2615662 1.8994293 8.565918
2015-06-23-15 15 32.119	-1.2615662 1.8994293 8.565918
2015-06-23-15 15 32.122	-1.1544495 1.8958588 8.564728
2015-06-23-15 15 32.128	-0.96520996 1.9089508 8.599243
2015-06-23-15 15 32.133	-0.82476807 1.8553925 8.571869
2015-06-23-15 15 32.138	-0.6569519 1.864914 8.587341
2015-06-23-15 15 32.145	-0.51293945 1.8018341 8.557587
2015-06-23-15 15 32.149	-0.65457153 1.8625336 8.661133
2015-06-23-15 15 32.153	-0.5772095 1.7280426 8.639709
2015-06-23-15 15 32.169	-0.69503784 1.7875519 8.721832
2015-06-23-15 15 32.170	-0.79382324 1.756607 8.976532
2015-06-23-15 15 32.171	-1.0259094 1.8303986 9.275269
2015-06-23-15 15 32.173	-1.2806091 1.8018341 9.609711
2015-06-23-15 15 32.178	-1.4543762 1.7447052 10.032227
2015-06-23-15 15 32.183	-1.600769 1.6947174 10.549957
2015-06-23-15 15 32.188	-1.7316895 1.6935272 10.960571
2015-06-23-15 15 32.193	-1.748352 1.5364227 11.358093
2015-06-23-15 15 32.198	-1.786438 1.4531097 11.797272
2015-06-23-15 15 32.203	-1.7745361 1.3947906 12.124573
2015-06-23-15 15 32.209	-1.6567078 1.4578705 12.49353
2015-06-23-15 15 32.213	-1.3805847 1.5518951 12.68515
2015-06-23-15 15 32.218	-1.0163879 1.7601776 12.74704
2015-06-23-15 15 32.223	-0.82476807 2.0672455 12.6232605
2015-06-23-15 15 32.228	-0.7497864 2.2136383 12.187653
2015-06-23-15 15 32.233	-0.74502563 2.2660065 11.53186
2015-06-23-15 15 32.238	-0.9390259 2.16008 10.957001
2015-06-23-15 15 32.243	-1.1365967 2.1707916 10.76181
2015-06-23-15 15 32.248	-1.5638733 2.2898102 10.56662
2015-06-23-15 15 32.253	-2.210144 2.4576263 10.335724
2015-06-23-15 15 32.259	-3.0611267 2.5528412 10.160767
2015-06-23-15 15 32.264	-4.3631897 2.6790009 9.942963
2015-06-23-15 15 32.268	-4.3631897 2.6790009 9.942963
2015-06-23-15 15 32.273	-4.615509 2.60997 10.257172
2015-06-23-15 15 32.279	-4.6071777 2.5480804 10.746338
2015-06-23-15 15 32.283	-4.4774475 2.314804 11.4045105
2015-06-23-15 15 32.288	-4.2191772 1.987503 11.877014
2015-06-23-15 15 32.294	-3.954956 1.7899323 12.251923
2015-06-23-15 15 32.299	-3.7312012 1.5364227 12.816071
2015-06-23-15 15 32.303	-3.5491028 1.3317108 13.265961
2015-06-23-15 15 32.309	-3.306305 1.0782013 13.830109
2015-06-23-15 15 32.314	-3.0896912 0.8615875 14.394257
2015-06-23-15 15 32.319	-3.0896912 0.8615875 14.394257
2015-06-23-15 15 32.323	-3.0968323 0.6473541 14.28595
2015-06-23-15 15 32.329	-3.1444397 0.59498596 13.936035
2015-06-23-15 15 32.334	-3.0551758 0.5188141 13.514709
2015-06-23-15 15 32.339	-2.9968567 0.52952576 12.994598
2015-06-23-15 15 32.344	-2.9766235 0.6164093 12.324524
2015-06-23-15 15 32.349	-2.9718628 0.6164093 11.643738
2015-06-23-15 15 32.354	-2.7088318 0.70448303 10.82489
2015-06-23-15 15 32.359	-2.524353 0.79374695 10.1345825
2015-06-23-15 15 32.364	-2.3041687 0.8044586 9.683502
2015-06-23-15 15 32.369	-2.0458984 0.8961029 9.240753
2015-06-23-15 15 32.374	-1.7804871 0.9460907 8.90155
2015-06-23-15 15 32.379	-1.54245 1.0639191 8.609955
2015-06-23-15 15 32.384	-1.3710632 1.0817719 8.307648
2015-06-23-15 15 32.389	-1.2389526 1.0924835 8.114838
2015-06-23-15 15 32.394	-1.125885 1.2400665 7.8268127
2015-06-23-15 15 32.399	-1.0378113 1.3221893 7.635193
2015-06-23-15 15 32.404	-0.99972534 1.3709869 7.3697815
2015-06-23-15 15 32.409	-1.0175781 1.4197845 7.129364
2015-06-23-15 15 32.416	-0.9128418 1.4769135 6.892517
2015-06-23-15 15 32.420	-0.79977417 1.5269012 6.7139893
2015-06-23-15 15 32.424	-0.6390991 1.6054535 6.52713
2015-06-23-15 15 32.429	-0.49627686 1.7066193 6.339081
2015-06-23-15 15 32.434	-0.32965088 1.7411346 6.26886
