2015-06-24-09 55 22.184	0.54870605 1.864914 7.867279
2015-06-24-09 55 22.189	0.503479 1.8565826 8.356445
2015-06-24-09 55 22.195	0.5272827 1.9113312 8.793243
2015-06-24-09 55 22.200	0.5963135 1.9851227 9.174103
2015-06-24-09 55 22.205	0.6927185 1.9732208 9.520447
2015-06-24-09 55 22.209	0.8022156 2.0374908 9.683502
2015-06-24-09 55 22.215	0.8414917 2.1041412 9.616852
2015-06-24-09 55 22.220	0.85339355 2.0934296 9.456177
2015-06-24-09 55 22.224	0.76651 2.1053314 9.199097
2015-06-24-09 55 22.230	0.7272339 2.1815033 9.011047
2015-06-24-09 55 22.235	0.52371216 2.1684113 8.922974
2015-06-24-09 55 22.240	0.3630371 2.1886444 8.908691
2015-06-24-09 55 22.245	0.12142944 1.9898834 9.087219
2015-06-24-09 55 22.250	-0.18682861 1.6887665 9.376434
2015-06-24-09 55 22.255	-0.4355774 1.4531097 9.934631
2015-06-24-09 55 22.260	-0.74502563 1.2234039 10.576141
2015-06-24-09 55 22.265	-0.9556885 0.86753845 11.33786
2015-06-24-09 55 22.270	-1.279419 0.56999207 12.210266
2015-06-24-09 55 22.275	-1.4222412 0.34028625 13.170746
2015-06-24-09 55 22.280	-1.3746338 0.29148865 14.362122
2015-06-24-09 55 22.285	-1.1627808 0.47001648 15.547546
2015-06-24-09 55 22.290	-1.0711365 0.691391 16.636566
2015-06-24-09 55 22.295	-0.9878235 0.76994324 16.98648
2015-06-24-09 55 22.301	-0.8652344 0.61997986 16.738922
2015-06-24-09 55 22.306	-0.5664978 0.5009613 16.02243
2015-06-24-09 55 22.310	-0.22015381 0.48667908 15.190491
2015-06-24-09 55 22.315	-0.034484863 0.46168518 14.227631
2015-06-24-09 55 22.321	-0.13327026 0.68663025 13.079102
2015-06-24-09 55 22.325	-0.58673096 0.8473053 12.2126465
2015-06-24-09 55 22.330	-1.0449524 1.0472565 11.511627
2015-06-24-09 55 22.336	-1.6210022 1.1567535 11.187897
2015-06-24-09 55 22.341	-2.088745 1.1186676 11.255737
2015-06-24-09 55 22.346	-2.2053833 0.78422546 11.472351
2015-06-24-09 55 22.351	-2.24823 0.49024963 12.148376
2015-06-24-09 55 22.356	-2.1601563 0.13319397 13.0672
2015-06-24-09 55 22.361	-2.088745 0.12843323 13.909851
2015-06-24-09 55 22.366	-2.0101929 0.09391785 14.784637
2015-06-24-09 55 22.371	-2.0054321 -0.010818481 15.533264
2015-06-24-09 55 22.376	-1.9721069 -1.0681152E-4 15.845093
2015-06-24-09 55 22.381	-2.0018616 0.04273987 15.82843
2015-06-24-09 55 22.386	-2.0375671 0.1796112 15.321411
2015-06-24-09 55 22.391	-2.1565857 0.37956238 14.424011
2015-06-24-09 55 22.396	-2.2506104 0.56285095 13.2969055
2015-06-24-09 55 22.401	-2.2815552 0.7663727 12.10434
2015-06-24-09 55 22.406	-2.293457 1.056778 10.815369
2015-06-24-09 55 22.411	-2.1958618 1.2864838 9.634705
2015-06-24-09 55 22.416	-2.132782 1.550705 8.753967
2015-06-24-09 55 22.421	-1.8269043 1.8613434 7.855377
2015-06-24-09 55 22.426	-1.5924377 2.1457977 7.084137
2015-06-24-09 55 22.431	-1.3663025 2.2612457 6.4140625
2015-06-24-09 55 22.436	-1.1425476 2.4885712 5.974884
2015-06-24-09 55 22.442	-0.96520996 2.6266327 5.3250427
2015-06-24-09 55 22.446	-1.0330505 2.7277985 4.6882935
2015-06-24-09 55 22.451	-1.3210754 2.756363 4.287201
2015-06-24-09 55 22.458	-1.5567322 2.724228 4.2062683
2015-06-24-09 55 22.462	-1.7388306 2.7325592 4.5597534
2015-06-24-09 55 22.466	-1.6864624 2.782547 5.267914
2015-06-24-09 55 22.471	-1.5781555 2.7551727 6.064148
2015-06-24-09 55 22.477	-1.4246216 2.5718842 6.987732
2015-06-24-09 55 22.482	-1.1496887 2.4957123 8.045807
2015-06-24-09 55 22.486	-0.8033447 2.4504852 8.89917
2015-06-24-09 55 22.491	-0.5843506 2.377884 9.440704
2015-06-24-09 55 22.497	-0.38796997 2.3874054 9.66684
2015-06-24-09 55 22.503	-0.39630127 2.3897858 9.4776
2015-06-24-09 55 22.507	-0.39630127 2.5183258 8.992004
2015-06-24-09 55 22.512	-0.39035034 2.7230377 8.254089
2015-06-24-09 55 22.517	-0.40820313 2.9289398 7.35907
2015-06-24-09 55 22.522	-0.41415405 3.0955658 6.5473633
2015-06-24-09 55 22.527	-0.41534424 3.1943512 5.911804
2015-06-24-09 55 22.532	-0.3534546 3.263382 5.43454
2015-06-24-09 55 22.537	-0.41296387 3.4216766 5.05011
2015-06-24-09 55 22.542	-0.37249756 3.57164 5.0608215
2015-06-24-09 55 22.547	-0.21777344 3.629959 5.1619873
2015-06-24-09 55 22.552	3.0517578E-5 3.673996 5.429779
2015-06-24-09 55 22.557	0.14761353 3.5621185 5.7285156
2015-06-24-09 55 22.562	0.3309021 3.4157257 6.328369
2015-06-24-09 55 22.567	0.522522 3.3169403 7.012726
2015-06-24-09 55 22.572	0.74627686 3.2538605 7.6578064
2015-06-24-09 55 22.577	0.8153076 3.0943756 8.407623
2015-06-24-09 55 22.583	0.97836304 3.052719 8.942017
2015-06-24-09 55 22.587	0.881958 3.000351 9.449036
2015-06-24-09 55 22.592	0.7748413 2.9741669 9.803711
2015-06-24-09 55 22.597	0.77008057 2.9253693 10.05365
2015-06-24-09 55 22.603	0.7260437 2.9420319 10.2178955
2015-06-24-09 55 22.608	0.60821533 2.884903 10.513062
2015-06-24-09 55 22.612	0.42492676 2.839676 10.620178
2015-06-24-09 55 22.618	0.31781006 2.8253937 10.542816
2015-06-24-09 55 22.623	0.21307373 2.7337494 10.378571
2015-06-24-09 55 22.627	0.28329468 2.7730255 10.211945
2015-06-24-09 55 22.632	0.20831299 2.6361542 9.92392
2015-06-24-09 55 22.637	0.04525757 2.5457 9.776337
2015-06-24-09 55 22.643	-0.14993286 2.3862152 9.695404
2015-06-24-09 55 22.648	-0.31536865 2.250534 10.081024
2015-06-24-09 55 22.653	-0.22372437 2.1231842 10.602325
2015-06-24-09 55 22.658	-0.13565063 1.9625092 11.410461
2015-06-24-09 55 22.663	-0.11065674 1.7744598 12.231689
2015-06-24-09 55 22.668	-0.11779785 1.3828888 13.187408
2015-06-24-09 55 22.673	-0.049957275 1.140091 14.152649
2015-06-24-09 55 22.678	0.06430054 1.056778 15.11908
2015-06-24-09 55 22.683	0.24163818 0.86634827 15.926025
2015-06-24-09 55 22.688	0.46896362 0.94847107 16.394958
2015-06-24-09 55 22.693	0.5951233 1.0389252 16.258087
2015-06-24-09 55 22.698	0.6296387 1.0912933 15.179779
2015-06-24-09 55 22.703	0.8807678 0.90800476 13.870575
2015-06-24-09 55 22.708	1.2699585 0.78422546 12.604218
2015-06-24-09 55 22.713	1.6686707 0.91871643 11.604462
2015-06-24-09 55 22.718	2.055481 1.26268 10.557098
2015-06-24-09 55 22.724	2.1483154 1.6209259 9.532349
2015-06-24-09 55 22.728	2.0650024 1.7994537 8.628998
2015-06-24-09 55 22.733	1.8900452 2.1112823 7.3709717
2015-06-24-09 55 22.738	1.7150879 2.410019 6.441437
2015-06-24-09 55 22.744	1.5710754 2.6052094 5.5416565
2015-06-24-09 55 22.748	1.2782898 2.4004974 5.0036926
2015-06-24-09 55 22.753	0.9640808 2.2588654 4.975128
2015-06-24-09 55 22.761	0.78793335 2.1184235 6.5628357
2015-06-24-09 55 22.764	0.58203125 2.0101166 7.788727
2015-06-24-09 55 22.769	0.58203125 2.0101166 7.788727
2015-06-24-09 55 22.774	0.40231323 1.762558 9.011047
2015-06-24-09 55 22.779	0.2892456 1.6732941 10.277405
2015-06-24-09 55 22.784	0.20593262 1.595932 11.427124
2015-06-24-09 55 22.789	0.11785889 1.3733673 12.29715
2015-06-24-09 55 22.796	-0.15588379 1.1876984 12.986267
2015-06-24-09 55 22.799	-0.35583496 0.99845886 13.219543
2015-06-24-09 55 22.805	-0.5319824 0.8722992 13.160034
2015-06-24-09 55 22.809	-0.63790894 0.8235016 12.726807
2015-06-24-09 55 22.814	-0.7735901 0.89134216 11.927002
2015-06-24-09 55 22.819	-0.94021606 0.922287 11.004608
2015-06-24-09 55 22.824	-1.0949402 1.0163116 10.213135
2015-06-24-09 55 22.829	-1.1092224 1.0258331 9.648987
2015-06-24-09 55 22.834	-1.0092468 1.1246185 8.784912
2015-06-24-09 55 22.839	-0.8473816 1.0877228 8.628998
2015-06-24-09 55 22.844	-0.7569275 1.115097 8.589722
2015-06-24-09 55 22.849	-0.5236511 1.2007904 8.64566
2015-06-24-09 55 22.854	-0.48080444 1.0877228 8.859894
2015-06-24-09 55 22.859	-0.13684082 0.9806061 9.150299
2015-06-24-09 55 22.865	0.123809814 0.91871643 9.441895
2015-06-24-09 55 22.869	0.4618225 0.8627777 9.79776
2015-06-24-09 55 22.874	0.66415405 0.9151459 9.85965
2015-06-24-09 55 22.879	0.85220337 0.9044342 9.838226
2015-06-24-09 55 22.885	0.94503784 1.0032196 9.665649
2015-06-24-09 55 22.889	1.099762 1.1091461 9.263367
2015-06-24-09 55 22.894	1.1842651 1.1698456 8.813477
2015-06-24-09 55 22.899	1.1616516 1.2245941 8.19696
2015-06-24-09 55 22.905	1.0557251 1.3995514 7.6589966
2015-06-24-09 55 22.911	0.9890747 1.4721527 7.1853027
2015-06-24-09 55 22.914	0.7605591 1.5852203 6.809204
2015-06-24-09 55 22.920	0.66296387 1.7447052 6.5545044
2015-06-24-09 55 22.925	0.53204346 1.7316132 6.52594
2015-06-24-09 55 22.930	0.31185913 1.7458954 6.499756
2015-06-24-09 55 22.935	0.038116455 1.8577728 6.8556213
2015-06-24-09 55 22.940	-0.18563843 1.9327545 7.36026
2015-06-24-09 55 22.945	-0.3451233 1.993454 8.082703
2015-06-24-09 55 22.950	-0.2618103 1.9279938 8.721832
