2015-07-01-16 00 10.003	2.6243896 0.4842987 12.87439
2015-07-01-16 00 10.008	3.2480469 0.16889954 13.4635315
2015-07-01-16 00 10.013	3.7324524 -0.15245056 14.144318
2015-07-01-16 00 10.019	3.877655 -0.2976532 14.54422
2015-07-01-16 00 10.023	3.7729187 -0.19529724 14.681091
2015-07-01-16 00 10.032	3.5801086 -0.023910522 14.209778
2015-07-01-16 00 10.034	3.4432373 0.3117218 13.295715
2015-07-01-16 00 10.039	3.4432373 0.3117218 13.295715
2015-07-01-16 00 10.043	3.049286 0.4188385 12.87915
2015-07-01-16 00 10.048	2.7267456 0.61402893 12.74704
2015-07-01-16 00 10.054	2.8017273 1.0972443 12.629211
2015-07-01-16 00 10.059	2.8017273 1.0972443 12.629211
2015-07-01-16 00 10.063	3.1111755 1.4578705 12.286438
2015-07-01-16 00 10.068	3.4718018 1.8601532 11.6604
2015-07-01-16 00 10.074	3.8490906 2.67305 9.878693
2015-07-01-16 00 10.083	3.8943176 2.9765472 9.101501
2015-07-01-16 00 10.084	3.97406 3.0301056 8.638519
2015-07-01-16 00 10.089	3.8526611 2.9003754 8.633759
2015-07-01-16 00 10.094	3.4837036 2.5933075 9.147919
2015-07-01-16 00 10.099	3.030243 2.0398712 9.612091
2015-07-01-16 00 10.104	2.5910645 1.3959808 10.422607
2015-07-01-16 00 10.109	2.0447693 0.81159973 10.946289
2015-07-01-16 00 10.114	1.6698608 0.20817566 11.348572
2015-07-01-16 00 10.119	1.5246582 -0.33573914 11.871063
2015-07-01-16 00 10.124	1.5353699 -0.6023407 12.5589905
2015-07-01-16 00 10.129	1.606781 -0.8403778 13.300476
2015-07-01-16 00 10.136	1.7043762 -1.0272369 14.059814
2015-07-01-16 00 10.140	1.7745972 -1.2152863 14.681091
2015-07-01-16 00 10.144	1.882904 -1.3700104 15.133362
2015-07-01-16 00 10.149	1.9876404 -1.4342804 15.12146
2015-07-01-16 00 10.154	2.0840454 -1.4104767 14.778687
2015-07-01-16 00 10.160	2.3220825 -1.290268 14.077667
2015-07-01-16 00 10.164	2.4125366 -0.90345764 12.966034
2015-07-01-16 00 10.169	2.4887085 -0.58924866 11.843689
2015-07-01-16 00 10.174	2.607727 -0.2071991 10.664215
2015-07-01-16 00 10.180	2.5577393 -0.06913757 9.60733
2015-07-01-16 00 10.184	1.8638611 -0.5713959 8.598053
2015-07-01-16 00 10.189	2.3625488 0.16651917 7.80777
2015-07-01-16 00 10.195	2.6481934 0.8556366 7.205536
2015-07-01-16 00 10.200	2.8648071 1.3769379 7.2995605
2015-07-01-16 00 10.204	2.632721 1.4126434 7.2364807
2015-07-01-16 00 10.209	2.3042297 1.1127167 7.186493
2015-07-01-16 00 10.215	1.9685974 0.8794403 7.142456
2015-07-01-16 00 10.220	1.6984253 0.71281433 7.3578796
2015-07-01-16 00 10.225	1.6412964 0.75328064 7.630432
2015-07-01-16 00 10.230	1.4960938 0.78660583 8.06366
2015-07-01-16 00 10.235	1.27948 0.7009125 8.245758
2015-07-01-16 00 10.241	0.9747925 0.67829895 8.3255005
2015-07-01-16 00 10.245	0.59750366 0.6354523 8.198151
2015-07-01-16 00 10.250	0.24163818 0.6009369 7.9613037
2015-07-01-16 00 10.255	-0.0047302246 0.62117004 7.5233154
2015-07-01-16 00 10.260	-0.24871826 0.6830597 6.9770203
2015-07-01-16 00 10.265	-0.51174927 0.77589417 6.481903
2015-07-01-16 00 10.270	-0.631958 0.86872864 5.872528
2015-07-01-16 00 10.275	-0.49627686 0.41645813 4.941803
2015-07-01-16 00 10.281	-0.5688782 0.49143982 4.6502075
2015-07-01-16 00 10.286	-0.57006836 0.6223602 4.3681335
2015-07-01-16 00 10.290	-0.6224365 0.8806305 4.288391
2015-07-01-16 00 10.295	-0.6486206 1.0270233 4.1539
2015-07-01-16 00 10.301	-1.1627808 0.8246918 4.249115
2015-07-01-16 00 10.305	-1.1461182 1.1734161 4.628784
2015-07-01-16 00 10.310	-1.0842285 1.628067 5.044159
2015-07-01-16 00 10.315	-0.93188477 2.1386566 5.6511536
2015-07-01-16 00 10.321	-0.7866821 2.5873566 6.4069214
2015-07-01-16 00 10.325	-0.81762695 2.852768 7.1710205
2015-07-01-16 00 10.331	-1.805481 3.3966827 7.572113
2015-07-01-16 00 10.336	-3.0468445 3.8834686 7.7875366
2015-07-01-16 00 10.341	-2.2268066 3.917984 8.041046
2015-07-01-16 00 10.345	-0.84976196 3.469284 7.898224
2015-07-01-16 00 10.350	0.030975342 2.892044 8.055328
2015-07-01-16 00 10.356	0.42016602 2.6004486 8.3897705
2015-07-01-16 00 10.361	0.47372437 2.5825958 8.974152
2015-07-01-16 00 10.366	0.23092651 2.6397247 9.534729
2015-07-01-16 00 10.371	-0.23324585 2.8372955 9.740631
2015-07-01-16 00 10.376	-0.6557617 2.9206085 9.946533
2015-07-01-16 00 10.381	-0.94021606 3.0217743 10.044128
2015-07-01-16 00 10.386	-1.0116272 3.1110382 9.970337
2015-07-01-16 00 10.391	-1.1520691 3.0812836 9.821564
2015-07-01-16 00 10.396	-1.2746582 3.0753326 9.883453
2015-07-01-16 00 10.401	-1.2532349 2.956314 10.036987
2015-07-01-16 00 10.406	-1.1544495 2.8218231 10.334534
2015-07-01-16 00 10.411	-1.0140076 2.6635284 10.530914
2015-07-01-16 00 10.416	-0.65219116 2.5207062 10.979614
2015-07-01-16 00 10.421	-0.74383545 2.3219452 11.523529
2015-07-01-16 00 10.426	-0.83428955 2.3100433 11.884155
2015-07-01-16 00 10.431	-0.57125854 2.2148285 12.190033
2015-07-01-16 00 10.438	-0.34631348 2.1457977 12.3602295
2015-07-01-16 00 10.443	-0.14041138 1.9506073 12.393555
2015-07-01-16 00 10.446	-0.14279175 1.7958832 12.437592
2015-07-01-16 00 10.451	-0.41415405 1.8149261 12.457825
2015-07-01-16 00 10.456	-0.62719727 1.8303986 12.320953
2015-07-01-16 00 10.462	-1.0151978 1.9648895 12.051971
2015-07-01-16 00 10.466	-1.4043884 2.1208038 11.609222
2015-07-01-16 00 10.471	-1.5543518 2.2398224 11.216461
2015-07-01-16 00 10.477	-1.5543518 2.2838593 10.985565
2015-07-01-16 00 10.483	-1.7328796 2.3362274 10.986755
2015-07-01-16 00 10.486	-1.9256897 2.4088287 11.192657
2015-07-01-16 00 10.491	-1.9863892 2.506424 11.567566
2015-07-01-16 00 10.497	-2.0197144 2.5754547 11.9496155
2015-07-01-16 00 10.502	-2.0578003 2.7218475 12.223358
2015-07-01-16 00 10.507	-2.3327332 3.3252716 12.281677
2015-07-01-16 00 10.512	-2.5338745 3.346695 12.062683
2015-07-01-16 00 10.517	-2.7945251 3.2883759 11.712769
2015-07-01-16 00 10.522	-2.4446106 3.136032 11.07959
2015-07-01-16 00 10.527	-1.9459229 3.077713 10.160767
2015-07-01-16 00 10.532	-1.5852966 3.174118 9.458557
2015-07-01-16 00 10.537	-1.3674927 3.2431488 9.244324
2015-07-01-16 00 10.542	-1.4008179 3.2419586 9.183624
2015-07-01-16 00 10.547	-1.09375 3.1467438 9.438324
2015-07-01-16 00 10.552	-0.7497864 2.9456024 9.99057
2015-07-01-16 00 10.557	-0.30941772 2.621872 10.638031
2015-07-01-16 00 10.563	0.13690186 2.4790497 11.652069
2015-07-01-16 00 10.567	0.4630127 2.3683624 12.8541565
2015-07-01-16 00 10.572	0.68795776 2.2660065 13.845581
2015-07-01-16 00 10.578	1.0021667 2.051773 14.758453
2015-07-01-16 00 10.583	1.1985474 1.8887177 15.254761
2015-07-01-16 00 10.588	1.3818359 1.5780792 15.474945
2015-07-01-16 00 10.592	1.40802 1.3186188 15.360687
2015-07-01-16 00 10.598	1.1545105 1.1734161 14.940552
2015-07-01-16 00 10.603	0.9819336 1.2019806 14.1586
2015-07-01-16 00 10.608	0.76412964 1.1389008 13.376648
2015-07-01-16 00 10.612	0.65582275 1.255539 12.603027
2015-07-01-16 00 10.618	0.5772705 1.2983856 11.65683
2015-07-01-16 00 10.623	0.6927185 1.332901 10.723724
2015-07-01-16 00 10.627	0.5760803 1.3043365 10.013184
2015-07-01-16 00 10.633	0.74627686 1.2650604 9.247894
2015-07-01-16 00 10.638	0.8010254 1.3055267 8.678986
2015-07-01-16 00 10.643	0.933136 1.2841034 8.154114
2015-07-01-16 00 10.648	0.9831238 1.3162384 7.9267883
2015-07-01-16 00 10.653	0.9248047 1.2698212 7.6661377
2015-07-01-16 00 10.658	0.9962158 1.2960052 7.6209106
2015-07-01-16 00 10.663	1.0819092 1.2567291 7.6125793
