2015-07-01-15 51 46.976	-1.7578735 -0.30003357 12.10791
2015-07-01-15 51 46.981	-1.2353821 -0.44166565 11.749664
2015-07-01-15 51 46.986	-0.8283386 -0.45118713 11.543762
2015-07-01-15 51 46.991	-0.60458374 -0.38215637 11.452118
2015-07-01-15 51 46.997	-0.37487793 -0.31907654 11.003418
2015-07-01-15 51 47.001	-0.34155273 -0.33335876 10.421417
2015-07-01-15 51 47.006	-0.058288574 -0.296463 10.101257
2015-07-01-15 51 47.011	-0.15588379 -0.31907654 10.065552
2015-07-01-15 51 47.017	-0.37963867 -0.14649963 10.126251
2015-07-01-15 51 47.021	1.5496521 -0.32383728 10.5963745
2015-07-01-15 51 47.027	1.3616028 -0.8237152 11.08078
2015-07-01-15 51 47.032	0.63201904 -0.9903412 11.832977
2015-07-01-15 51 47.038	-0.47009277 -0.64875793 12.23288
2015-07-01-15 51 47.041	-0.75216675 -0.33216858 12.181702
2015-07-01-15 51 47.046	-0.94973755 -0.32740784 11.760376
2015-07-01-15 51 47.054	-0.6736145 -0.3547821 11.578278
2015-07-01-15 51 47.058	-0.8795166 0.18675232 11.588989
2015-07-01-15 51 47.061	-0.73431396 0.18318176 11.164093
2015-07-01-15 51 47.067	-0.63671875 0.23554993 11.114105
2015-07-01-15 51 47.072	-0.5093689 0.21412659 10.782043
2015-07-01-15 51 47.077	-0.16778564 0.18080139 10.279785
2015-07-01-15 51 47.082	0.1904602 0.061782837 9.787048
2015-07-01-15 51 47.087	0.11071777 0.13319397 9.105072
2015-07-01-15 51 47.092	-0.09399414 0.29862976 8.262421
2015-07-01-15 51 47.098	-0.3356018 0.4771576 7.4519043
2015-07-01-15 51 47.102	-0.5069885 0.575943 6.5759277
2015-07-01-15 51 47.107	-0.664093 0.7342377 5.8939514
2015-07-01-15 51 47.112	-0.5022278 0.8282623 5.551178
2015-07-01-15 51 47.117	-1.0711365 0.25102234 5.7070923
2015-07-01-15 51 47.122	-0.8985596 0.14509583 5.7273254
2015-07-01-15 51 47.127	-0.7236023 0.45811462 6.052246
2015-07-01-15 51 47.132	-1.2889404 0.8294525 6.493805
2015-07-01-15 51 47.137	-1.2853699 1.1258087 6.7984924
2015-07-01-15 51 47.142	-1.2889404 1.1293793 6.8068237
2015-07-01-15 51 47.148	-1.4508057 1.0222626 6.6330566
2015-07-01-15 51 47.153	-1.5210266 0.76161194 6.5116577
