2015-07-01-19 42 52.717	-2.0601807 0.80088806 12.090057
2015-07-01-19 42 52.722	-2.017334 0.76161194 11.760376
2015-07-01-19 42 52.727	-1.8161926 0.7806549 11.377136
2015-07-01-19 42 52.732	-1.6352844 0.74256897 11.1093445
2015-07-01-19 42 52.742	-1.4091492 0.69496155 10.741577
2015-07-01-19 42 52.744	-1.2139587 0.6902008 10.522583
2015-07-01-19 42 52.748	-1.010437 0.6818695 10.390472
2015-07-01-19 42 52.752	-0.9104614 0.6497345 10.320251
2015-07-01-19 42 52.758	-0.71884155 0.6473541 10.109589
2015-07-01-19 42 52.763	-0.49865723 0.659256 10.11911
2015-07-01-19 42 52.768	3.0517578E-5 0.7056732 10.37381
2015-07-01-19 42 52.772	0.38684082 0.7544708 10.367859
2015-07-01-19 42 52.777	0.43920898 0.7961273 10.379761
2015-07-01-19 42 52.782	0.46896362 0.74375916 10.295258
2015-07-01-19 42 52.788	0.23925781 0.7889862 10.063171
2015-07-01-19 42 52.793	-0.06304932 0.82588196 9.575195
2015-07-01-19 42 52.798	-0.3522644 0.8473053 8.96463
2015-07-01-19 42 52.802	-0.63790894 0.99012756 8.268372
2015-07-01-19 42 52.807	-0.8961792 1.1412811 7.475708
2015-07-01-19 42 52.815	-1.0842285 1.2733917 6.642578
2015-07-01-19 42 52.818	-1.2163391 1.365036 6.059387
2015-07-01-19 42 52.822	-1.324646 1.5066681 5.601166
2015-07-01-19 42 52.827	-1.3401184 1.6542511 5.3059998
2015-07-01-19 42 52.833	-1.2210999 1.8184967 5.216736
2015-07-01-19 42 52.838	-0.9854431 1.9029999 5.3738403
2015-07-01-19 42 52.843	-0.82595825 1.9149017 5.5487976
2015-07-01-19 42 52.848	-0.6902771 1.8470612 5.7999268
2015-07-01-19 42 52.853	-0.5010376 1.7375641 5.9570313
2015-07-01-19 42 52.858	-0.31655884 1.6732941 6.1891174
2015-07-01-19 42 52.863	-0.013061523 1.6292572 6.391449
2015-07-01-19 42 52.868	0.19165039 1.5780792 6.649719
2015-07-01-19 42 52.873	0.35946655 1.5435638 6.623535
2015-07-01-19 42 52.880	0.44754028 1.5792694 6.752075
2015-07-01-19 42 52.883	0.5713196 1.5756989 6.660431
2015-07-01-19 42 52.888	0.5058594 1.5745087 6.5223694
2015-07-01-19 42 52.898	0.47372437 1.5697479 6.5116577
2015-07-01-19 42 52.900	0.48086548 1.6828156 6.487854
2015-07-01-19 42 52.903	0.47610474 1.7542267 6.4200134
2015-07-01-19 42 52.908	0.44873047 1.8542023 6.6009216
2015-07-01-19 42 52.914	0.4784851 1.9006195 6.544983
2015-07-01-19 42 52.919	0.4284973 1.9375153 6.609253
2015-07-01-19 42 52.923	0.34518433 1.961319 6.7461243
2015-07-01-19 42 52.928	0.3142395 1.9387054 6.7996826
2015-07-01-19 42 52.935	0.14047241 1.9791718 6.8187256
2015-07-01-19 42 52.939	0.04525757 2.1065216 7.044861
2015-07-01-19 42 52.943	-0.03805542 2.0862885 7.0281982
2015-07-01-19 42 52.948	-0.013061523 2.1267548 7.23172
2015-07-01-19 42 52.954	-0.0642395 2.1707916 7.2471924
2015-07-01-19 42 52.959	-0.124938965 2.1124725 7.326935
2015-07-01-19 42 52.964	-0.060668945 2.1565094 7.4352417
2015-07-01-19 42 52.972	0.014312744 2.102951 7.539978
2015-07-01-19 42 52.974	-0.010681152 2.0696259 7.687561
2015-07-01-19 42 52.979	-0.021392822 2.0624847 7.795868
2015-07-01-19 42 52.984	-0.010681152 2.0970001 7.9743958
2015-07-01-19 42 52.989	0.10714722 2.076767 8.246948
2015-07-01-19 42 52.994	0.15951538 2.0529633 8.443329
2015-07-01-19 42 52.999	0.21902466 2.0672455 8.668274
2015-07-01-19 42 53.004	0.2892456 2.0303497 8.952728
2015-07-01-19 42 53.009	0.2809143 2.1100922 9.139587
2015-07-01-19 42 53.014	0.29400635 2.070816 9.250275
2015-07-01-19 42 53.019	0.34994507 2.0160675 9.306213
2015-07-01-19 42 53.024	0.5594177 1.9529877 9.374054
2015-07-01-19 42 53.029	0.50942993 1.9244232 9.402618
2015-07-01-19 42 53.034	0.54989624 1.8875275 9.582336
2015-07-01-19 42 53.039	0.5201416 1.8423004 9.768005
2015-07-01-19 42 53.045	0.5106201 1.7530365 10.11792
2015-07-01-19 42 53.049	0.50109863 1.6066437 10.491638
2015-07-01-19 42 53.055	0.48919678 1.5733185 11.086731
2015-07-01-19 42 53.059	0.4046936 1.5459442 11.558044
2015-07-01-19 42 53.064	0.3713684 1.499527 12.191223
2015-07-01-19 42 53.069	0.36660767 1.4900055 12.642303
2015-07-01-19 42 53.074	0.3630371 1.4138336 13.020782
2015-07-01-19 42 53.080	0.37374878 1.3924103 13.227875
2015-07-01-19 42 53.084	0.3463745 1.3816986 13.169556
2015-07-01-19 42 53.090	0.44039917 1.4685822 12.920807
2015-07-01-19 42 53.095	0.5463257 1.5578461 12.5078125
2015-07-01-19 42 53.100	0.6034546 1.499527 11.907959
2015-07-01-19 42 53.104	0.5617981 1.4078827 11.439026
2015-07-01-19 42 53.110	0.64868164 1.2543488 10.987946
2015-07-01-19 42 53.115	0.7677002 1.1924591 10.722534
2015-07-01-19 42 53.120	0.8331604 1.1912689 10.555908
2015-07-01-19 42 53.125	0.89624023 1.2650604 10.56543
2015-07-01-19 42 53.129	0.81411743 1.3769379 10.803467
2015-07-01-19 42 53.135	0.67367554 1.384079 10.998657
2015-07-01-19 42 53.140	0.4630127 1.3864594 11.14267
2015-07-01-19 42 53.145	0.24163818 1.3186188 11.568756
2015-07-01-19 42 53.150	0.06430054 1.2638702 11.927002
2015-07-01-19 42 53.155	-0.071380615 1.2210236 12.285248
2015-07-01-19 42 53.160	-0.15112305 1.1198578 12.698242
2015-07-01-19 42 53.165	-0.036865234 0.9960785 13.0529175
2015-07-01-19 42 53.170	0.11428833 0.86872864 13.450439
2015-07-01-19 42 53.175	0.33685303 0.7175751 13.972931
2015-07-01-19 42 53.180	0.49990845 0.5342865 14.295471
2015-07-01-19 42 53.185	0.6867676 0.37956238 14.643005
2015-07-01-19 42 53.190	0.8998108 0.18437195 14.933411
2015-07-01-19 42 53.197	1.0283508 -0.103652954 15.214294
2015-07-01-19 42 53.201	1.0235901 -0.1738739 15.12146
2015-07-01-19 42 53.205	1.0235901 -0.1738739 15.12146
2015-07-01-19 42 53.210	0.9890747 -0.26789856 15.036957
2015-07-01-19 42 53.215	0.86291504 -0.2559967 14.795349
2015-07-01-19 42 53.221	0.77127075 -0.22743225 14.309753
2015-07-01-19 42 53.225	0.503479 -0.20362854 13.934845
2015-07-01-19 42 53.230	0.3630371 -0.10960388 13.383789
2015-07-01-19 42 53.239	0.15118408 -0.044143677 12.752991
2015-07-01-19 42 53.241	0.051208496 0.07368469 12.178131
2015-07-01-19 42 53.245	0.05596924 0.15699768 11.485443
2015-07-01-19 42 53.250	0.03692627 0.32600403 10.88678
2015-07-01-19 42 53.256	-0.036865234 0.36647034 10.271454
2015-07-01-19 42 53.261	-0.07733154 0.4426422 9.7239685
2015-07-01-19 42 53.265	-0.13565063 0.47834778 9.238373
2015-07-01-19 42 53.270	-0.08328247 0.5271454 8.631378
2015-07-01-19 42 53.276	-0.06661987 0.7068634 7.4888
2015-07-01-19 42 53.281	-0.06661987 0.7068634 7.4888
2015-07-01-19 42 53.286	-0.05947876 0.75090027 6.9984436
2015-07-01-19 42 53.291	0.03930664 0.8639679 6.518799
2015-07-01-19 42 53.296	0.19522095 0.96751404 5.954651
2015-07-01-19 42 53.301	0.23806763 1.0008392 5.8427734
2015-07-01-19 42 53.306	0.2809143 0.9960785 5.866577
2015-07-01-19 42 53.311	0.39517212 1.0222626 5.916565
2015-07-01-19 42 53.316	0.41064453 0.95799255 6.01297
2015-07-01-19 42 53.321	0.4463501 0.9115753 6.20578
2015-07-01-19 42 53.326	0.3642273 0.8639679 6.423584
2015-07-01-19 42 53.331	0.4380188 0.838974 6.685425
2015-07-01-19 42 53.336	0.51538086 0.8127899 7.0424805
2015-07-01-19 42 53.342	0.5617981 0.8365936 7.3888245
2015-07-01-19 42 53.347	0.57250977 0.8461151 7.509033
2015-07-01-19 42 53.351	0.5344238 0.8294525 7.534027
2015-07-01-19 42 53.356	0.44873047 0.8889618 7.5804443
2015-07-01-19 42 53.362	0.38565063 0.88301086 7.566162
2015-07-01-19 42 53.366	0.31900024 0.9472809 7.585205
2015-07-01-19 42 53.371	0.2559204 1.0163116 7.4804688
2015-07-01-19 42 53.376	0.13928223 1.0151215 7.313843
2015-07-01-19 42 53.382	0.07620239 1.0817719 7.281708
2015-07-01-19 42 53.386	0.07739258 1.1258087 7.1769714
2015-07-01-19 42 53.392	0.0262146 1.2543488 7.117462
2015-07-01-19 42 53.397	0.10595703 1.3031464 7.135315
2015-07-01-19 42 53.402	-0.003540039 1.416214 7.2150574
2015-07-01-19 42 53.406	-0.11779785 1.4542999 7.340027
2015-07-01-19 42 53.411	-0.2772827 1.5495148 7.340027
2015-07-01-19 42 53.417	-0.43795776 1.5328522 7.4733276
2015-07-01-19 42 53.422	-0.54626465 1.6066437 7.6447144
2015-07-01-19 42 53.427	-0.71051025 1.5542755 7.8779907
2015-07-01-19 42 53.432	-0.86642456 1.5292816 8.06485
2015-07-01-19 42 53.437	-0.86761475 1.5114288 8.301697
2015-07-01-19 42 53.442	-0.7819214 1.4138336 8.51236
2015-07-01-19 42 53.447	-0.67718506 1.3733673 8.867035
2015-07-01-19 42 53.452	-0.6093445 1.3852692 9.178864
2015-07-01-19 42 53.457	-0.50579834 1.3602753 9.496643
2015-07-01-19 42 53.462	-0.5415039 1.365036 9.675171
2015-07-01-19 42 53.467	-0.5938721 1.2888641 9.787048
2015-07-01-19 42 53.472	-0.6236267 1.2317352 9.791809
2015-07-01-19 42 53.477	-0.69384766 1.1412811 9.747772
2015-07-01-19 42 53.482	-0.8533325 1.1305695 9.781097
2015-07-01-19 42 53.487	-1.0259094 1.0532074 9.753723
2015-07-01-19 42 53.492	-1.1270752 0.9770355 9.884644
2015-07-01-19 42 53.499	-1.3175049 0.9139557 10.114349
2015-07-01-19 42 53.503	-1.3258362 0.9627533 10.2690735
2015-07-01-19 42 53.507	-1.2770386 0.99131775 10.668976
2015-07-01-19 42 53.512	-1.1484985 1.050827 11.111725
2015-07-01-19 42 53.517	-0.9711609 1.0948639 11.563995
2015-07-01-19 42 53.523	-0.84143066 0.95799255 11.957947
2015-07-01-19 42 53.527	-0.6581421 0.88420105 12.259064
2015-07-01-19 42 53.532	-0.43081665 0.8330231 12.384033
2015-07-01-19 42 53.538	-0.15112305 0.6735382 12.447113
2015-07-01-19 42 53.543	0.0178833 0.6497345 12.399506
2015-07-01-19 42 53.547	0.09524536 0.68782043 12.225739
2015-07-01-19 42 53.552	0.07620239 0.7140045 11.836548
2015-07-01-19 42 53.558	-0.17373657 0.7413788 11.442596
2015-07-01-19 42 53.563	-0.54507446 0.7068634 10.930817
2015-07-01-19 42 53.568	-0.8723755 0.6759186 10.478546
2015-07-01-19 42 53.573	-1.3389282 0.672348 10.228607
2015-07-01-19 42 53.578	-1.7435913 0.67829895 10.330963
2015-07-01-19 42 53.583	-2.0280457 0.7259064 10.664215
2015-07-01-19 42 53.588	-2.3327332 0.73661804 11.342621
2015-07-01-19 42 53.593	-2.6469421 0.7378082 12.016266
2015-07-01-19 42 53.598	-2.63266 0.5914154 12.613739
2015-07-01-19 42 53.603	-2.3803406 0.39146423 13.111237
2015-07-01-19 42 53.608	-2.004242 0.22840881 13.352844
2015-07-01-19 42 53.613	-1.4888916 0.110580444 13.336182
2015-07-01-19 42 53.618	-0.98187256 0.024887085 13.355225
2015-07-01-19 42 53.623	-0.55578613 -0.035812378 13.244537
2015-07-01-19 42 53.628	-0.336792 -0.08699036 13.164795
2015-07-01-19 42 53.633	-0.26776123 -0.1250763 13.098145
2015-07-01-19 42 53.638	-0.44985962 -0.082229614 12.739899
2015-07-01-19 42 53.644	-0.64624023 -0.023910522 12.501862
2015-07-01-19 42 53.649	-0.95806885 0.114151 12.204315
2015-07-01-19 42 53.653	-1.2984619 0.2534027 11.927002
2015-07-01-19 42 53.658	-1.6459961 0.3855133 11.443787
2015-07-01-19 42 53.664	-1.9102173 0.511673 11.047455
2015-07-01-19 42 53.668	-1.9506836 0.6485443 10.495209
2015-07-01-19 42 53.673	-1.9518738 0.69496155 10.059601
2015-07-01-19 42 53.679	-1.7757263 0.82707214 9.7323
2015-07-01-19 42 53.684	-1.5924377 0.76042175 9.333588
2015-07-01-19 42 53.688	-1.4448547 0.75923157 9.122925
2015-07-01-19 42 53.694	-1.2163391 0.7961273 8.89917
2015-07-01-19 42 53.699	-0.8735657 0.85920715 8.817047
2015-07-01-19 42 53.704	-0.56292725 0.90919495 8.77182
2015-07-01-19 42 53.709	-0.122558594 0.9710846 9.041992
2015-07-01-19 42 53.714	0.2892456 0.9306183 9.238373
2015-07-01-19 42 53.719	0.46658325 0.90800476 9.359772
2015-07-01-19 42 53.724	0.62249756 0.8318329 9.519257
2015-07-01-19 42 53.729	0.62249756 0.81159973 9.465698
2015-07-01-19 42 53.734	0.4951477 0.77708435 9.253845
2015-07-01-19 42 53.739	0.22973633 0.8473053 8.870605
2015-07-01-19 42 53.744	-0.055908203 1.0139313 8.317169
2015-07-01-19 42 53.749	-0.20230103 1.1829376 7.8577576
2015-07-01-19 42 53.754	-0.40463257 1.3043365 7.412628
2015-07-01-19 42 53.759	-0.4772339 1.3876495 7.4471436
2015-07-01-19 42 53.765	-0.5926819 1.3900299 7.48999
2015-07-01-19 42 53.769	-0.62719727 1.4055023 7.866089
2015-07-01-19 42 53.774	-0.55340576 1.3340912 8.208862
2015-07-01-19 42 53.779	-0.36773682 1.26268 8.518311
2015-07-01-19 42 53.785	-0.17016602 1.2376862 8.868225
2015-07-01-19 42 53.789	0.13214111 1.2376862 9.136017
2015-07-01-19 42 53.794	0.41659546 1.2519684 9.337158
2015-07-01-19 42 53.801	1.0331116 1.2245941 9.387146
2015-07-01-19 42 53.806	1.0331116 1.2245941 9.387146
2015-07-01-19 42 53.809	1.2675781 1.2138824 9.258606
2015-07-01-19 42 53.815	1.4580078 1.0817719 9.063416
2015-07-01-19 42 53.820	1.5722656 1.0805817 8.893219
2015-07-01-19 42 53.827	1.6139221 1.0044098 8.648041
2015-07-01-19 42 53.829	1.6377258 0.9960785 8.208862
2015-07-01-19 42 53.835	1.5770264 1.1139069 7.7363586
2015-07-01-19 42 53.840	1.3925476 1.2614899 7.418579
2015-07-01-19 42 53.846	1.1164246 1.3436127 7.0162964
2015-07-01-19 42 53.850	0.9736023 1.5102386 6.6711426
2015-07-01-19 42 53.855	1.209259 1.6590118 6.559265
2015-07-01-19 42 53.860	1.0640564 1.8411102 6.4985657
2015-07-01-19 42 53.865	0.79507446 1.8922882 6.4450073
