2015-07-07-18 33 25.212	-2.0470886 1.1174774 15.31308
2015-07-07-18 33 25.217	-2.5576782 0.8211212 15.086945
2015-07-07-18 33 25.222	-3.037323 0.30934143 14.602539
2015-07-07-18 33 25.227	-3.480072 -0.23576355 13.899139
2015-07-07-18 33 25.232	-3.9335327 -0.7177887 13.00293
2015-07-07-18 33 25.237	-4.3036804 -1.1772003 12.220978
2015-07-07-18 33 25.242	-4.460785 -1.6401825 11.690155
2015-07-07-18 33 25.247	-4.5274353 -1.8389435 11.231934
2015-07-07-18 33 25.252	-4.4953003 -1.9615326 11.068878
2015-07-07-18 33 25.257	-4.4845886 -1.9591522 11.106964
2015-07-07-18 33 25.262	-4.801178 -2.605423 11.043884
2015-07-07-18 33 25.269	-4.0418396 -2.509018 11.277161
2015-07-07-18 33 25.273	-4.0418396 -2.509018 11.277161
2015-07-07-18 33 25.277	-3.421753 -1.9948578 11.454498
2015-07-07-18 33 25.282	-2.6743164 -1.5318756 11.562805
2015-07-07-18 33 25.287	-1.9173584 -1.117691 11.59137
2015-07-07-18 33 25.293	-1.0568542 -0.7749176 11.53067
2015-07-07-18 33 25.297	-0.33322144 -0.49998474 11.578278
2015-07-07-18 33 25.302	0.30233765 -0.16673279 11.622314
2015-07-07-18 33 25.308	0.6927185 0.14628601 11.669922
2015-07-07-18 33 25.313	1.1711731 0.4842987 11.78775
2015-07-07-18 33 25.317	1.4889526 0.71876526 11.800842
2015-07-07-18 33 25.322	1.79245 0.93299866 11.622314
2015-07-07-18 33 25.328	2.0221558 1.0532074 11.65683
2015-07-07-18 33 25.333	2.087616 1.1389008 11.449738
2015-07-07-18 33 25.338	2.1138 1.1865082 11.122437
2015-07-07-18 33 25.343	1.972168 1.1091461 10.777283
2015-07-07-18 33 25.348	1.7757874 0.9687042 10.280975
2015-07-07-18 33 25.353	1.4603882 0.69377136 9.781097
2015-07-07-18 33 25.358	1.1795044 0.5997467 9.144348
2015-07-07-18 33 25.363	0.8831482 0.48667908 8.636139
2015-07-07-18 33 25.368	0.5427551 0.29743958 8.170776
2015-07-07-18 33 25.373	0.08453369 0.18080139 7.770874
2015-07-07-18 33 25.378	-0.26776123 0.080825806 7.290039
2015-07-07-18 33 25.383	-0.5986328 0.06416321 7.0567627
2015-07-07-18 33 25.388	-0.93307495 0.06654358 6.852051
2015-07-07-18 33 25.393	-1.1354065 0.12605286 6.7092285
2015-07-07-18 33 25.398	-1.2782288 0.25816345 6.59021
2015-07-07-18 33 25.403	-1.241333 0.42955017 6.392639
2015-07-07-18 33 25.408	-1.1972961 0.61283875 6.167694
2015-07-07-18 33 25.414	-1.080658 0.9044342 5.827301
2015-07-07-18 33 25.419	-0.65219116 1.4709625 4.5990295
2015-07-07-18 33 25.423	-0.65219116 1.4709625 4.5990295
2015-07-07-18 33 25.428	-0.5010376 1.6768646 4.017029
2015-07-07-18 33 25.434	-0.30703735 1.9113312 3.556427
2015-07-07-18 33 25.439	-0.052337646 2.1077118 3.2493591
2015-07-07-18 33 25.444	-0.0725708 2.3219452 3.1220093
2015-07-07-18 33 25.453	-0.103515625 2.436203 3.4576416
2015-07-07-18 33 25.456	-0.103515625 2.436203 3.4576416
2015-07-07-18 33 25.458	-0.2618103 2.4135895 3.543335
