2015-07-07-18 29 51.056	0.4451599 2.8694305 4.737091
2015-07-07-18 29 51.062	0.47610474 2.9396515 4.743042
2015-07-07-18 29 51.067	0.54751587 2.9860687 4.677582
2015-07-07-18 29 51.072	0.77960205 3.1134186 4.6811523
2015-07-07-18 29 51.078	0.91052246 3.1253204 4.754944
2015-07-07-18 29 51.082	0.9902649 3.1943512 4.9072876
2015-07-07-18 29 51.088	0.97003174 3.1824493 5.1000977
2015-07-07-18 29 51.092	0.8843384 3.2003021 5.3107605
2015-07-07-18 29 51.097	0.85339355 3.2729034 5.4976196
2015-07-07-18 29 51.102	0.798645 3.3121796 5.7344666
2015-07-07-18 29 51.107	0.64868164 3.3764496 6.1450806
2015-07-07-18 29 51.112	0.49395752 3.3526459 6.475952
2015-07-07-18 29 51.117	0.37612915 3.2943268 6.918701
2015-07-07-18 29 51.122	0.3059082 3.3752594 7.315033
2015-07-07-18 29 51.130	0.26068115 3.3431244 7.585205
2015-07-07-18 29 51.132	0.21902466 3.4026337 7.7673035
2015-07-07-18 29 51.137	0.323761 3.4228668 7.976776
2015-07-07-18 29 51.143	0.4951477 3.4609528 8.080322
2015-07-07-18 29 51.148	0.5272827 3.5383148 8.238617
2015-07-07-18 29 51.152	0.63082886 3.5502167 8.25528
2015-07-07-18 29 51.157	0.71533203 3.5692596 8.393341
2015-07-07-18 29 51.163	0.7319946 3.6371002 8.363586
2015-07-07-18 29 51.168	0.76174927 3.6275787 8.459991
2015-07-07-18 29 51.172	0.7569885 3.7275543 8.410004
2015-07-07-18 29 51.181	0.78793335 3.82872 8.3862
2015-07-07-18 29 51.183	0.76293945 3.8941803 8.25528
2015-07-07-18 29 51.188	0.8902893 4.013199 8.024384
2015-07-07-18 29 51.197	0.91052246 4.1524506 7.8137207
2015-07-07-18 29 51.200	0.91052246 4.1524506 7.8137207
2015-07-07-18 29 51.203	0.90219116 4.2155304 7.782776
2015-07-07-18 29 51.208	0.9176636 4.220291 7.7030334
2015-07-07-18 29 51.215	0.8807678 4.2940826 7.700653
2015-07-07-18 29 51.218	0.901001 4.2928925 7.8196716
2015-07-07-18 29 51.223	0.73080444 4.2548065 8.093414
2015-07-07-18 29 51.230	0.6451111 4.2488556 8.367157
2015-07-07-18 29 51.233	0.55822754 4.2369537 8.594482
2015-07-07-18 29 51.238	0.42492676 4.2024384 8.839661
2015-07-07-18 29 51.244	0.2892456 4.2155304 9.383575
2015-07-07-18 29 51.249	0.2892456 4.2155304 9.383575
2015-07-07-18 29 51.253	0.21426392 4.2857513 9.751343
2015-07-07-18 29 51.258	0.2737732 4.3047943 9.952484
2015-07-07-18 29 51.263	0.64749146 4.482132 9.845367
2015-07-07-18 29 51.269	0.64749146 4.482132 9.845367
2015-07-07-18 29 51.273	0.8581543 4.419052 9.546631
2015-07-07-18 29 51.282	1.1497498 4.3762054 9.276459
2015-07-07-18 29 51.284	1.4949036 4.3309784 8.807526
2015-07-07-18 29 51.289	1.4949036 4.3309784 8.807526
2015-07-07-18 29 51.293	1.6722412 4.2048187 8.564728
2015-07-07-18 29 51.298	1.6353455 4.0858 8.711121
2015-07-07-18 29 51.304	1.5401306 4.013199 8.930115
2015-07-07-18 29 51.309	1.3794556 3.8846588 9.289551
2015-07-07-18 29 51.315	1.2402039 3.7335052 9.779907
2015-07-07-18 29 51.319	1.0021667 3.6454315 10.2500305
2015-07-07-18 29 51.324	0.7522278 3.5383148 10.69397
2015-07-07-18 29 51.329	0.63201904 3.5406952 11.268829
2015-07-07-18 29 51.334	0.66296387 3.597824 11.775848
2015-07-07-18 29 51.339	0.8093567 3.8239594 12.093628
2015-07-07-18 29 51.346	1.0319214 4.0941315 12.482819
2015-07-07-18 29 51.350	1.1545105 4.21315 12.616119
2015-07-07-18 29 51.354	1.2390137 4.334549 12.689911
2015-07-07-18 29 51.359	1.2592468 4.27742 12.7387085
2015-07-07-18 29 51.364	1.2378235 4.1381683 12.744659
2015-07-07-18 29 51.369	1.0569153 4.08461 12.864868
2015-07-07-18 29 51.374	0.7653198 3.8906097 13.076721
2015-07-07-18 29 51.379	0.6296387 3.7108917 13.313568
2015-07-07-18 29 51.384	0.4308777 3.4633331 13.492096
2015-07-07-18 29 51.390	0.35232544 3.2717133 13.761078
2015-07-07-18 29 51.394	0.31781006 3.115799 13.953888
2015-07-07-18 29 51.399	0.33328247 2.975357 14.049103
2015-07-07-18 29 51.404	0.4368286 2.8313446 13.970551
2015-07-07-18 29 51.410	0.68081665 2.7516022 13.706329
2015-07-07-18 29 51.414	0.90457153 2.7194672 13.379028
2015-07-07-18 29 51.419	1.1842651 2.6873322 12.797028
2015-07-07-18 29 51.425	1.3913574 2.6385345 12.207886
2015-07-07-18 29 51.430	1.5413208 2.6575775 11.588989
2015-07-07-18 29 51.434	1.6651001 2.7028046 10.895111
2015-07-07-18 29 51.440	1.741272 2.6778107 10.375
2015-07-07-18 29 51.445	1.6627197 2.5730743 9.919159
2015-07-07-18 29 51.450	1.4353943 2.5861664 9.737061
2015-07-07-18 29 51.455	1.1664124 2.5695038 9.612091
2015-07-07-18 29 51.459	0.8010254 2.5242767 9.684692
2015-07-07-18 29 51.465	0.46420288 2.4016876 9.876312
2015-07-07-18 29 51.470	0.09762573 2.2910004 10.094116
2015-07-07-18 29 51.475	-0.19039917 2.1588898 10.509491
2015-07-07-18 29 51.480	-0.48199463 2.146988 11.024841
2015-07-07-18 29 51.485	-0.6390991 2.1005707 11.452118
2015-07-07-18 29 51.490	-0.84262085 2.1124725 11.793701
2015-07-07-18 29 51.496	-0.9521179 2.0815277 12.006744
2015-07-07-18 29 51.500	-1.0342407 2.0743866 12.017456
2015-07-07-18 29 51.505	-1.0663757 2.025589 11.934143
2015-07-07-18 29 51.510	-1.0437622 1.9172821 11.733002
2015-07-07-18 29 51.515	-1.0009155 1.7661285 11.360474
2015-07-07-18 29 51.520	-0.96640015 1.6352081 10.896301
2015-07-07-18 29 51.525	-0.927124 1.5626068 10.386902
2015-07-07-18 29 51.530	-0.7973938 1.5114288 9.822754
2015-07-07-18 29 51.535	-0.64505005 1.5245209 9.2836
2015-07-07-18 29 51.541	-0.55340576 1.5935516 8.818237
2015-07-07-18 29 51.546	-0.4355774 1.6721039 8.315979
2015-07-07-18 29 51.551	-0.22729492 1.7613678 7.8375244
2015-07-07-18 29 51.555	-0.026153564 1.9244232 7.3126526
2015-07-07-18 29 51.560	0.1416626 2.0541534 6.917511
2015-07-07-18 29 51.565	0.28805542 2.1957855 6.4342957
2015-07-07-18 29 51.571	0.47491455 2.3350372 6.1510315
2015-07-07-18 29 51.575	0.6427307 2.4147797 5.814209
2015-07-07-18 29 51.580	0.683197 2.5278473 5.5856934
2015-07-07-18 29 51.586	0.7831726 2.5956879 5.3059998
2015-07-07-18 29 51.591	0.7569885 2.6313934 5.0727234
2015-07-07-18 29 51.596	0.7415161 2.693283 4.8549194
2015-07-07-18 29 51.600	0.71414185 2.7016144 4.6704407
2015-07-07-18 29 51.606	0.7177124 2.7158966 4.4074097
2015-07-07-18 29 51.611	0.5927429 2.7016144 4.2217407
2015-07-07-18 29 51.616	0.6355896 2.7468414 4.100342
2015-07-07-18 29 51.621	0.5260925 2.7980194 4.0551147
2015-07-07-18 29 51.626	0.5879822 2.8563385 4.1110535
2015-07-07-18 29 51.631	0.51776123 2.962265 4.314575
2015-07-07-18 29 51.636	0.4296875 3.045578 4.47406
2015-07-07-18 29 51.641	0.3309021 3.0979462 4.7073364
2015-07-07-18 29 51.648	0.30114746 3.1717377 5.044159
2015-07-07-18 29 51.652	0.12857056 3.174118 5.4571533
2015-07-07-18 29 51.656	-0.0047302246 3.1705475 5.7927856
2015-07-07-18 29 51.661	-0.14160156 3.0943756 6.045105
2015-07-07-18 29 51.666	-0.21539307 3.0562897 6.2200623
2015-07-07-18 29 51.671	-0.22491455 2.9789276 6.4093018
2015-07-07-18 29 51.676	-0.21420288 2.9908295 6.6140137
2015-07-07-18 29 51.681	-0.14993286 2.9658356 6.7485046
2015-07-07-18 29 51.686	-0.1296997 2.9289398 6.7854004
2015-07-07-18 29 51.692	-0.07614136 2.9015656 6.815155
2015-07-07-18 29 51.696	-0.06185913 2.9182281 6.962738
2015-07-07-18 29 51.701	-0.042816162 2.8706207 7.03891
2015-07-07-18 29 51.706	-0.04043579 2.8111115 7.2936096
2015-07-07-18 29 51.712	-0.028533936 2.7718353 7.513794
2015-07-07-18 29 51.716	-0.19754028 2.7349396 7.692322
2015-07-07-18 29 51.721	-0.20587158 2.7170868 7.981537
2015-07-07-18 29 51.727	-0.253479 2.795639 8.104126
2015-07-07-18 29 51.732	-0.24276733 2.8765717 8.420715
2015-07-07-18 29 51.736	-0.22729492 2.9194183 8.609955
2015-07-07-18 29 51.742	-0.19754028 2.897995 8.695648
2015-07-07-18 29 51.747	-0.20825195 3.0051117 8.809906
2015-07-07-18 29 51.752	-0.19158936 3.0860443 8.995575
2015-07-07-18 29 51.757	-0.32608032 3.1503143 9.084839
2015-07-07-18 29 51.762	-0.3605957 3.1955414 9.118164
2015-07-07-18 29 51.767	-0.34988403 3.2645721 9.118164
2015-07-07-18 29 51.772	-0.42010498 3.327652 9.080078
2015-07-07-18 29 51.777	-0.38796997 3.482376 9.15506
2015-07-07-18 29 51.782	-0.35107422 3.5621185 9.128876
2015-07-07-18 29 51.787	-0.28442383 3.6501923 8.926544
2015-07-07-18 29 51.793	-0.22491455 3.8168182 8.83847
2015-07-07-18 29 51.799	-0.12612915 3.8251495 8.744446
2015-07-07-18 29 51.802	-0.16183472 3.9382172 8.607574
2015-07-07-18 29 51.807	-0.103515625 4.0167694 8.405243
2015-07-07-18 29 51.813	0.05596924 4.052475 8.304077
2015-07-07-18 29 51.817	0.10595703 4.097702 8.252899
2015-07-07-18 29 51.822	-0.0071105957 4.072708 8.31955
2015-07-07-18 29 51.827	-0.17492676 3.982254 8.349304
2015-07-07-18 29 51.833	-0.34631348 3.7787323 8.343353
2015-07-07-18 29 51.837	-0.6664734 3.5728302 8.492126
2015-07-07-18 29 51.843	-0.8557129 3.2848053 8.857513
2015-07-07-18 29 51.848	-1.0068665 2.9253693 9.249084
2015-07-07-18 29 51.852	-1.1723022 2.67305 9.845367
2015-07-07-18 29 51.857	-1.2877502 2.4909515 10.667786
2015-07-07-18 29 51.862	-1.4222412 2.3362274 11.6354065
