2015-07-03-16 05 24.764	0.43206787 1.2543488 9.214569
2015-07-03-16 05 24.771	0.388031 1.2126923 9.34787
2015-07-03-16 05 24.775	0.32733154 1.2281647 9.470459
2015-07-03-16 05 24.780	0.20474243 1.2424469 9.656128
2015-07-03-16 05 24.785	-0.122558594 1.3388519 9.9869995
2015-07-03-16 05 24.790	-0.122558594 1.3388519 9.9869995
2015-07-03-16 05 24.795	-0.31536865 1.3209991 10.129822
2015-07-03-16 05 24.800	-0.5855408 1.3043365 10.478546
2015-07-03-16 05 24.805	-0.51651 1.268631 10.613037
2015-07-03-16 05 24.812	-0.40344238 1.2436371 10.790375
2015-07-03-16 05 24.815	-0.35107422 1.2424469 10.966522
2015-07-03-16 05 24.821	-0.24395752 1.2126923 11.07959
2015-07-03-16 05 24.826	-0.4260559 1.1793671 11.117676
2015-07-03-16 05 24.831	-0.81048584 0.9770355 11.812744
2015-07-03-16 05 24.837	-1.0044861 0.95918274 11.053406
2015-07-03-16 05 24.841	-1.1830139 0.8330231 10.576141
2015-07-03-16 05 24.845	-1.3865356 0.7985077 10.17981
2015-07-03-16 05 24.851	-1.324646 0.86872864 9.850128
2015-07-03-16 05 24.855	-1.1282654 1.0936737 9.545441
2015-07-03-16 05 24.860	-0.83309937 1.4328766 9.3776245
2015-07-03-16 05 24.866	-0.5855408 1.8542023 9.1657715
2015-07-03-16 05 24.871	-0.18920898 2.1505585 8.757538
2015-07-03-16 05 24.876	0.07739258 2.6063995 8.567108
2015-07-03-16 05 24.881	0.2975769 2.8456268 8.51355
2015-07-03-16 05 24.886	0.36184692 3.1503143 8.474274
2015-07-03-16 05 24.892	0.43325806 3.3157501 8.595673
2015-07-03-16 05 24.896	0.5451355 3.500229 9.02533
2015-07-03-16 05 24.901	0.6355896 3.5240326 9.627563
2015-07-03-16 05 24.906	0.72961426 3.4359589 10.320251
2015-07-03-16 05 24.911	0.72366333 3.301468 10.912964
2015-07-03-16 05 24.916	0.6105957 3.109848 11.3723755
2015-07-03-16 05 24.922	0.38208008 2.9158478 11.573517
2015-07-03-16 05 24.926	-0.0642395 2.5433197 11.325958
2015-07-03-16 05 24.931	-0.3439331 2.1315155 10.94986
2015-07-03-16 05 24.936	-0.6390991 2.114853 10.773712
2015-07-03-16 05 24.941	-0.61172485 2.4254913 11.184326
2015-07-03-16 05 24.946	-0.4915161 2.6230621 11.449738
2015-07-03-16 05 24.952	-0.20230103 2.6575775 11.196228
2015-07-03-16 05 24.956	0.046447754 2.6123505 11.076019
2015-07-03-16 05 24.961	0.14523315 2.6956635 10.923676
2015-07-03-16 05 24.967	0.31900024 2.7658844 11.021271
2015-07-03-16 05 24.972	0.5296631 2.8123016 11.084351
2015-07-03-16 05 24.976	0.64749146 2.7408905 11.379517
2015-07-03-16 05 24.981	0.64630127 2.493332 11.97699
2015-07-03-16 05 24.989	0.64035034 2.070816 12.206696
2015-07-03-16 05 24.993	0.5701294 1.8232574 12.479248
2015-07-03-16 05 24.996	0.52490234 1.429306 12.714905
2015-07-03-16 05 25.002	0.43325806 1.166275 12.7708435
2015-07-03-16 05 25.007	0.19165039 0.8734894 12.906525
2015-07-03-16 05 25.012	-0.029724121 0.68782043 13.151703
2015-07-03-16 05 25.017	-0.17254639 0.49739075 12.951752
2015-07-03-16 05 25.021	-0.41415405 0.45454407 12.36142
2015-07-03-16 05 25.027	-0.62124634 0.5009613 11.566376
2015-07-03-16 05 25.033	-0.83309937 0.6235504 10.686829
2015-07-03-16 05 25.037	-0.9556885 0.9532318 9.895355
2015-07-03-16 05 25.042	-0.90689087 1.5352325 9.291931
2015-07-03-16 05 25.047	-0.779541 1.8744354 8.542114
2015-07-03-16 05 25.052	-0.67123413 2.0434418 8.138641
2015-07-03-16 05 25.057	-0.6390991 2.1291351 7.801819
2015-07-03-16 05 25.062	-0.7212219 2.0755768 7.604248
2015-07-03-16 05 25.069	-0.9437866 1.9529877 7.5542603
2015-07-03-16 05 25.072	-0.90093994 1.8613434 7.463806
2015-07-03-16 05 25.077	-0.7831116 1.7554169 7.404297
2015-07-03-16 05 25.082	-0.6010132 1.7173309 7.5863953
2015-07-03-16 05 25.087	-0.61172485 1.5030975 7.9351196
2015-07-03-16 05 25.092	-0.5772095 1.3269501 8.358826
2015-07-03-16 05 25.097	-0.36654663 1.1031952 8.694458
2015-07-03-16 05 25.102	-0.34750366 0.81755066 8.952728
