2015-07-03-16 09 11.711	-0.17373657 1.06987 7.6578064
2015-07-03-16 09 11.716	-0.029724121 1.1317596 7.7411194
2015-07-03-16 09 11.721	0.14523315 1.2234039 7.7934875
2015-07-03-16 09 11.726	0.4058838 1.2924347 7.931549
2015-07-03-16 09 11.731	0.6617737 1.3352814 8.098175
2015-07-03-16 09 11.736	0.9164734 1.3531342 8.468323
2015-07-03-16 09 11.741	1.042633 1.3590851 8.812286
2015-07-03-16 09 11.747	1.0711975 1.2924347 9.008667
2015-07-03-16 09 11.752	1.0116882 1.2567291 9.128876
2015-07-03-16 09 11.756	0.98431396 1.1508026 9.166962
2015-07-03-16 09 11.761	0.88671875 1.0615387 9.1657715
2015-07-03-16 09 11.767	0.7688904 0.94966125 9.237183
2015-07-03-16 09 11.771	0.554657 0.8877716 9.168152
2015-07-03-16 09 11.776	0.38684082 0.8080292 9.370483
2015-07-03-16 09 11.781	0.14880371 0.8246918 9.402618
2015-07-03-16 09 11.787	0.123809814 0.7497101 9.487122
2015-07-03-16 09 11.791	0.13928223 0.6509247 9.482361
2015-07-03-16 09 11.797	0.21307373 0.5735626 9.510925
2015-07-03-16 09 11.802	0.39160156 0.33314514 9.452606
2015-07-03-16 09 11.807	0.5046692 0.1712799 9.435944
2015-07-03-16 09 11.811	0.66415405 0.011795044 9.569244
2015-07-03-16 09 11.816	0.7677002 -0.046524048 9.54187
2015-07-03-16 09 11.822	0.8914795 -0.1822052 9.621613
2015-07-03-16 09 11.827	0.9724121 -0.2893219 9.867981
2015-07-03-16 09 11.832	0.997406 -0.3643036 9.944153
2015-07-03-16 09 11.837	0.8902893 -0.4857025 10.111969
2015-07-03-16 09 11.842	0.8272095 -0.4214325 10.674927
2015-07-03-16 09 11.847	0.60583496 -0.5844879 10.702301
2015-07-03-16 09 11.852	0.3796997 -0.64637756 10.521393
2015-07-03-16 09 11.857	0.11428833 -0.707077 10.451172
2015-07-03-16 09 11.862	0.12023926 -0.6904144 10.30835
2015-07-03-16 09 11.868	0.20593262 -0.6927948 10.163147
2015-07-03-16 09 11.872	-0.29870605 -0.39048767 10.678497
2015-07-03-16 09 11.877	0.8272095 -0.55830383 10.560669
2015-07-03-16 09 11.882	1.0533447 -0.76301575 10.820129
2015-07-03-16 09 11.887	1.3020935 -1.0355682 11.618744
2015-07-03-16 09 11.892	1.5675049 -1.2759857 12.132904
2015-07-03-16 09 11.897	0.8890991 -0.97843933 12.797028
2015-07-03-16 09 11.904	1.3128052 -0.98677063 14.193115
2015-07-03-16 09 11.908	1.478241 -1.4616547 14.138367
2015-07-03-16 09 11.912	1.478241 -1.4616547 14.138367
2015-07-03-16 09 11.917	1.7246094 -2.0626984 13.980072
2015-07-03-16 09 11.923	1.9864502 -2.5518646 14.09552
2015-07-03-16 09 11.928	1.9697876 -2.9243927 14.089569
2015-07-03-16 09 11.933	2.1875916 -3.1838531 13.944366
2015-07-03-16 09 11.938	2.0840454 -3.3647614 13.483765
2015-07-03-16 09 11.944	2.042389 -3.2873993 13.011261
2015-07-03-16 09 11.948	1.8948059 -3.118393 12.325714
2015-07-03-16 09 11.952	1.8269653 -2.9410553 11.727051
2015-07-03-16 09 11.957	1.8388672 -2.694687 10.972473
2015-07-03-16 09 11.963	1.5817871 -2.4399872 10.363098
2015-07-03-16 09 11.968	1.2556763 -2.1400604 10.004852
2015-07-03-16 09 11.973	1.1783142 -1.8675079 9.551392
2015-07-03-16 09 11.978	1.2330627 -1.6318512 9.196716
2015-07-03-16 09 11.983	1.440155 -1.3592987 8.442139
2015-07-03-16 09 11.988	1.440155 -1.3592987 8.442139
2015-07-03-16 09 11.993	1.5603638 -1.1807709 8.024384
2015-07-03-16 09 11.998	1.574646 -1.0843658 7.6506653
2015-07-03-16 09 12.003	1.6103516 -0.78681946 7.686371
2015-07-03-16 09 12.008	1.6674805 -0.72135925 7.789917
2015-07-03-16 09 12.013	1.9888306 -0.7106476 8.06842
