2015-06-30-22 47 41.474	-2.036377 2.2410126 13.087433
2015-06-30-22 47 41.481	-1.953064 2.2588654 13.041016
2015-06-30-22 47 41.486	-1.7840576 2.358841 12.958893
2015-06-30-22 47 41.490	-1.8269043 2.2588654 12.768463
2015-06-30-22 47 41.495	-1.6221924 2.3766937 12.376892
2015-06-30-22 47 41.500	-1.4103394 2.3862152 12.219788
2015-06-30-22 47 41.506	-1.4519958 2.333847 12.019836
2015-06-30-22 47 41.510	-1.4996033 2.1588898 12.004364
2015-06-30-22 47 41.515	-1.2663269 1.987503 11.840118
2015-06-30-22 47 41.521	-0.69503784 1.8208771 11.827026
2015-06-30-22 47 41.526	-1.4365234 2.2422028 11.127197
2015-06-30-22 47 41.530	-1.4936523 2.2874298 10.382141
2015-06-30-22 47 41.535	-0.8402405 2.3576508 12.192413
2015-06-30-22 47 41.541	-0.0023498535 2.2874298 10.571381
2015-06-30-22 47 41.546	-0.2939453 1.8982391 10.979614
2015-06-30-22 47 41.550	-0.45343018 1.7399445 10.408325
2015-06-30-22 47 41.557	-0.5819702 2.0410614 10.447601
2015-06-30-22 47 41.561	-0.4677124 2.2671967 10.659454
2015-06-30-22 47 41.566	-0.7247925 2.1291351 11.110535
2015-06-30-22 47 41.572	-0.7224121 1.8292084 11.329529
2015-06-30-22 47 41.575	-0.28442383 1.6173553 11.293823
2015-06-30-22 47 41.581	0.10119629 1.4185944 11.105774
2015-06-30-22 47 41.586	0.3297119 1.2638702 11.07959
2015-06-30-22 47 41.592	0.37731934 1.1115265 11.202179
2015-06-30-22 47 41.596	0.32019043 1.0674896 11.139099
2015-06-30-22 47 41.601	0.11190796 0.9615631 11.179565
2015-06-30-22 47 41.606	-0.15945435 0.88539124 11.064117
2015-06-30-22 47 41.611	-0.26419067 0.9199066 11.095062
2015-06-30-22 47 41.616	-0.41296387 0.9365692 11.01532
2015-06-30-22 47 41.622	-0.631958 0.92466736 11.184326
2015-06-30-22 47 41.626	-1.1520691 0.8246918 11.310486
2015-06-30-22 47 41.631	-1.3472595 0.88301086 11.055786
2015-06-30-22 47 41.636	-1.6543274 1.0032196 10.753479
2015-06-30-22 47 41.642	-1.767395 1.1817474 10.517822
2015-06-30-22 47 41.646	-1.722168 1.4590607 10.44046
2015-06-30-22 47 41.651	-1.8649902 1.6744843 10.429749
2015-06-30-22 47 41.656	-1.947113 1.781601 10.2690735
2015-06-30-22 47 41.661	-2.0197144 1.8149261 9.973907
2015-06-30-22 47 41.666	-2.1315918 1.7804108 9.532349
2015-06-30-22 47 41.671	-2.1184998 1.8303986 9.118164
2015-06-30-22 47 41.677	-1.9459229 2.0850983 8.657562
2015-06-30-22 47 41.681	-1.8150024 2.1493683 8.294556
2015-06-30-22 47 41.687	-1.6400452 2.2410126 8.074371
2015-06-30-22 47 41.691	-1.6590881 2.2850494 7.7684937
2015-06-30-22 47 41.696	-1.5603027 2.3421783 7.5614014
2015-06-30-22 47 41.701	-1.5222168 2.385025 7.579254
2015-06-30-22 47 41.707	-1.4984131 2.398117 7.5637817
2015-06-30-22 47 41.711	-1.4115295 2.423111 7.4792786
2015-06-30-22 47 41.716	-1.2675171 2.4635773 7.449524
