2015-07-02-19 20 16.903	1.093811 0.6235504 7.4792786
2015-07-02-19 20 16.907	0.8902893 0.5200043 7.6768494
2015-07-02-19 20 16.912	0.6867676 0.48191833 7.797058
2015-07-02-19 20 16.918	0.5594177 0.39860535 7.804199
2015-07-02-19 20 16.922	0.48562622 0.32957458 7.968445
2015-07-02-19 20 16.927	0.3892212 0.35813904 8.06604
2015-07-02-19 20 16.932	0.3892212 0.33314514 8.179108
2015-07-02-19 20 16.938	0.41064453 0.3783722 8.201721
2015-07-02-19 20 16.942	0.27734375 0.37361145 8.25766
2015-07-02-19 20 16.947	0.21426392 0.39860535 8.173157
2015-07-02-19 20 16.954	0.17141724 0.46406555 8.137451
2015-07-02-19 20 16.958	0.17141724 0.46406555 8.137451
2015-07-02-19 20 16.962	0.21426392 0.42836 8.179108
2015-07-02-19 20 16.967	0.33447266 0.524765 8.294556
2015-07-02-19 20 16.973	0.55584717 0.58070374 8.427856
2015-07-02-19 20 16.978	0.8022156 0.71995544 8.618286
2015-07-02-19 20 16.982	0.946228 0.78541565 8.882507
2015-07-02-19 20 16.988	1.0140686 0.7163849 9.176483
2015-07-02-19 20 16.993	1.0438232 0.659256 9.395477
2015-07-02-19 20 16.998	1.0259705 0.6497345 9.6406555
2015-07-02-19 20 17.003	0.88552856 0.5081024 9.79776
2015-07-02-19 20 17.008	0.7831726 0.31648254 9.73111
2015-07-02-19 20 17.013	0.670105 0.1308136 9.433563
2015-07-02-19 20 17.018	0.6998596 -0.5844879 7.668518
2015-07-02-19 20 17.023	0.34161377 -0.01676941 9.408569
2015-07-02-19 20 17.028	-0.35702515 0.3355255 10.549957
2015-07-02-19 20 17.033	-0.5498352 0.5092926 10.741577
2015-07-02-19 20 17.038	-0.21063232 0.5497589 10.147675
2015-07-02-19 20 17.043	0.2559204 0.524765 9.5442505
2015-07-02-19 20 17.048	0.5368042 0.57951355 9.6596985
2015-07-02-19 20 17.053	0.56655884 0.691391 9.941772
2015-07-02-19 20 17.059	0.57489014 0.79493713 9.972717
2015-07-02-19 20 17.063	0.50942993 0.8544464 9.98938
2015-07-02-19 20 17.068	0.6593933 0.9377594 9.903687
2015-07-02-19 20 17.073	0.89505005 1.0115509 9.984619
2015-07-02-19 20 17.079	0.9152832 1.0722504 10.122681
2015-07-02-19 20 17.083	1.0973816 1.0151215 10.478546
2015-07-02-19 20 17.088	1.4163513 1.0103607 10.801086
2015-07-02-19 20 17.093	1.6246338 0.9710846 10.966522
2015-07-02-19 20 17.099	1.8602905 0.96513367 11.27359
2015-07-02-19 20 17.105	2.189972 0.9627533 12.023407
2015-07-02-19 20 17.108	2.189972 0.9627533 12.023407
2015-07-02-19 20 17.114	2.2851868 0.88420105 12.350708
2015-07-02-19 20 17.119	2.2113953 0.81755066 12.509003
2015-07-02-19 20 17.123	2.0519104 0.6354523 12.55423
2015-07-02-19 20 17.128	1.7710266 0.51405334 12.644684
2015-07-02-19 20 17.134	1.5532227 0.4259796 12.568512
2015-07-02-19 20 17.139	1.2878113 0.39622498 12.311432
2015-07-02-19 20 17.144	1.0830994 0.34028625 12.167419
2015-07-02-19 20 17.149	0.9557495 0.32362366 11.746094
2015-07-02-19 20 17.154	0.71295166 0.31767273 11.149811
2015-07-02-19 20 17.159	0.71295166 0.31767273 11.149811
2015-07-02-19 20 17.164	0.6272583 0.39265442 10.914154
2015-07-02-19 20 17.169	0.64630127 0.38194275 10.7308655
2015-07-02-19 20 17.174	0.71295166 0.43193054 10.560669
2015-07-02-19 20 17.179	0.7772217 0.51524353 10.514252
2015-07-02-19 20 17.184	0.87719727 0.49739075 10.574951
2015-07-02-19 20 17.193	1.099762 0.41407776 10.685638
2015-07-02-19 20 17.194	1.241394 0.23316956 11.006989
2015-07-02-19 20 17.199	1.3413696 -0.013198853 11.494965
2015-07-02-19 20 17.204	1.3449402 -0.26670837 12.126953
2015-07-02-19 20 17.209	1.311615 -0.59757996 12.960083
2015-07-02-19 20 17.214	1.2378235 -0.9796295 13.9039
2015-07-02-19 20 17.219	1.0854797 -1.2795563 14.812012
2015-07-02-19 20 17.224	0.92837524 -1.5413971 15.560638
