2015-07-01-19 44 49.247	-0.5415039 0.21888733 14.260956
2015-07-01-19 44 49.251	-0.32131958 0.40574646 14.024109
2015-07-01-19 44 49.256	-0.23086548 0.45692444 13.995544
2015-07-01-19 44 49.262	-0.42486572 0.5485687 14.077667
2015-07-01-19 44 49.267	-0.696228 0.7140045 14.115753
2015-07-01-19 44 49.271	-1.0520935 0.9377594 13.956268
2015-07-01-19 44 49.277	-1.3651123 1.2234039 13.705139
2015-07-01-19 44 49.282	-1.5341187 1.5614166 13.074341
2015-07-01-19 44 49.287	-1.7078857 1.8149261 12.3280945
2015-07-01-19 44 49.292	-1.8638 1.9696503 11.511627
2015-07-01-19 44 49.297	-2.0970764 2.1362762 10.613037
2015-07-01-19 44 49.302	-2.1982422 2.22435 9.816803
2015-07-01-19 44 49.307	-2.3684387 2.3350372 8.96344
2015-07-01-19 44 49.312	-2.3303528 2.449295 8.251709
2015-07-01-19 44 49.317	-2.254181 2.5337982 7.5994873
2015-07-01-19 44 49.322	-1.9602051 2.6230621 6.78421
2015-07-01-19 44 49.327	-1.9602051 2.6230621 6.78421
2015-07-01-19 44 49.332	-1.7614441 2.583786 6.6259155
2015-07-01-19 44 49.337	-1.5448303 2.442154 6.559265
2015-07-01-19 44 49.342	-0.9544983 2.1386566 7.0567627
2015-07-01-19 44 49.347	-0.9544983 2.1386566 7.0567627
2015-07-01-19 44 49.352	-0.5831604 1.9589386 7.494751
2015-07-01-19 44 49.357	-0.23562622 1.8149261 7.906555
2015-07-01-19 44 49.362	0.55584717 1.5328522 8.523071
2015-07-01-19 44 49.368	0.9426575 1.4376373 8.803955
2015-07-01-19 44 49.374	1.0438232 1.4138336 8.807526
2015-07-01-19 44 49.377	1.0854797 1.378128 8.814667
2015-07-01-19 44 49.382	1.0378723 1.467392 8.494507
2015-07-01-19 44 49.388	0.9557495 1.4435883 8.1315
2015-07-01-19 44 49.392	0.9985962 1.563797 7.6399536
2015-07-01-19 44 49.397	1.0628662 1.6744843 7.130554
2015-07-01-19 44 49.403	1.0223999 1.7209015 6.7020874
2015-07-01-19 44 49.408	1.0188293 1.8196869 6.2986145
2015-07-01-19 44 49.413	0.7736511 1.8803864 5.9772644
2015-07-01-19 44 49.418	0.50942993 1.9684601 5.8106384
2015-07-01-19 44 49.423	0.24758911 2.0398712 5.6761475
2015-07-01-19 44 49.428	0.123809814 2.231491 5.8094482
2015-07-01-19 44 49.433	0.09286499 2.2410126 5.9487
2015-07-01-19 44 49.438	0.09524536 2.3647919 6.223633
2015-07-01-19 44 49.443	0.16784668 2.4254913 6.4723816
2015-07-01-19 44 49.448	0.26187134 2.4159698 6.6818542
2015-07-01-19 44 49.453	0.44992065 2.4373932 6.647339
2015-07-01-19 44 49.458	0.59869385 2.3516998 6.6009216
2015-07-01-19 44 49.463	0.70224 2.2790985 6.4592896
2015-07-01-19 44 49.469	0.881958 2.262436 6.2926636
2015-07-01-19 44 49.473	0.9831238 2.2612457 6.123657
2015-07-01-19 44 49.478	1.0366821 2.230301 6.0808105
2015-07-01-19 44 49.483	0.9724121 2.205307 6.135559
2015-07-01-19 44 49.489	0.97598267 2.1850739 6.3497925
2015-07-01-19 44 49.493	0.9057617 2.1696014 6.65567
2015-07-01-19 44 49.498	0.8022156 2.1457977 7.059143
