2015-07-01-19 41 00.352	0.46658325 -0.22029114 15.820099
2015-07-01-19 41 00.357	0.36065674 -0.19529724 15.327362
2015-07-01-19 41 00.361	0.3808899 -0.12150574 14.590637
2015-07-01-19 41 00.366	0.33328247 -0.014389038 13.896759
2015-07-01-19 41 00.372	0.22259521 0.12843323 13.250488
2015-07-01-19 41 00.377	0.038116455 0.23078918 12.723236
2015-07-01-19 41 00.382	-0.003540039 0.24745178 12.320953
2015-07-01-19 41 00.387	0.0036010742 0.2795868 11.967468
2015-07-01-19 41 00.394	-0.05709839 0.2783966 11.794891
2015-07-01-19 41 00.398	0.07977295 0.29981995 11.573517
2015-07-01-19 41 00.402	0.029785156 0.2545929 11.460449
2015-07-01-19 41 00.407	0.067871094 0.17366028 11.361664
2015-07-01-19 41 00.412	0.07858276 0.13319397 11.308105
2015-07-01-19 41 00.417	0.10714722 0.018936157 11.152191
2015-07-01-19 41 00.422	0.16070557 0.06059265 11.020081
2015-07-01-19 41 00.427	0.1821289 -0.05366516 10.7951355
2015-07-01-19 41 00.432	0.2154541 -0.12626648 10.577332
2015-07-01-19 41 00.438	0.18450928 -0.18815613 10.2500305
2015-07-01-19 41 00.442	0.3059082 -0.16673279 9.962006
2015-07-01-19 41 00.447	0.30828857 -0.12864685 9.590668
2015-07-01-19 41 00.452	0.35827637 -0.12269592 9.435944
2015-07-01-19 41 00.457	0.2987671 -0.119125366 9.15387
2015-07-01-19 41 00.462	0.16784668 -0.020339966 9.003906
2015-07-01-19 41 00.467	-0.030914307 0.11534119 9.018188
2015-07-01-19 41 00.472	-0.19277954 0.23674011 8.809906
2015-07-01-19 41 00.478	-0.631958 0.5604706 8.676605
2015-07-01-19 41 00.482	-0.26776123 0.27601624 8.471893
2015-07-01-19 41 00.487	0.0036010742 0.1391449 8.031525
2015-07-01-19 41 00.493	-0.084472656 0.15342712 7.791107
2015-07-01-19 41 00.498	-0.1546936 0.22840881 7.956543
2015-07-01-19 41 00.502	-0.02734375 0.29981995 8.292175
2015-07-01-19 41 00.508	0.04763794 0.29029846 8.431427
2015-07-01-19 41 00.513	0.06906128 0.2534027 8.442139
2015-07-01-19 41 00.518	0.051208496 0.28910828 8.594482
2015-07-01-19 41 00.522	0.19998169 0.36647034 8.70755
2015-07-01-19 41 00.528	0.28805542 0.3605194 8.732544
2015-07-01-19 41 00.533	0.24163818 0.39146423 8.5885315
2015-07-01-19 41 00.538	0.2654419 0.4105072 8.529022
2015-07-01-19 41 00.544	0.29519653 0.3855133 8.494507
2015-07-01-19 41 00.548	0.26306152 0.377182 8.25885
2015-07-01-19 41 00.553	0.1666565 0.34147644 8.080322
2015-07-01-19 41 00.558	0.09643555 0.377182 7.7494507
2015-07-01-19 41 00.563	0.019073486 0.43907166 7.42453
2015-07-01-19 41 00.568	0.051208496 0.52952576 7.200775
2015-07-01-19 41 00.573	0.01550293 0.6747284 6.8258667
2015-07-01-19 41 00.578	-0.0154418945 0.70448303 6.6187744
2015-07-01-19 41 00.583	0.02859497 0.7794647 6.4473877
2015-07-01-19 41 00.589	0.035736084 0.8568268 6.283142
2015-07-01-19 41 00.594	0.091674805 0.85087585 6.4533386
2015-07-01-19 41 00.599	-0.07495117 0.94132996 6.7592163
2015-07-01-19 41 00.603	-0.39630127 1.0127411 6.9770203
2015-07-01-19 41 00.608	-0.58792114 1.0901031 6.9544067
2015-07-01-19 41 00.614	-0.5736389 1.0686798 6.955597
2015-07-01-19 41 00.619	-0.52127075 1.1841278 6.97583
2015-07-01-19 41 00.623	-0.51651 1.2448273 7.1198425
2015-07-01-19 41 00.628	-0.5843506 1.3102875 7.128174
2015-07-01-19 41 00.634	-0.6664734 1.3174286 6.9579773
2015-07-01-19 41 00.639	-0.7640686 1.3090973 6.8818054
2015-07-01-19 41 00.644	-0.77835083 1.3400421 7.0091553
2015-07-01-19 41 00.649	-0.7723999 1.3043365 7.2233887
2015-07-01-19 41 00.654	-0.811676 1.3448029 7.342407
2015-07-01-19 41 00.659	-0.8961792 1.403122 7.564972
2015-07-01-19 41 00.664	-0.9723511 1.4150238 7.8196716
2015-07-01-19 41 00.669	-0.9366455 1.51857 8.045807
2015-07-01-19 41 00.674	-0.97354126 1.5673676 8.25528
2015-07-01-19 41 00.679	-0.9687805 1.5971222 8.406433
2015-07-01-19 41 00.684	-0.96520996 1.6649628 8.276703
2015-07-01-19 41 00.689	-0.946167 1.6744843 8.2421875
2015-07-01-19 41 00.696	-0.8961792 1.64711 8.181488
2015-07-01-19 41 00.700	-0.80929565 1.6328278 8.182678
2015-07-01-19 41 00.704	-0.80929565 1.6328278 8.182678
2015-07-01-19 41 00.709	-0.8985596 1.6125946 8.414764
2015-07-01-19 41 00.714	-1.0068665 1.5495148 8.687317
2015-07-01-19 41 00.719	-1.0556641 1.5019073 9.001526
2015-07-01-19 41 00.724	-1.0413818 1.4542999 9.390717
2015-07-01-19 41 00.729	-1.0985107 1.4221649 9.996521
2015-07-01-19 41 00.735	-1.0473328 1.3662262 10.520203
2015-07-01-19 41 00.740	-1.0044861 1.3376617 10.997467
