2015-06-29-23 01 24.020	1.8412476 0.86039734 9.327637
2015-06-29-23 01 24.027	2.1304626 0.70329285 8.734924
2015-06-29-23 01 24.030	2.2387695 0.67710876 8.364777
2015-06-29-23 01 24.036	2.2958984 0.66044617 7.9541626
2015-06-29-23 01 24.041	2.2851868 0.6663971 7.7042236
2015-06-29-23 01 24.045	2.1744995 0.78660583 7.2674255
2015-06-29-23 01 24.051	1.9578857 0.85087585 6.943695
2015-06-29-23 01 24.056	1.7936401 0.96513367 6.6199646
2015-06-29-23 01 24.060	1.5698853 1.0115509 6.615204
2015-06-29-23 01 24.065	1.2675781 1.0389252 6.7223206
2015-06-29-23 01 24.072	1.042633 1.0912933 6.9198914
2015-06-29-23 01 24.076	0.8986206 1.0912933 7.1519775
2015-06-29-23 01 24.081	0.9581299 1.0615387 7.4923706
2015-06-29-23 01 24.085	0.97598267 1.0496368 7.9220276
2015-06-29-23 01 24.092	1.0545349 0.95680237 8.267181
2015-06-29-23 01 24.096	1.1390381 0.8163605 8.500458
2015-06-29-23 01 24.101	1.3104248 0.7223358 8.812286
2015-06-29-23 01 24.106	1.5460815 0.6663971 9.03009
2015-06-29-23 01 24.112	1.677002 0.69377136 9.299072
2015-06-29-23 01 24.116	1.6305847 0.68782043 9.481171
2015-06-29-23 01 24.121	1.5567932 0.65449524 9.500214
2015-06-29-23 01 24.127	1.3830261 0.74375916 9.701355
2015-06-29-23 01 24.131	1.1199951 0.7413788 9.585907
2015-06-29-23 01 24.139	0.8355408 0.8246918 9.513306
2015-06-29-23 01 24.141	0.6582031 0.8734894 9.427612
2015-06-29-23 01 24.146	0.41064453 0.8806305 9.569244
2015-06-29-23 01 24.151	0.23449707 0.9627533 9.701355
2015-06-29-23 01 24.157	-0.084472656 1.0472565 9.852509
2015-06-29-23 01 24.161	-0.09399414 1.1555634 9.878693
2015-06-29-23 01 24.166	-0.17730713 1.1650848 9.715637
2015-06-29-23 01 24.173	-0.22372437 1.2234039 9.4930725
2015-06-29-23 01 24.177	-0.26657104 1.2912445 9.314545
2015-06-29-23 01 24.181	-0.1963501 1.3043365 9.09198
2015-06-29-23 01 24.187	-0.103515625 1.3709869 8.871796
2015-06-29-23 01 24.191	-0.029724121 1.4757233 8.6409
2015-06-29-23 01 24.197	0.067871094 1.5614166 8.540924
2015-06-29-23 01 24.201	0.06311035 1.6530609 8.415955
2015-06-29-23 01 24.207	0.14523315 1.7209015 8.286224
2015-06-29-23 01 24.212	0.09286499 1.8184967 8.146973
2015-06-29-23 01 24.217	0.12976074 1.8149261 8.107697
2015-06-29-23 01 24.222	0.16546631 1.9601288 7.9791565
2015-06-29-23 01 24.227	0.14523315 2.0208282 7.8779907
2015-06-29-23 01 24.233	0.07977295 2.1303253 7.8303833
2015-06-29-23 01 24.240	0.070251465 2.2422028 7.7304077
2015-06-29-23 01 24.242	0.01550293 2.3433685 7.6459045
2015-06-29-23 01 24.247	0.013122559 2.385025 7.55188
2015-06-29-23 01 24.252	-0.044006348 2.4445343 7.509033
2015-06-29-23 01 24.257	-0.10827637 2.519516 7.3769226
2015-06-29-23 01 24.262	-0.21658325 2.6016388 7.417389
2015-06-29-23 01 24.267	-0.26538086 2.648056 7.345978
2015-06-29-23 01 24.273	-0.3272705 2.6980438 7.457855
2015-06-29-23 01 24.278	-0.40701294 2.7742157 7.4792786
2015-06-29-23 01 24.282	-0.44509888 2.8051605 7.520935
2015-06-29-23 01 24.288	-0.4105835 2.8682404 7.5114136
2015-06-29-23 01 24.301	-0.40582275 2.922989 7.545929
2015-06-29-23 01 24.302	-0.47247314 2.9598846 7.520935
2015-06-29-23 01 24.304	-0.41177368 2.9515533 7.6661377
2015-06-29-23 01 24.307	-0.5688782 2.9955902 7.8125305
2015-06-29-23 01 24.312	-0.6057739 3.0039215 8.082703
2015-06-29-23 01 24.317	-0.5760193 3.0015411 8.185059
2015-06-29-23 01 24.322	-0.6926575 3.0408173 8.223145
2015-06-29-23 01 24.327	-0.6402893 3.0610504 8.205292
2015-06-29-23 01 24.332	-0.6914673 3.0574799 8.121979
2015-06-29-23 01 24.338	-0.6878967 3.0634308 8.338593
2015-06-29-23 01 24.342	-0.7236023 3.1217499 8.343353
2015-06-29-23 01 24.347	-0.8319092 3.1122284 8.539734
2015-06-29-23 01 24.353	-0.8795166 3.090805 8.782532
2015-06-29-23 01 24.358	-0.84262085 3.0789032 8.909882
2015-06-29-23 01 24.363	-0.7497864 3.134842 9.024139
2015-06-29-23 01 24.367	-0.7402649 3.1122284 9.064606
2015-06-29-23 01 24.373	-0.73550415 3.1622162 9.139587
2015-06-29-23 01 24.378	-0.6152954 3.219345 9.164581
2015-06-29-23 01 24.384	-0.5831604 3.231247 9.205048
2015-06-29-23 01 24.388	-0.567688 3.18602 9.271698
2015-06-29-23 01 24.393	-0.50341797 3.2038727 9.2836
2015-06-29-23 01 24.398	-0.42843628 3.269333 9.316925
2015-06-29-23 01 24.403	-0.38916016 3.2014923 9.537109
2015-06-29-23 01 24.408	-0.37963867 3.161026 9.568054
2015-06-29-23 01 24.413	-0.42367554 3.1503143 9.60495
2015-06-29-23 01 24.418	-0.46295166 3.153885 9.842987
2015-06-29-23 01 24.423	-0.54507446 3.109848 9.842987
2015-06-29-23 01 24.428	-0.6069641 3.1181793 9.929871
2015-06-29-23 01 24.434	-0.71051025 3.052719 9.888214
2015-06-29-23 01 24.439	-0.79382324 2.9729767 10.205994
2015-06-29-23 01 24.443	-0.92474365 2.949173 10.3333435
2015-06-29-23 01 24.448	-0.9890137 2.8753815 10.463074
2015-06-29-23 01 24.453	-1.0509033 2.8063507 10.627319
2015-06-29-23 01 24.459	-1.0889893 2.7147064 10.723724
2015-06-29-23 01 24.463	-1.1377869 2.5933075 10.94986
2015-06-29-23 01 24.468	-1.2127686 2.5611725 11.056976
2015-06-29-23 01 24.473	-1.1663513 2.4790497 11.27359
2015-06-29-23 01 24.479	-1.1282654 2.4088287 11.396179
2015-06-29-23 01 24.483	-0.97354126 2.4159698 11.423553
2015-06-29-23 01 24.490	-0.830719 2.41716 11.506866
2015-06-29-23 01 24.495	-0.73669434 2.411209 11.534241
2015-06-29-23 01 24.502	-0.6093445 2.3707428 11.555664
2015-06-29-23 01 24.506	-0.5855408 2.3921661 11.572327
2015-06-29-23 01 24.509	-0.5236511 2.500473 11.539001
2015-06-29-23 01 24.514	-0.63671875 2.4850006 11.455688
2015-06-29-23 01 24.519	-0.7557373 2.5373688 11.285492
2015-06-29-23 01 24.524	-0.92355347 2.5349884 11.085541
2015-06-29-23 01 24.529	-0.9878235 2.6361542 10.968903
2015-06-29-23 01 24.536	-1.1461182 2.5314178 10.69754
2015-06-29-23 01 24.540	-1.2984619 2.4969025 10.818939
2015-06-29-23 01 24.544	-1.2984619 2.4969025 10.818939
2015-06-29-23 01 24.549	-1.3472595 2.4195404 10.893921
2015-06-29-23 01 24.554	-1.3686829 2.2410126 11.625885
2015-06-29-23 01 24.559	-1.3686829 2.2410126 11.625885
2015-06-29-23 01 24.564	-1.177063 2.0434418 12.029358
2015-06-29-23 01 24.569	-0.95092773 1.7292328 12.658966
2015-06-29-23 01 24.574	-0.8699951 1.5554657 13.125519
2015-06-29-23 01 24.580	-0.7128906 1.4709625 13.368317
2015-06-29-23 01 24.584	-0.52841187 1.3257599 13.630157
2015-06-29-23 01 24.589	-0.49746704 1.1888885 13.872955
2015-06-29-23 01 24.594	-0.31655884 1.0615387 14.077667
2015-06-29-23 01 24.600	-0.18920898 0.9210968 14.034821
2015-06-29-23 01 24.604	-0.12374878 0.80326843 13.927704
2015-06-29-23 01 24.609	-0.082092285 0.7639923 13.630157
2015-06-29-23 01 24.614	-0.21777344 0.66996765 13.39093
2015-06-29-23 01 24.620	-0.27371216 0.61283875 13.129089
2015-06-29-23 01 24.624	-0.27609253 0.56999207 12.763702
2015-06-29-23 01 24.630	-0.31774902 0.6223602 12.256683
2015-06-29-23 01 24.635	-0.42843628 0.5164337 11.778229
2015-06-29-23 01 24.640	-0.5105591 0.51405334 11.452118
2015-06-29-23 01 24.645	-0.6152954 0.5485687 11.153381
2015-06-29-23 01 24.649	-0.747406 0.45692444 10.893921
2015-06-29-23 01 24.655	-0.7973938 0.48667908 10.710632
2015-06-29-23 01 24.660	-0.75335693 0.47358704 10.551147
2015-06-29-23 01 24.665	-0.8152466 0.55570984 10.386902
2015-06-29-23 01 24.670	-0.79977417 0.62831116 10.282166
2015-06-29-23 01 24.675	-0.86761475 0.6925812 10.219086
2015-06-29-23 01 24.680	-0.811676 0.7389984 9.985809
2015-06-29-23 01 24.686	-0.82714844 0.7961273 9.819183
2015-06-29-23 01 24.690	-0.862854 0.83421326 9.564484
2015-06-29-23 01 24.695	-0.9628296 0.9127655 9.418091
2015-06-29-23 01 24.700	-1.0116272 1.115097 9.194336
2015-06-29-23 01 24.705	-1.0663757 1.1591339 9.013428
2015-06-29-23 01 24.710	-1.163971 1.2733917 8.871796
2015-06-29-23 01 24.715	-1.2306213 1.4233551 8.662323
2015-06-29-23 01 24.721	-1.3151245 1.5292816 8.51593
2015-06-29-23 01 24.725	-1.4234314 1.6423492 8.254089
2015-06-29-23 01 24.731	-1.5186462 1.7351837 8.031525
2015-06-29-23 01 24.736	-1.6995544 1.7970734 7.8637085
2015-06-29-23 01 24.741	-1.818573 1.9303741 7.720886
2015-06-29-23 01 24.745	-1.8864136 1.987503 7.4519043
2015-06-29-23 01 24.751	-1.9316406 2.0493927 7.1912537
2015-06-29-23 01 24.755	-1.9435425 2.0398712 6.8710938
2015-06-29-23 01 24.761	-1.8590393 2.1077118 6.6116333
2015-06-29-23 01 24.765	-1.767395 2.1243744 6.3974
2015-06-29-23 01 24.771	-1.7185974 2.166031 6.2295837
2015-06-29-23 01 24.775	-1.6031494 2.173172 6.043915
2015-06-29-23 01 24.781	-1.6055298 2.1493683 5.979645
2015-06-29-23 01 24.785	-1.4615173 2.1255646 6.046295
2015-06-29-23 01 24.790	-1.3972473 2.1386566 6.0034485
2015-06-29-23 01 24.796	-1.2806091 2.1612701 5.993927
2015-06-29-23 01 24.801	-1.1711121 2.167221 6.0236816
2015-06-29-23 01 24.806	-1.061615 2.1457977 6.071289
2015-06-29-23 01 24.811	-0.9128418 2.1017609 5.9534607
2015-06-29-23 01 24.816	-0.71884155 2.1172333 6.103424
2015-06-29-23 01 24.821	-0.5831604 2.1446075 6.0177307
2015-06-29-23 01 24.826	-0.45343018 2.1874542 6.0177307
2015-06-29-23 01 24.831	-0.3356018 2.135086 6.0867615
2015-06-29-23 01 24.838	-0.3284607 2.064865 6.0820007
2015-06-29-23 01 24.842	-0.2451477 2.1505585 6.110565
2015-06-29-23 01 24.846	-0.20825195 2.211258 6.3569336
2015-06-29-23 01 24.851	-0.18682861 2.3005219 6.5247498
2015-06-29-23 01 24.856	-0.13922119 2.3409882 6.6592407
2015-06-29-23 01 24.862	-0.19754028 2.4397736 6.8044434
2015-06-29-23 01 24.866	-0.15707397 2.4969025 7.0877075
2015-06-29-23 01 24.871	-0.16540527 2.494522 7.270996
2015-06-29-23 01 24.876	-0.14160156 2.564743 7.560211
2015-06-29-23 01 24.882	-0.09875488 2.6373444 7.7351685
2015-06-29-23 01 24.886	-0.010681152 2.7718353 7.987488
2015-06-29-23 01 24.891	-0.042816162 2.8170624 8.1267395
2015-06-29-23 01 24.896	0.08810425 2.9003754 8.295746
2015-06-29-23 01 24.902	0.061920166 2.9384613 8.432617
2015-06-29-23 01 24.906	0.032165527 3.0943756 8.507599
2015-06-29-23 01 24.912	-0.11303711 3.1562653 8.557587
2015-06-29-23 01 24.916	-0.36535645 3.2169647 8.70874
2015-06-29-23 01 24.922	-0.42486572 3.3383636 8.882507
2015-06-29-23 01 24.927	-0.55459595 3.4871368 9.055084
2015-06-29-23 01 24.932	-0.7319336 3.5692596 9.212189
2015-06-29-23 01 24.937	-0.7497864 3.6323395 9.369293
2015-06-29-23 01 24.942	-0.8866577 3.6894684 9.494263
2015-06-29-23 01 24.947	-0.8723755 3.7263641 9.402618
2015-06-29-23 01 24.952	-0.8890381 3.732315 9.591858
2015-06-29-23 01 24.957	-0.7950134 3.757309 9.627563
2015-06-29-23 01 24.962	-0.7069397 3.853714 9.660889
2015-06-29-23 01 24.967	-0.58792114 3.904892 9.663269
2015-06-29-23 01 24.972	-0.50460815 3.9167938 9.720398
2015-06-29-23 01 24.977	-0.37963867 3.9524994 9.73468
2015-06-29-23 01 24.983	-0.21777344 3.9679718 9.821564
2015-06-29-23 01 24.988	-0.041625977 4.0227203 9.858459
2015-06-29-23 01 24.992	0.061920166 4.0572357 9.803711
2015-06-29-23 01 24.997	0.2892456 4.033432 9.708496
2015-06-29-23 01 25.003	0.44039917 4.064377 9.759674
2015-06-29-23 01 25.007	0.5118103 4.08342 9.840607
2015-06-29-23 01 25.012	0.651062 4.0500946 9.773956
2015-06-29-23 01 25.017	0.73080444 4.058426 9.816803
2015-06-29-23 01 25.023	0.8248291 3.9608307 10.004852
2015-06-29-23 01 25.027	0.8331604 4.0679474 10.167908
2015-06-29-23 01 25.033	0.7748413 4.000107 10.348816
2015-06-29-23 01 25.038	0.69033813 4.0120087 10.357147
2015-06-29-23 01 25.043	0.7284241 3.9524994 10.623749
2015-06-29-23 01 25.047	0.7081909 3.923935 10.833221
2015-06-29-23 01 25.053	0.53204346 3.944168 10.996277
2015-06-29-23 01 25.058	0.45230103 3.9774933 11.199799
2015-06-29-23 01 25.063	0.41064453 4.0370026 11.325958
2015-06-29-23 01 25.068	0.37374878 3.9834442 11.296204
2015-06-29-23 01 25.073	0.45587158 3.995346 11.215271
2015-06-29-23 01 25.078	0.5784607 3.8501434 11.133148
2015-06-29-23 01 25.083	0.7105713 3.7680206 11.116486
2015-06-29-23 01 25.088	0.7593689 3.7394562 11.115295
2015-06-29-23 01 25.093	0.77246094 3.796585 11.14386
2015-06-29-23 01 25.098	0.81173706 3.821579 11.0903015
2015-06-29-23 01 25.103	0.8319702 3.757309 11.033173
2015-06-29-23 01 25.108	0.9307556 3.7918243 10.936768
2015-06-29-23 01 25.113	1.0628662 3.776352 10.815369
2015-06-29-23 01 25.118	1.0545349 3.713272 10.754669
2015-06-29-23 01 25.123	1.1426086 3.584732 10.773712
2015-06-29-23 01 25.128	1.0390625 3.4609528 10.836792
2015-06-29-23 01 25.133	1.0188293 3.2086334 11.192657
2015-06-29-23 01 25.140	0.72961426 2.725418 12.190033
