2015-06-29-22 56 23.173	0.06549072 1.3281403 14.760834
2015-06-29-22 56 23.178	-0.09875488 1.1698456 14.838196
2015-06-29-22 56 23.183	-0.045196533 0.97584534 15.05719
2015-06-29-22 56 23.190	-0.07495117 0.86039734 15.052429
2015-06-29-22 56 23.194	-0.12017822 0.7996979 14.851288
2015-06-29-22 56 23.198	-0.18087769 0.83421326 14.527557
2015-06-29-22 56 23.203	-0.14160156 0.9210968 14.334747
2015-06-29-22 56 23.208	-0.2296753 0.88301086 13.915802
2015-06-29-22 56 23.213	-0.16897583 0.8246918 13.336182
2015-06-29-22 56 23.218	-0.044006348 0.9294281 12.689911
2015-06-29-22 56 23.223	-0.101135254 0.9449005 11.903198
2015-06-29-22 56 23.228	-0.16064453 1.0615387 11.161713
2015-06-29-22 56 23.234	-0.19515991 1.1805573 10.409515
2015-06-29-22 56 23.238	-0.16064453 1.3293304 9.535919
2015-06-29-22 56 23.243	-0.15588379 1.448349 8.570679
2015-06-29-22 56 23.248	-0.21658325 1.5078583 7.641144
2015-06-29-22 56 23.254	-0.34036255 1.6744843 6.743744
2015-06-29-22 56 23.258	-0.30465698 1.7744598 5.968933
2015-06-29-22 56 23.263	-0.16183472 1.8018341 5.1953125
2015-06-29-22 56 23.268	-0.04876709 1.8220673 4.8430176
2015-06-29-22 56 23.274	0.029785156 1.8125458 4.545471
2015-06-29-22 56 23.278	0.20236206 1.8506317 4.5526123
2015-06-29-22 56 23.284	0.39874268 1.8625336 4.6644897
2015-06-29-22 56 23.289	0.57369995 1.9041901 4.7513733
2015-06-29-22 56 23.294	0.71533203 1.9172821 4.8108826
2015-06-29-22 56 23.299	0.90457153 1.8351593 5.0477295
2015-06-29-22 56 23.304	1.0783386 1.8208771 5.090576
2015-06-29-22 56 23.309	1.1235657 1.7780304 5.135803
2015-06-29-22 56 23.314	1.1854553 1.8565826 5.2464905
2015-06-29-22 56 23.319	1.2759094 1.8803864 5.269104
2015-06-29-22 56 23.324	1.4044495 1.8482513 5.460724
2015-06-29-22 56 23.329	1.4282532 1.8256378 5.3607483
2015-06-29-22 56 23.334	1.3032837 1.7685089 5.4321594
2015-06-29-22 56 23.340	1.1426086 1.7923126 5.558319
2015-06-29-22 56 23.344	0.9295654 1.7792206 5.6940002
2015-06-29-22 56 23.349	0.76293945 1.8101654 5.935608
2015-06-29-22 56 23.354	0.618927 1.781601 6.2724304
2015-06-29-22 56 23.359	0.5522766 1.7470856 6.6390076
2015-06-29-22 56 23.364	0.50704956 1.6625824 7.0162964
2015-06-29-22 56 23.369	0.40231323 1.614975 7.275757
2015-06-29-22 56 23.375	0.26068115 1.5804596 7.429291
2015-06-29-22 56 23.379	0.16903687 1.6518707 7.675659
2015-06-29-22 56 23.385	0.14285278 1.6256866 8.1779175
2015-06-29-22 56 23.390	0.2487793 1.5138092 8.6206665
2015-06-29-22 56 23.395	0.29995728 1.4281158 9.041992
2015-06-29-22 56 23.401	0.3297119 1.3340912 9.380005
2015-06-29-22 56 23.407	0.4058838 1.2567291 9.656128
2015-06-29-22 56 23.410	0.48562622 1.2269745 9.769196
2015-06-29-22 56 23.415	0.43206787 1.19841 9.806091
2015-06-29-22 56 23.421	0.41540527 1.2031708 9.60257
2015-06-29-22 56 23.425	0.21307373 1.2841034 9.365723
2015-06-29-22 56 23.430	0.1904602 1.3233795 9.0503235
2015-06-29-22 56 23.435	0.009552002 1.4174042 8.634949
2015-06-29-22 56 23.440	-0.020202637 1.4888153 8.407623
2015-06-29-22 56 23.445	-0.27490234 1.4733429 8.168396
2015-06-29-22 56 23.450	-0.6997986 1.5114288 7.9720154
2015-06-29-22 56 23.455	-1.1675415 1.5971222 7.8244324
2015-06-29-22 56 23.460	-1.7554932 1.7601776 7.7363586
2015-06-29-22 56 23.465	-2.2732239 1.8637238 7.7089844
2015-06-29-22 56 23.470	-2.8099976 1.9910736 7.751831
2015-06-29-22 56 23.475	-3.2801208 1.9732208 7.930359
2015-06-29-22 56 23.480	-3.6574097 2.0243988 8.113647
2015-06-29-22 56 23.485	-3.9454346 1.9851227 8.26123
2015-06-29-22 56 23.492	-4.1632385 1.6244965 8.719452
2015-06-29-22 56 23.496	-4.1632385 1.6244965 8.719452
2015-06-29-22 56 23.500	-4.000183 1.3531342 8.921783
2015-06-29-22 56 23.505	-3.5788574 1.0091705 9.331207
2015-06-29-22 56 23.510	-3.0908813 0.65449524 9.744202
2015-06-29-22 56 23.516	-2.5921936 0.4259796 10.464264
2015-06-29-22 56 23.520	-2.2089539 0.2795868 11.33667
2015-06-29-22 56 23.525	-1.8923645 0.21769714 12.084106
2015-06-29-22 56 23.530	-1.2913208 0.22721863 13.243347
2015-06-29-22 56 23.536	-1.023529 0.13676453 14.218109
2015-06-29-22 56 23.540	-1.0770874 0.0034637451 14.840576
2015-06-29-22 56 23.545	-1.2115784 0.03440857 15.12384
2015-06-29-22 56 23.550	-1.2972717 0.14390564 15.029816
2015-06-29-22 56 23.556	-1.3353577 0.32481384 14.689423
2015-06-29-22 56 23.560	-1.2710876 0.5426178 14.29071
2015-06-29-22 56 23.565	-1.2472839 0.7342377 13.731323
2015-06-29-22 56 23.571	-1.3663025 0.8127899 13.289764
2015-06-29-22 56 23.576	-1.7840576 0.9210968 12.633972
2015-06-29-22 56 23.581	-1.8340454 1.1067657 12.231689
2015-06-29-22 56 23.586	-2.0078125 1.2805328 11.8663025
2015-06-29-22 56 23.591	-1.8935547 1.0984344 12.633972
2015-06-29-22 56 23.596	-1.8209534 0.76756287 13.433777
2015-06-29-22 56 23.601	-1.9114075 0.54737854 14.231201
2015-06-29-22 56 23.606	-1.7769165 0.5319061 15.008392
2015-06-29-22 56 23.611	-2.1256409 0.6306915 15.615387
2015-06-29-22 56 23.616	-2.274414 0.7068634 16.154541
2015-06-29-22 56 23.621	-2.6731262 0.7663727 16.046234
2015-06-29-22 56 23.626	-2.915924 0.91871643 15.733215
2015-06-29-22 56 23.631	-3.3027344 0.99964905 15.520172
2015-06-29-22 56 23.637	-3.7133484 1.1103363 14.719177
2015-06-29-22 56 23.642	-3.998993 1.3174286 13.7777405
2015-06-29-22 56 23.646	-4.1382446 1.4364471 12.708954
2015-06-29-22 56 23.651	-4.0549316 1.6363983 11.736572
2015-06-29-22 56 23.657	-3.8502197 1.7851715 10.914154
2015-06-29-22 56 23.661	-3.3812866 1.8553925 10.058411
2015-06-29-22 56 23.666	-2.8302307 2.0208282 9.370483
2015-06-29-22 56 23.671	-2.3565369 1.9708405 8.646851
2015-06-29-22 56 23.677	-1.7328796 1.9387054 7.918457
2015-06-29-22 56 23.682	-1.3734436 1.8732452 7.257904
2015-06-29-22 56 23.687	-0.95925903 1.8934784 6.859192
2015-06-29-22 56 23.692	-0.599823 1.8446808 6.565216
2015-06-29-22 56 23.697	-0.42010498 1.7411346 6.416443
2015-06-29-22 56 23.701	-0.44509888 1.7423248 6.7532654
2015-06-29-22 56 23.707	-0.48080444 1.6947174 7.2495728
2015-06-29-22 56 23.712	-0.2546692 1.595932 7.9422607
2015-06-29-22 56 23.717	0.13214111 1.3555145 8.139832
2015-06-29-22 56 23.722	0.50942993 1.147232 8.277893
2015-06-29-22 56 23.727	0.7498474 1.0615387 8.099365
2015-06-29-22 56 23.732	1.0390625 1.1055756 7.797058
2015-06-29-22 56 23.737	1.0961914 1.2007904 7.5435486
2015-06-29-22 56 23.742	1.1402283 1.287674 7.2531433
2015-06-29-22 56 23.747	1.0914307 1.2983856 6.924652
2015-06-29-22 56 23.752	1.0462036 1.3578949 6.6306763
2015-06-29-22 56 23.757	1.0045471 1.3816986 6.325989
2015-06-29-22 56 23.762	1.0235901 1.5019073 6.243866
2015-06-29-22 56 23.767	1.048584 1.6042633 6.109375
2015-06-29-22 56 23.772	1.0093079 1.5899811 6.0308228
2015-06-29-22 56 23.777	1.0343018 1.6483002 5.8630066
2015-06-29-22 56 23.782	1.0235901 1.7339935 5.571411
2015-06-29-22 56 23.787	1.035492 1.7970734 5.422638
2015-06-29-22 56 23.794	1.0771484 1.9149017 5.402405
2015-06-29-22 56 23.798	0.9962158 1.9636993 5.4119263
2015-06-29-22 56 23.802	0.85220337 1.9779816 5.5559387
2015-06-29-22 56 23.807	0.80578613 1.9720306 5.69281
2015-06-29-22 56 23.812	0.69866943 2.0803375 5.960602
2015-06-29-22 56 23.818	0.5046692 2.0089264 6.186737
2015-06-29-22 56 23.822	0.30828857 2.0743866 6.635437
2015-06-29-22 56 23.827	0.15594482 2.051773 7.015106
2015-06-29-22 56 23.832	0.05239868 2.1184235 7.3876343
2015-06-29-22 56 23.838	-0.06542969 2.0731964 7.7351685
2015-06-29-22 56 23.842	-0.23324585 2.1315155 8.1315
2015-06-29-22 56 23.848	-0.3522644 2.1231842 8.467133
2015-06-29-22 56 23.853	-0.40582275 2.1255646 8.831329
2015-06-29-22 56 23.858	-0.4355774 2.0922394 9.225281
2015-06-29-22 56 23.863	-0.34869385 2.0803375 9.609711
2015-06-29-22 56 23.868	-0.26419067 2.0232086 9.904877
2015-06-29-22 56 23.873	-0.105895996 2.0743866 10.172668
2015-06-29-22 56 23.878	0.061920166 2.1826935 10.253601
2015-06-29-22 56 23.883	0.09286499 2.2029266 10.357147
2015-06-29-22 56 23.888	0.26306152 2.1957855 10.2178955
2015-06-29-22 56 23.893	0.28686523 2.1362762 9.8905945
2015-06-29-22 56 23.898	0.3642273 2.2493439 9.533539
2015-06-29-22 56 23.903	0.28448486 2.3052826 9.147919
2015-06-29-22 56 23.908	0.26663208 2.4159698 8.826569
2015-06-29-22 56 23.913	0.17855835 2.455246 8.608765
2015-06-29-22 56 23.918	0.0262146 2.5028534 8.57782
2015-06-29-22 56 23.923	-0.13565063 2.5349884 8.752777
2015-06-29-22 56 23.928	-0.3855896 2.5468903 9.133636
2015-06-29-22 56 23.933	-0.51174927 2.6635284 9.546631
2015-06-29-22 56 23.939	-0.52841187 2.725418 10.138153
2015-06-29-22 56 23.944	-0.548645 2.7337494 10.635651
2015-06-29-22 56 23.948	-0.46533203 2.7337494 11.120056
2015-06-29-22 56 23.953	-0.35583496 2.6766205 11.683014
2015-06-29-22 56 23.959	-0.18920898 2.6075897 12.187653
2015-06-29-22 56 23.963	0.07382202 2.5373688 12.772034
2015-06-29-22 56 23.968	0.3642273 2.4707184 13.434967
2015-06-29-22 56 23.973	0.798645 2.3683624 13.732513
2015-06-29-22 56 23.979	1.1342773 2.358841 13.983643
2015-06-29-22 56 23.983	1.6924744 2.3374176 13.939606
2015-06-29-22 56 23.989	2.209015 2.2933807 13.487335
2015-06-29-22 56 23.994	2.4863281 2.3064728 12.603027
2015-06-29-22 56 23.999	3.0004883 2.3743134 11.439026
2015-06-29-22 56 24.004	3.4789429 2.4707184 10.253601
2015-06-29-22 56 24.009	3.9573975 2.5552216 9.427612
2015-06-29-22 56 24.014	4.3049316 2.725418 8.83371
2015-06-29-22 56 24.019	4.569153 2.9646454 8.443329
2015-06-29-22 56 24.024	4.80719 3.1776886 8.171967
2015-06-29-22 56 24.029	4.672699 3.289566 8.081512
2015-06-29-22 56 24.034	4.2061462 3.1907806 7.951782
2015-06-29-22 56 24.039	3.71698 3.1074677 7.893463
2015-06-29-22 56 24.044	3.3373108 3.0955658 8.008911
