2015-06-29-18 59 54.130	-0.68551636 1.2567291 7.078186
2015-06-29-18 59 54.136	-0.6759949 1.1591339 7.0412903
2015-06-29-18 59 54.140	-0.5843506 1.0662994 7.002014
2015-06-29-18 59 54.146	-0.47247314 1.0258331 6.9710693
2015-06-29-18 59 54.151	-0.3867798 0.8961029 6.937744
2015-06-29-18 59 54.156	-0.33203125 0.8961029 6.7734985
2015-06-29-18 59 54.163	-0.19873047 0.90800476 6.808014
2015-06-29-18 59 54.169	-0.05947876 0.9401398 6.725891
2015-06-29-18 59 54.171	0.013122559 1.031784 6.712799
2015-06-29-18 59 54.176	0.20831299 1.121048 6.5628357
2015-06-29-18 59 54.181	0.34280396 1.166275 6.6318665
2015-06-29-18 59 54.186	0.39279175 1.2757721 6.6437683
2015-06-29-18 59 54.191	0.52490234 1.3686066 6.6699524
2015-06-29-18 59 54.196	0.59750366 1.4733429 6.7413635
2015-06-29-18 59 54.201	0.6582031 1.6459198 6.930603
2015-06-29-18 59 54.207	0.7403259 1.762558 7.122223
2015-06-29-18 59 54.211	0.8188782 1.8708649 7.2543335
2015-06-29-18 59 54.218	0.8438721 2.0148773 7.4471436
2015-06-29-18 59 54.221	0.8510132 2.0886688 7.6375732
2015-06-29-18 59 54.226	0.82006836 2.154129 7.686371
2015-06-29-18 59 54.231	0.7998352 2.102951 7.8137207
2015-06-29-18 59 54.236	0.71414185 2.2124481 8.032715
2015-06-29-18 59 54.241	0.69033813 2.2410126 8.363586
2015-06-29-18 59 54.247	0.58203125 2.237442 8.459991
2015-06-29-18 59 54.251	0.45111084 2.2029266 8.695648
2015-06-29-18 59 54.256	0.48205566 2.231491 8.878937
2015-06-29-18 59 54.261	0.30471802 2.2445831 9.057465
2015-06-29-18 59 54.267	0.3309021 2.2862396 9.2836
2015-06-29-18 59 54.271	0.2975769 2.301712 9.519257
2015-06-29-18 59 54.276	0.3142395 2.3600311 9.750153
2015-06-29-18 59 54.284	0.3975525 2.4088287 9.935822
2015-06-29-18 59 54.287	0.49990845 2.4850006 10.24884
2015-06-29-18 59 54.291	0.67248535 2.5540314 10.523773
2015-06-29-18 59 54.296	0.8569641 2.6242523 10.792755
2015-06-29-18 59 54.302	0.9985962 2.6456757 11.011749
2015-06-29-18 59 54.307	1.0819092 2.5909271 11.389038
2015-06-29-18 59 54.313	1.1866455 2.6135406 11.574707
2015-06-29-18 59 54.319	1.356842 2.5825958 11.78418
2015-06-29-18 59 54.322	1.4151611 2.4980927 12.157898
2015-06-29-18 59 54.328	1.5770264 2.5088043 12.254303
2015-06-29-18 59 54.336	1.6674805 2.41716 12.393555
2015-06-29-18 59 54.337	1.818634 2.3564606 12.62207
2015-06-29-18 59 54.342	2.0411987 2.3921661 12.767273
2015-06-29-18 59 54.347	2.2780457 2.4088287 12.964844
2015-06-29-18 59 54.352	2.4351501 2.4980927 13.167175
2015-06-29-18 59 54.357	2.6255798 2.5683136 13.215973
2015-06-29-18 59 54.363	2.6981812 2.6278229 13.288574
2015-06-29-18 59 54.368	2.767212 2.7170868 13.257629
2015-06-29-18 59 54.372	2.6993713 2.8063507 13.318329
2015-06-29-18 59 54.377	2.639862 2.807541 13.146942
2015-06-29-18 59 54.384	2.4172974 2.6790009 12.949371
2015-06-29-18 59 54.388	2.0673828 2.705185 12.754181
2015-06-29-18 59 54.392	1.8400574 2.5849762 12.61969
2015-06-29-18 59 54.397	1.4889526 2.436203 12.444733
2015-06-29-18 59 54.403	1.2044983 2.2541046 12.291199
2015-06-29-18 59 54.408	1.0176392 2.2076874 12.323334
2015-06-29-18 59 54.412	0.94384766 2.2160187 12.295959
2015-06-29-18 59 54.417	1.0235901 2.314804 12.460205
2015-06-29-18 59 54.422	1.1485596 2.3386078 12.5578
2015-06-29-18 59 54.428	1.2402039 2.275528 12.752991
2015-06-29-18 59 54.433	1.4044495 2.1648407 13.026733
2015-06-29-18 59 54.437	1.5794067 1.9565582 13.211212
2015-06-29-18 59 54.443	1.735321 1.6649628 13.294525
2015-06-29-18 59 54.448	1.8948059 1.4542999 13.192169
2015-06-29-18 59 54.453	2.0840454 1.185318 13.175507
2015-06-29-18 59 54.458	2.2328186 0.9710846 12.902954
2015-06-29-18 59 54.465	2.447052 0.6306915 12.253113
2015-06-29-18 59 54.469	2.447052 0.6306915 12.253113
2015-06-29-18 59 54.473	2.5910645 0.5200043 11.817505
2015-06-29-18 59 54.478	2.6089172 0.35932922 11.46283
2015-06-29-18 59 54.483	2.7196045 0.29267883 11.01413
2015-06-29-18 59 54.488	2.639862 0.1796112 10.755859
2015-06-29-18 59 54.493	2.6470032 0.11653137 10.3333435
2015-06-29-18 59 54.498	2.5993958 0.08558655 10.011993
2015-06-29-18 59 54.503	2.568451 0.080825806 9.764435
2015-06-29-18 59 54.509	2.4887085 0.11177063 9.549011
2015-06-29-18 59 54.513	2.420868 0.078445435 9.408569
2015-06-29-18 59 54.518	2.2566223 0.19151306 9.22171
2015-06-29-18 59 54.523	2.2042542 0.12843323 8.975342
2015-06-29-18 59 54.529	2.0388184 0.20698547 8.826569
2015-06-29-18 59 54.533	1.8591003 0.23674011 8.70755
2015-06-29-18 59 54.538	1.6865234 0.33195496 8.57782
2015-06-29-18 59 54.544	1.5710754 0.3271942 8.45285
2015-06-29-18 59 54.549	1.3449402 0.30815125 8.381439
2015-06-29-18 59 54.553	1.1545105 0.36647034 8.144592
2015-06-29-18 59 54.558	0.9807434 0.43788147 7.9482117
2015-06-29-18 59 54.564	0.8105469 0.42478943 7.649475
2015-06-29-18 59 54.569	0.6343994 0.4676361 7.507843
2015-06-29-18 59 54.574	0.44039917 0.46644592 7.135315
2015-06-29-18 59 54.579	0.3142395 0.5414276 6.880615
2015-06-29-18 59 54.584	0.19165039 0.56999207 6.642578
2015-06-29-18 59 54.589	0.11428833 0.640213 6.4009705
2015-06-29-18 59 54.594	0.025024414 0.6830597 6.1950684
2015-06-29-18 59 54.599	-0.138031 0.7080536 6.007019
2015-06-29-18 59 54.604	-0.19992065 0.8151703 5.723755
2015-06-29-18 59 54.609	-0.24752808 0.91633606 5.569031
2015-06-29-18 59 54.615	-0.19515991 1.2293549 5.479767
2015-06-29-18 59 54.619	-0.19515991 1.2293549 5.479767
2015-06-29-18 59 54.624	-0.09637451 1.5376129 5.4631042
2015-06-29-18 59 54.629	-0.09637451 1.5376129 5.4631042
2015-06-29-18 59 54.634	-0.2130127 1.5602264 5.402405
2015-06-29-18 59 54.639	-0.21063232 1.6768646 5.2964783
2015-06-29-18 59 54.644	-0.31298828 1.8173065 5.2583923
2015-06-29-18 59 54.649	-0.2951355 1.8542023 5.24411
2015-06-29-18 59 54.654	-0.23205566 2.0041656 5.172699
2015-06-29-18 59 54.660	-0.24038696 2.135086 5.217926
2015-06-29-18 59 54.665	-0.16421509 2.2255402 5.147705
2015-06-29-18 59 54.669	-0.16064453 2.301712 5.1369934
2015-06-29-18 59 54.674	-0.060668945 2.3755035 5.154846
2015-06-29-18 59 54.679	-0.092803955 2.4766693 5.184601
2015-06-29-18 59 54.684	-0.14160156 2.493332 5.2774353
2015-06-29-18 59 54.690	-0.095184326 2.5457 5.377411
2015-06-29-18 59 54.694	-0.17492676 2.5921173 5.5357056
2015-06-29-18 59 54.699	-0.1880188 2.6825714 5.7737427
2015-06-29-18 59 54.705	-0.26657104 2.7516022 6.161743
2015-06-29-18 59 54.710	-0.2772827 2.769455 6.583069
2015-06-29-18 59 54.714	-0.3189392 2.7277985 7.0365295
2015-06-29-18 59 54.719	-0.42367554 2.712326 7.547119
2015-06-29-18 59 54.725	-0.46652222 2.6444855 8.087463
2015-06-29-18 59 54.730	-0.535553 2.6004486 8.725403
2015-06-29-18 59 54.735	-0.45581055 2.5218964 9.352631
2015-06-29-18 59 54.740	-0.40701294 2.4909515 9.942963
2015-06-29-18 59 54.745	-0.30822754 2.4219208 10.641602
2015-06-29-18 59 54.750	-0.22372437 2.3421783 11.268829
2015-06-29-18 59 54.755	-0.044006348 2.22435 11.763947
2015-06-29-18 59 54.760	0.06549072 2.0553436 12.201935
2015-06-29-18 59 54.767	0.1583252 1.9458466 12.545898
2015-06-29-18 59 54.771	0.13571167 1.7744598 12.68396
2015-06-29-18 59 54.775	0.07501221 1.6363983 12.725616
2015-06-29-18 59 54.780	0.0047912598 1.3924103 12.55423
2015-06-29-18 59 54.785	-0.04043579 1.1281891 12.305481
2015-06-29-18 59 54.790	-0.16897583 0.9520416 11.888916
2015-06-29-18 59 54.795	-0.08804321 0.84968567 11.497345
2015-06-29-18 59 54.800	-0.10708618 0.7889862 11.111725
2015-06-29-18 59 54.805	-0.017822266 0.672348 10.709442
2015-06-29-18 59 54.811	0.115478516 0.6152191 10.3845215
2015-06-29-18 59 54.815	0.23449707 0.6663971 10.176239
2015-06-29-18 59 54.820	0.45825195 0.69615173 10.001282
2015-06-29-18 59 54.825	0.6748657 0.74494934 9.881073
2015-06-29-18 59 54.831	0.94503784 0.787796 9.828705
2015-06-29-18 59 54.835	1.0973816 0.75209045 9.919159
