2015-06-29-21 50 09.513	-1.2080078 3.3133698 7.186493
2015-06-29-21 50 09.517	-1.196106 3.333603 7.1888733
2015-06-29-21 50 09.523	-1.0723267 3.372879 7.476898
2015-06-29-21 50 09.529	-1.0009155 3.424057 7.624481
2015-06-29-21 50 09.532	-0.8807068 3.5478363 7.841095
2015-06-29-21 50 09.537	-0.86047363 3.7168427 8.061279
2015-06-29-21 50 09.543	-0.7414551 3.76445 8.282654
2015-06-29-21 50 09.547	-0.4760437 3.7204132 8.412384
2015-06-29-21 50 09.554	-0.26538086 3.609726 8.418335
2015-06-29-21 50 09.558	0.0036010742 3.4645233 8.342163
2015-06-29-21 50 09.563	0.19403076 3.3169403 8.175537
2015-06-29-21 50 09.568	0.33685303 3.2586212 8.108887
2015-06-29-21 50 09.573	0.23449707 3.2729034 8.044617
2015-06-29-21 50 09.578	0.02859497 3.3812103 7.931549
2015-06-29-21 50 09.583	-0.17492676 3.5299835 7.956543
2015-06-29-21 50 09.589	-0.40344238 3.6823273 7.9351196
2015-06-29-21 50 09.593	-0.5498352 3.7942047 8.035095
2015-06-29-21 50 09.598	-0.651001 3.9060822 8.133881
2015-06-29-21 50 09.603	-0.7331238 3.8953705 8.365967
2015-06-29-21 50 09.608	-0.83309937 4.0381927 8.508789
2015-06-29-21 50 09.613	-0.81643677 4.0703278 8.742065
2015-06-29-21 50 09.619	-0.8866577 4.1000824 9.099121
2015-06-29-21 50 09.624	-0.9616394 4.123886 9.274078
2015-06-29-21 50 09.628	-0.9723511 4.0691376 9.47879
2015-06-29-21 50 09.633	-0.9223633 3.969162 9.646606
2015-06-29-21 50 09.639	-0.89974976 3.847763 9.792999
2015-06-29-21 50 09.643	-0.86642456 3.719223 9.8905945
2015-06-29-21 50 09.648	-0.8783264 3.526413 9.902496
2015-06-29-21 50 09.653	-0.8569031 3.346695 9.8394165
2015-06-29-21 50 09.658	-0.81048584 3.18602 9.658508
2015-06-29-21 50 09.663	-0.72003174 2.9836884 9.468079
