2015-07-02-19 28 55.016	0.059539795 1.929184 6.39859
2015-07-02-19 28 55.022	0.07144165 1.9006195 6.416443
2015-07-02-19 28 55.027	0.06906128 1.8684845 6.5342712
2015-07-02-19 28 55.031	0.08929443 1.8839569 6.578308
2015-07-02-19 28 55.037	0.17974854 1.8423004 6.7996826
2015-07-02-19 28 55.044	0.15237427 1.7911224 7.3328857
2015-07-02-19 28 55.048	0.17260742 1.7375641 7.630432
2015-07-02-19 28 55.052	0.17260742 1.7375641 7.630432
2015-07-02-19 28 55.057	0.18569946 1.6875763 7.87204
2015-07-02-19 28 55.062	0.14047241 1.6483002 8.077942
2015-07-02-19 28 55.067	0.18450928 1.6221161 8.187439
2015-07-02-19 28 55.072	0.14523315 1.6887665 8.176727
2015-07-02-19 28 55.077	0.16427612 1.7054291 8.224335
2015-07-02-19 28 55.082	0.14880371 1.7399445 8.188629
2015-07-02-19 28 55.088	0.19403076 1.724472 8.169586
2015-07-02-19 28 55.092	0.08215332 1.7804108 8.163635
2015-07-02-19 28 55.097	-0.044006348 1.8696747 8.198151
2015-07-02-19 28 55.102	-0.31774902 1.9327545 8.224335
2015-07-02-19 28 55.108	-0.31774902 1.9327545 8.224335
2015-07-02-19 28 55.112	-0.5772095 1.9482269 8.371918
2015-07-02-19 28 55.117	-0.77835083 1.9827423 8.442139
2015-07-02-19 28 55.122	-1.0342407 2.064865 8.584961
2015-07-02-19 28 55.128	-1.2234802 2.0160675 8.663513
2015-07-02-19 28 55.132	-1.3127441 2.1041412 8.8194275
2015-07-02-19 28 55.137	-1.4127197 2.121994 8.693268
2015-07-02-19 28 55.143	-1.3841553 2.1196136 8.83252
2015-07-02-19 28 55.148	-1.4151001 2.1136627 8.818237
2015-07-02-19 28 55.152	-1.3901062 2.1779327 8.817047
2015-07-02-19 28 55.158	-1.3686829 2.2136383 8.611145
2015-07-02-19 28 55.163	-1.3901062 2.2612457 8.527832
2015-07-02-19 28 55.168	-1.3960571 2.2398224 8.549255
2015-07-02-19 28 55.173	-1.3674927 2.1624603 8.611145
2015-07-02-19 28 55.178	-1.4519958 2.0874786 8.720642
2015-07-02-19 28 55.183	-1.5388794 2.0220184 8.974152
2015-07-02-19 28 55.188	-1.722168 1.9708405 9.389526
2015-07-02-19 28 55.194	-1.8233337 1.8708649 9.900116
2015-07-02-19 28 55.198	-1.9364014 1.7530365 10.507111
2015-07-02-19 28 55.203	-2.0209045 1.6244965 11.099823
2015-07-02-19 28 55.208	-1.9875793 1.5435638 11.628265
2015-07-02-19 28 55.213	-2.024475 1.5138092 12.1293335
2015-07-02-19 28 55.218	-1.998291 1.4638214 12.530426
2015-07-02-19 28 55.223	-1.9959106 1.4459686 12.729187
2015-07-02-19 28 55.229	-1.8280945 1.3959808 12.776794
2015-07-02-19 28 55.233	-1.6340942 1.4257355 12.642303
2015-07-02-19 28 55.239	-1.4174805 1.5899811 12.536377
2015-07-02-19 28 55.247	-1.2151489 1.6054535 12.099579
2015-07-02-19 28 55.251	-1.2556152 1.5971222 11.5842285
2015-07-02-19 28 55.253	-1.2163391 1.5780792 11.123627
2015-07-02-19 28 55.258	-1.2365723 1.5864105 10.749908
2015-07-02-19 28 55.263	-1.3615417 1.7018585 10.508301
2015-07-02-19 28 55.269	-1.5638733 1.7256622 10.471405
2015-07-02-19 28 55.273	-1.7721558 1.7387543 10.648743
2015-07-02-19 28 55.278	-1.9863892 1.8065948 10.82489
2015-07-02-19 28 55.283	-2.1054077 1.8315887 11.20932
2015-07-02-19 28 55.289	-2.1411133 1.7470856 11.489014
2015-07-02-19 28 55.293	-2.0339966 1.6851959 11.840118
2015-07-02-19 28 55.299	-1.8150024 1.525711 12.072205
2015-07-02-19 28 55.304	-1.5507813 1.3900299 12.334045
2015-07-02-19 28 55.309	-1.2377625 1.3102875 12.605408
2015-07-02-19 28 55.314	-1.0901794 1.236496 12.895813
2015-07-02-19 28 55.319	-0.9949646 1.1174774 13.050537
2015-07-02-19 28 55.324	-0.8735657 1.0115509 13.174316
