2015-06-14-16 33 22.404	-0.90689087 1.9220428 11.525909
2015-06-14-16 33 22.409	-0.7164612 1.7589874 12.050781
2015-06-14-16 33 22.414	-0.3034668 1.6935272 12.719666
2015-06-14-16 33 22.419	0.030975342 1.6268768 13.114807
2015-06-14-16 33 22.424	0.48443604 1.6816254 13.246918
2015-06-14-16 33 22.429	0.8355408 1.7637482 13.289764
2015-06-14-16 33 22.434	1.1033325 1.7220917 12.988647
2015-06-14-16 33 22.439	1.1247559 1.6970978 12.526855
2015-06-14-16 33 22.444	1.2640076 1.6328278 12.019836
2015-06-14-16 33 22.449	1.0545349 1.4697723 11.602081
2015-06-14-16 33 22.454	0.7105713 1.4578705 11.1736145
2015-06-14-16 33 22.459	0.37493896 1.6066437 10.932007
2015-06-14-16 33 22.468	0.125 1.910141 10.627319
2015-06-14-16 33 22.469	-0.11303711 2.1255646 10.302399
2015-06-14-16 33 22.474	-0.28204346 2.2731476 9.765625
2015-06-14-16 33 22.479	-0.47961426 2.3040924 9.363342
2015-06-14-16 33 22.486	-0.48794556 2.307663 9.043182
2015-06-14-16 33 22.490	-0.3772583 2.2660065 8.686127
2015-06-14-16 33 22.496	-0.24276733 2.3195648 8.520691
2015-06-14-16 33 22.500	-0.35107422 2.3005219 8.358826
2015-06-14-16 33 22.505	-0.22610474 2.2660065 8.418335
2015-06-14-16 33 22.510	-0.29156494 2.166031 8.606384
2015-06-14-16 33 22.518	-0.3117981 1.9946442 9.058655
2015-06-14-16 33 22.519	-0.15231323 1.8315887 9.584717
2015-06-14-16 33 22.525	-0.105895996 1.730423 10.1214905
2015-06-14-16 33 22.530	-0.079711914 1.6292572 10.597565
2015-06-14-16 33 22.534	-0.017822266 1.4959564 11.054596
2015-06-14-16 33 22.539	0.0178833 1.3221893 11.496155
2015-06-14-16 33 22.545	0.009552002 1.2222137 11.9627075
2015-06-14-16 33 22.550	0.15713501 1.0996246 12.380463
2015-06-14-16 33 22.555	0.15356445 1.0210724 12.68515
2015-06-14-16 33 22.560	0.19165039 0.90800476 12.776794
2015-06-14-16 33 22.565	0.15237427 0.8568268 12.720856
2015-06-14-16 33 22.570	0.05001831 0.7461395 12.628021
2015-06-14-16 33 22.575	-0.030914307 0.7163849 12.329285
2015-06-14-16 33 22.580	-0.17730713 0.7056732 11.924622
2015-06-14-16 33 22.585	-0.30465698 0.7151947 11.616364
2015-06-14-16 33 22.590	-0.57006836 0.7151947 11.2378845
2015-06-14-16 33 22.595	-0.79263306 0.77827454 10.75705
2015-06-14-16 33 22.601	-0.87594604 0.8294525 10.43808
2015-06-14-16 33 22.605	-0.84143066 0.8972931 10.004852
2015-06-14-16 33 22.611	-0.84143066 0.9948883 9.620422
2015-06-14-16 33 22.615	-0.7069397 0.9960785 9.245514
2015-06-14-16 33 22.620	-0.5653076 1.1234283 8.862274
2015-06-14-16 33 22.625	-0.4272461 1.1841278 8.548065
2015-06-14-16 33 22.631	-0.35583496 1.2674408 8.217194
2015-06-14-16 33 22.636	-0.39987183 1.3757477 7.770874
2015-06-14-16 33 22.640	-0.41177368 1.429306 7.3947754
2015-06-14-16 33 22.645	-0.5426941 1.4947662 7.2233887
2015-06-14-16 33 22.651	-0.5248413 1.5518951 7.098419
2015-06-14-16 33 22.655	-0.57125854 1.6447296 7.1317444
2015-06-14-16 33 22.660	-0.5653076 1.6768646 7.091278
2015-06-14-16 33 22.666	-0.535553 1.8065948 7.1781616
2015-06-14-16 33 22.671	-0.42843628 1.8696747 7.1079407
2015-06-14-16 33 22.675	-0.3867798 1.8827667 6.930603
2015-06-14-16 33 22.681	-0.29632568 1.9589386 6.8425293
2015-06-14-16 33 22.686	-0.20825195 1.9137115 6.7342224
2015-06-14-16 33 22.691	-0.07733154 1.9220428 6.6901855
2015-06-14-16 33 22.696	0.05001831 1.9387054 6.769928
2015-06-14-16 33 22.701	0.18450928 1.9065704 6.885376
2015-06-14-16 33 22.706	0.33685303 1.897049 6.9972534
2015-06-14-16 33 22.711	0.5510864 1.9244232 7.238861
2015-06-14-16 33 22.716	0.65582275 1.8887177 7.481659
2015-06-14-16 33 22.721	0.79626465 1.8173065 7.775635
2015-06-14-16 33 22.726	0.7819824 1.8434906 8.199341
2015-06-14-16 33 22.731	0.6772461 1.8208771 8.571869
2015-06-14-16 33 22.736	0.6332092 1.813736 8.933685
2015-06-14-16 33 22.741	0.69628906 1.7851715 9.296692
2015-06-14-16 33 22.746	0.6939087 1.7185211 9.537109
2015-06-14-16 33 22.751	0.7081909 1.6649628 9.816803
2015-06-14-16 33 22.756	0.7486572 1.6173553 10.126251
2015-06-14-16 33 22.761	0.76412964 1.5614166 10.320251
2015-06-14-16 33 22.766	0.7581787 1.4721527 10.332153
2015-06-14-16 33 22.772	0.76412964 1.4590607 10.257172
2015-06-14-16 33 22.776	0.77960205 1.4781036 10.316681
2015-06-14-16 33 22.781	0.7748413 1.5733185 10.221466
2015-06-14-16 33 22.789	0.68914795 1.7375641 10.048889
2015-06-14-16 33 22.793	0.55822754 1.8292084 9.832275
2015-06-14-16 33 22.796	0.55822754 1.8292084 9.832275
2015-06-14-16 33 22.801	0.44396973 1.8506317 9.718018
2015-06-14-16 33 22.807	0.15594482 1.9625092 9.510925
2015-06-14-16 33 22.812	0.15594482 1.9625092 9.510925
2015-06-14-16 33 22.816	0.067871094 1.9089508 9.509735
2015-06-14-16 33 22.821	-0.16421509 1.9065704 9.753723
