2015-07-01-18 48 13.606	-0.15588379 4.4083405 10.767761
2015-07-01-18 48 13.611	0.10357666 4.3559723 10.843933
2015-07-01-18 48 13.616	0.39041138 4.3381195 10.815369
2015-07-01-18 48 13.621	0.6427307 4.327408 10.671356
2015-07-01-18 48 13.628	0.60702515 4.2928925 10.574951
2015-07-01-18 48 13.631	0.61535645 4.167923 10.335724
2015-07-01-18 48 13.640	0.43920898 3.9655914 10.163147
2015-07-01-18 48 13.642	0.13928223 3.76445 9.919159
2015-07-01-18 48 13.647	-0.2951355 3.308609 9.931061
2015-07-01-18 48 13.652	-0.3272705 3.0217743 10.076263
2015-07-01-18 48 13.656	-0.105895996 2.7944489 10.354767
2015-07-01-18 48 13.662	0.23330688 2.6111603 10.627319
2015-07-01-18 48 13.667	0.7926941 2.4909515 10.995087
2015-07-01-18 48 13.672	1.3211365 2.3290863 11.546143
2015-07-01-18 48 13.679	1.7531738 2.243393 12.024597
2015-07-01-18 48 13.684	2.0971375 2.3040924 12.701813
2015-07-01-18 48 13.688	2.094757 2.2029266 13.237396
2015-07-01-18 48 13.692	1.638916 1.9006195 13.51828
2015-07-01-18 48 13.697	0.94503784 1.3352814 13.538513
2015-07-01-18 48 13.702	0.059539795 0.6235504 13.595642
2015-07-01-18 48 13.708	-0.7307434 0.070114136 13.443298
2015-07-01-18 48 13.715	-1.3841553 -0.35002136 13.39093
2015-07-01-18 48 13.717	-1.8840332 -0.49641418 13.281433
2015-07-01-18 48 13.722	-2.2696533 -0.41548157 13.308807
2015-07-01-18 48 13.730	-2.6278992 -0.27146912 13.475433
2015-07-01-18 48 13.732	-3.0658875 -0.06913757 13.600403
2015-07-01-18 48 13.738	-3.4336548 0.09391785 13.800354
2015-07-01-18 48 13.743	-3.7133484 0.36408997 13.9039
2015-07-01-18 48 13.748	-3.8549805 0.524765 13.877716
2015-07-01-18 48 13.752	-3.9406738 0.6640167 13.725372
2015-07-01-18 48 13.757	-3.7585754 0.8615875 13.530182
