2015-07-01-18 54 52.743	-3.5717163 1.3412323 11.348572
2015-07-01-18 54 52.749	-3.5990906 1.2376862 11.373566
2015-07-01-18 54 52.754	-3.6157532 1.0972443 11.198608
2015-07-01-18 54 52.759	-3.620514 0.935379 11.076019
2015-07-01-18 54 52.764	-3.499115 0.84968567 10.961761
2015-07-01-18 54 52.769	-3.4955444 0.627121 10.767761
2015-07-01-18 54 52.775	-3.4753113 0.47358704 10.516632
2015-07-01-18 54 52.779	-3.3146362 0.38908386 10.151245
2015-07-01-18 54 52.784	-3.14563 0.5569 9.66684
2015-07-01-18 54 52.790	-3.1515808 0.34147644 9.102692
2015-07-01-18 54 52.794	-3.1349182 0.10700989 8.609955
2015-07-01-18 54 52.799	-2.8945007 0.017745972 8.307648
2015-07-01-18 54 52.804	-2.9171143 -0.0834198 7.852997
2015-07-01-18 54 52.810	-2.7850037 -0.028671265 7.3650208
2015-07-01-18 54 52.814	-3.268219 -0.19410706 7.4411926
2015-07-01-18 54 52.820	-3.0992126 -0.24171448 7.4733276
2015-07-01-18 54 52.825	-2.9040222 -0.232193 7.341217
2015-07-01-18 54 52.830	-2.8611755 -0.27861023 7.0436707
2015-07-01-18 54 52.834	-2.626709 -0.15245056 6.7925415
2015-07-01-18 54 52.840	-2.3125 -0.045333862 6.544983
2015-07-01-18 54 52.844	-2.1446838 -0.031051636 6.295044
2015-07-01-18 54 52.850	-2.036377 0.046310425 6.018921
2015-07-01-18 54 52.854	-1.748352 0.1474762 5.94751
2015-07-01-18 54 52.860	-1.4960327 0.3617096 6.0939026
2015-07-01-18 54 52.865	-1.3674927 0.5509491 5.9784546
2015-07-01-18 54 52.870	-1.2187195 0.67829895 5.6951904
2015-07-01-18 54 52.880	-1.0175781 0.79374695 5.729706
2015-07-01-18 54 52.881	-0.8866577 0.9294281 5.7404175
2015-07-01-18 54 52.886	-0.7057495 0.9972687 5.839203
2015-07-01-18 54 52.890	-0.766449 1.050827 5.8939514
2015-07-01-18 54 52.896	-0.9390259 1.1198578 5.993927
2015-07-01-18 54 52.900	-0.9771118 1.1067657 6.223633
2015-07-01-18 54 52.905	-1.0092468 1.1638947 6.3628845
2015-07-01-18 54 52.910	-1.0330505 1.1674652 6.436676
2015-07-01-18 54 52.915	-0.99853516 1.1365204 6.642578
2015-07-01-18 54 52.920	-1.061615 1.1115265 6.6711426
2015-07-01-18 54 52.927	-1.1330261 1.1865082 6.6449585
2015-07-01-18 54 52.931	-1.1020813 1.1091461 6.5426025
2015-07-01-18 54 52.935	-1.2663269 1.0996246 6.3176575
2015-07-01-18 54 52.943	-1.3210754 1.2793427 6.1367493
2015-07-01-18 54 52.946	-1.3877258 1.3186188 6.255768
2015-07-01-18 54 52.951	-1.260376 1.4662018 6.360504
2015-07-01-18 54 52.955	-1.2520447 1.5733185 6.390259
2015-07-01-18 54 52.960	-1.1925354 1.679245 6.499756
2015-07-01-18 54 52.967	-1.3210754 1.7970734 6.604492
2015-07-01-18 54 52.977	-1.112793 2.038681 6.9865417
2015-07-01-18 54 52.983	-0.914032 2.1315155 7.334076
2015-07-01-18 54 52.984	-0.67837524 2.301712 7.5554504
2015-07-01-18 54 52.986	-0.6260071 2.3683624 7.797058
2015-07-01-18 54 52.997	-0.5272217 2.4314423 8.051758
2015-07-01-18 54 52.998	-0.39154053 2.4195404 8.235046
2015-07-01-18 54 53.000	-0.35821533 2.4004974 8.361206
2015-07-01-18 54 53.008	-0.35821533 2.4671478 8.529022
2015-07-01-18 54 53.011	-0.34631348 2.4707184 8.795624
2015-07-01-18 54 53.016	-0.39035034 2.4826202 9.003906
2015-07-01-18 54 53.021	-0.2772827 2.5480804 9.137207
2015-07-01-18 54 53.026	-0.24752808 2.461197 9.554962
2015-07-01-18 54 53.032	-0.12017822 2.3219452 9.808472
2015-07-01-18 54 53.036	0.032165527 2.2326813 10.104828
2015-07-01-18 54 53.042	0.1000061 2.1005707 10.419037
2015-07-01-18 54 53.046	0.083343506 2.0267792 10.7630005
2015-07-01-18 54 53.051	-0.11541748 2.0303497 11.052216
2015-07-01-18 54 53.056	-0.22491455 2.051773 11.216461
2015-07-01-18 54 53.061	-0.25109863 2.0267792 11.508057
2015-07-01-18 54 53.066	-0.32608032 1.993454 11.8341675
2015-07-01-18 54 53.072	-0.5415039 1.9482269 12.012695
2015-07-01-18 54 53.076	-0.7962036 1.9184723 12.10434
2015-07-01-18 54 53.081	-1.2460938 1.9327545 12.2447815
2015-07-01-18 54 53.086	-1.3175049 2.0803375 12.265015
2015-07-01-18 54 53.092	-0.9295044 2.1684113 12.194794
2015-07-01-18 54 53.096	-0.62719727 2.1850739 11.791321
2015-07-01-18 54 53.101	-0.23086548 2.3386078 11.134338
2015-07-01-18 54 53.106	0.15713501 2.4921417 10.4999695
2015-07-01-18 54 53.112	0.49157715 2.642105 9.969147
2015-07-01-18 54 53.116	0.80578613 2.8432465 9.328827
2015-07-01-18 54 53.121	1.2021179 3.0574799 8.90155
2015-07-01-18 54 53.127	1.4568176 3.1169891 8.436188
2015-07-01-18 54 53.132	2.0007324 3.327652 8.1267395
2015-07-01-18 54 53.137	2.5351257 3.6454315 7.9720154
2015-07-01-18 54 53.141	3.3349304 3.885849 7.829193
2015-07-01-18 54 53.147	3.941925 4.0929413 7.7684937
2015-07-01-18 54 53.152	4.6239014 4.141739 7.9017944
2015-07-01-18 54 53.157	4.711975 4.0953217 8.037476
2015-07-01-18 54 53.162	5.2011414 4.0096283 8.340973
2015-07-01-18 54 53.167	5.243988 3.8370514 8.690887
2015-07-01-18 54 53.172	5.049988 3.5728302 9.174103
2015-07-01-18 54 53.178	4.916687 3.3562164 9.5252075
2015-07-01-18 54 53.182	4.6191406 3.1919708 9.812042
2015-07-01-18 54 53.187	4.0490417 3.0182037 9.979858
2015-07-01-18 54 53.192	3.3682556 2.8503876 10.079834
2015-07-01-18 54 53.197	2.447052 2.692093 9.9869995
2015-07-01-18 54 53.202	1.3270874 2.5695038 9.779907
2015-07-01-18 54 53.207	0.28329468 2.4064484 9.269318
2015-07-01-18 54 53.213	-0.78430176 2.2326813 8.721832
2015-07-01-18 54 53.217	-1.7114563 2.1338959 8.326691
2015-07-01-18 54 53.223	-2.4874573 1.9327545 7.8446655
2015-07-01-18 54 53.228	-3.4193726 1.8446808 7.5697327
2015-07-01-18 54 53.233	-3.7442932 1.8018341 7.42453
2015-07-01-18 54 53.237	-4.0787354 1.8363495 7.3566895
2015-07-01-18 54 53.242	-4.320343 1.762558 7.2852783
2015-07-01-18 54 53.247	-3.608612 1.692337 7.9981995
2015-07-01-18 54 53.253	-2.3232117 1.872055 9.215759
2015-07-01-18 54 53.257	-2.2910767 2.1398468 9.076508
2015-07-01-18 54 53.262	-2.389862 2.2910004 8.292175
2015-07-01-18 54 53.268	-1.9054565 2.320755 8.596863
2015-07-01-18 54 53.273	-0.696228 2.3374176 9.722778
2015-07-01-18 54 53.278	0.033355713 2.3231354 10.094116
2015-07-01-18 54 53.283	0.14047241 2.358841 10.11554
2015-07-01-18 54 53.288	0.1083374 2.1315155 10.196472
2015-07-01-18 54 53.293	-0.23800659 1.7018585 10.253601
2015-07-01-18 54 53.298	-0.5510254 1.1865082 10.396423
2015-07-01-18 54 53.303	-1.0009155 0.81159973 10.3654785
2015-07-01-18 54 53.308	-1.3710632 0.4593048 10.150055
2015-07-01-18 54 53.313	-1.7721558 0.31529236 9.941772
2015-07-01-18 54 53.318	-1.9518738 0.2867279 9.54068
2015-07-01-18 54 53.323	-2.1446838 0.3438568 9.263367
2015-07-01-18 54 53.330	-2.793335 0.34623718 8.808716
2015-07-01-18 54 53.334	-3.0658875 0.2962494 8.533783
2015-07-01-18 54 53.338	-3.0658875 0.2962494 8.533783
2015-07-01-18 54 53.343	-3.0658875 0.27244568 8.479034
2015-07-01-18 54 53.348	-3.281311 0.43312073 8.398102
2015-07-01-18 54 53.354	-3.7919006 0.5937958 7.788727
2015-07-01-18 54 53.358	-4.2001343 0.42955017 7.7684937
2015-07-01-18 54 53.363	-4.917816 0.43193054 7.74469
