2015-06-25-09 54 25.502	0.72247314 4.3452606 7.0032043
2015-06-25-09 54 25.507	0.72128296 4.3524017 7.123413
2015-06-25-09 54 25.512	0.81292725 4.372635 7.1698303
2015-06-25-09 54 25.517	0.90219116 4.361923 7.2995605
2015-06-25-09 54 25.522	0.9724121 4.4523773 7.4519043
2015-06-25-09 54 25.528	0.8272095 4.378586 7.8065796
2015-06-25-09 54 25.533	0.933136 4.309555 8.010101
2015-06-25-09 54 25.538	1.0390625 4.3071747 8.398102
2015-06-25-09 54 25.543	1.0093079 4.3952484 8.612335
2015-06-25-09 54 25.548	0.8414917 4.4226227 8.9158325
2015-06-25-09 54 25.553	0.77246094 4.488083 9.253845
2015-06-25-09 54 25.558	0.6439209 4.444046 9.353821
2015-06-25-09 54 25.566	0.6201172 4.4607086 9.310974
2015-06-25-09 54 25.572	0.5796509 4.509506 9.226471
2015-06-25-09 54 25.574	0.44396973 4.539261 9.116974
2015-06-25-09 54 25.578	0.28329468 4.636856 9.013428
2015-06-25-09 54 25.584	0.2487793 4.668991 8.931305
2015-06-25-09 54 25.589	0.1416626 4.7689667 8.906311
2015-06-25-09 54 25.594	0.21069336 4.8308563 8.914642
2015-06-25-09 54 25.598	0.23330688 4.8070526 9.005096
2015-06-25-09 54 25.603	0.34280396 4.847519 9.134827
2015-06-25-09 54 25.609	0.54870605 4.848709 9.34906
2015-06-25-09 54 25.613	0.77246094 4.827286 9.647797
2015-06-25-09 54 25.618	0.97836304 4.85347 9.985809
2015-06-25-09 54 25.623	1.1747437 4.796341 10.498779
2015-06-25-09 54 25.629	1.3366089 4.7094574 10.854645
2015-06-25-09 54 25.635	1.4318237 4.5832977 11.156952
2015-06-25-09 54 25.639	1.4663391 4.3952484 11.597321
2015-06-25-09 54 25.644	1.4568176 4.192917 12.066254
2015-06-25-09 54 25.649	1.1426086 4.2298126 12.450684
2015-06-25-09 54 25.654	0.7438965 4.394058 12.868439
2015-06-25-09 54 25.659	0.49395752 4.59639 12.9696045
2015-06-25-09 54 25.664	0.5141907 4.7689667 12.666107
2015-06-25-09 54 25.670	0.8236389 4.7499237 12.267395
2015-06-25-09 54 25.674	1.1199951 4.713028 11.832977
2015-06-25-09 54 25.679	1.3687439 4.577347 11.346191
2015-06-25-09 54 25.685	1.7400818 4.429764 10.945099
2015-06-25-09 54 25.689	2.2506714 4.419052 10.542816
2015-06-25-09 54 25.694	2.774353 4.4654694 10.195282
2015-06-25-09 54 25.699	3.0718994 4.541641 9.816803
2015-06-25-09 54 25.704	3.2182922 4.495224 9.514496
2015-06-25-09 54 25.709	3.126648 4.192917 9.183624
2015-06-25-09 54 25.714	2.6065369 3.8846588 9.040802
2015-06-25-09 54 25.719	2.3482666 3.9655914 9.6596985
2015-06-25-09 54 25.724	2.1566467 3.9584503 10.017944
2015-06-25-09 54 25.730	1.8638611 3.6751862 10.05603
2015-06-25-09 54 25.734	1.523468 3.4466705 10.18457
2015-06-25-09 54 25.739	1.2306824 3.225296 10.265503
2015-06-25-09 54 25.746	0.914093 2.9158478 9.831085
2015-06-25-09 54 25.752	0.914093 2.9158478 9.831085
2015-06-25-09 54 25.754	0.83792114 2.7932587 9.497833
2015-06-25-09 54 25.760	0.76174927 2.6468658 9.038422
2015-06-25-09 54 25.764	0.8010254 2.5218964 8.740875
2015-06-25-09 54 25.770	0.8010254 2.4659576 8.701599
2015-06-25-09 54 25.774	0.82839966 2.4207306 8.764679
2015-06-25-09 54 25.779	0.9414673 2.442154 8.96463
2015-06-25-09 54 25.785	0.9914551 2.5802155 9.177673
