2015-07-02-18 13 31.821	-4.8285522 3.9275055 5.485718
2015-07-02-18 13 31.826	-5.1499023 3.6704254 5.5297546
2015-07-02-18 13 31.831	-5.2974854 3.6085358 5.5107117
2015-07-02-18 13 31.836	-5.4510193 3.5823517 5.3500366
2015-07-02-18 13 31.841	-5.750946 3.5240326 5.3678894
2015-07-02-18 13 31.846	-5.8414 3.481186 5.197693
2015-07-02-18 13 31.851	-5.8937683 3.4585724 5.0227356
2015-07-02-18 13 31.856	-6.008026 3.4859467 4.9060974
2015-07-02-18 13 31.861	-5.950897 3.449051 4.712097
2015-07-02-18 13 31.868	-5.994934 3.488327 4.4181213
2015-07-02-18 13 31.872	-5.898529 3.4133453 4.249115
2015-07-02-18 13 31.876	-5.58313 3.4216766 4.0336914
2015-07-02-18 13 31.881	-5.4081726 3.321701 3.9515686
2015-07-02-18 13 31.886	-5.2415466 3.2967072 3.6516418
2015-07-02-18 13 31.891	-4.8880615 3.2300568 3.4826355
2015-07-02-18 13 31.896	-4.570282 3.1717377 3.3624268
2015-07-02-18 13 31.901	-4.2715454 3.193161 3.1934204
2015-07-02-18 13 31.906	-4.026367 3.3907318 2.992279
2015-07-02-18 13 31.912	-3.5336304 3.4907074 3.1148682
2015-07-02-18 13 31.916	-3.2348938 3.565689 3.1351013
2015-07-02-18 13 31.921	-3.1170654 3.5823517 3.017273
2015-07-02-18 13 31.926	-2.9742432 3.6323395 3.0220337
2015-07-02-18 13 31.932	-3.0135193 3.609726 2.992279
2015-07-02-18 13 31.936	-3.075409 3.641861 2.9077759
2015-07-02-18 13 31.941	-3.1634827 3.7311249 2.8470764
2015-07-02-18 13 31.946	-3.126587 3.8203888 2.7471008
2015-07-02-18 13 31.952	-3.0849304 3.9584503 2.6947327
2015-07-02-18 13 31.956	-3.0361328 4.0489044 2.6864014
2015-07-02-18 13 31.962	-3.0789795 4.1703033 2.6411743
2015-07-02-18 13 31.967	-3.1884766 4.3131256 2.6399841
2015-07-02-18 13 31.972	-3.3634338 4.4857025 2.7125854
2015-07-02-18 13 31.977	-3.4050903 4.5999603 2.716156
2015-07-02-18 13 31.982	-3.4955444 4.6975555 2.9649048
2015-07-02-18 13 31.987	-3.6478882 4.810623 2.9482422
2015-07-02-18 13 31.992	-3.7252502 4.8570404 3.0422668
2015-07-02-18 13 31.997	-3.8383179 4.8820343 3.2445984
2015-07-02-18 13 32.002	-4.102539 4.9653473 3.433838
2015-07-02-18 13 32.007	-4.4060364 4.98201 3.70401
2015-07-02-18 13 32.012	-4.673828 4.9986725 4.0908203
2015-07-02-18 13 32.018	-5.0415955 5.054611 4.5073853
2015-07-02-18 13 32.022	-5.2653503 5.0189056 4.876343
2015-07-02-18 13 32.027	-5.4831543 5.0510406 5.353607
2015-07-02-18 13 32.032	-5.5105286 5.097458 5.729706
2015-07-02-18 13 32.037	-5.570038 5.097458 6.300995
2015-07-02-18 13 32.042	-5.6783447 5.059372 6.923462
2015-07-02-18 13 32.047	-5.743805 5.086746 7.513794
2015-07-02-18 13 32.053	-5.8890076 5.091507 8.1315
2015-07-02-18 13 32.057	-5.9580383 5.11055 8.758728
2015-07-02-18 13 32.063	-5.8259277 5.123642 9.263367
2015-07-02-18 13 32.068	-5.655731 5.073654 9.854889
2015-07-02-18 13 32.073	-5.565277 5.086746 10.43927
2015-07-02-18 13 32.077	-5.3891296 5.1260223 10.985565
2015-07-02-18 13 32.082	-5.274872 5.1153107 11.499725
2015-07-02-18 13 32.087	-5.146332 5.1319733 12.007935
2015-07-02-18 13 32.093	-5.0618286 5.1724396 12.382843
2015-07-02-18 13 32.097	-5.032074 5.1153107 12.75061
2015-07-02-18 13 32.102	-4.955902 5.1331635 13.155273
2015-07-02-18 13 32.108	-4.911865 5.078415 13.500427
2015-07-02-18 13 32.113	-4.767853 5.071274 13.77417
2015-07-02-18 13 32.118	-4.6559753 5.1581573 14.194305
2015-07-02-18 13 32.123	-4.4643555 5.245041 14.41687
2015-07-02-18 13 32.128	-4.358429 5.3307343 14.657288
2015-07-02-18 13 32.133	-4.248932 5.4080963 14.762024
2015-07-02-18 13 32.138	-4.216797 5.5199738 15.066711
2015-07-02-18 13 32.143	-4.269165 5.514023 15.05481
2015-07-02-18 13 32.148	-4.2929688 5.5175934 14.940552
2015-07-02-18 13 32.153	-4.4131775 5.4735565 14.879852
2015-07-02-18 13 32.158	-4.5786133 5.4092865 14.783447
2015-07-02-18 13 32.163	-4.678589 5.3831024 14.669189
2015-07-02-18 13 32.170	-4.648834 5.354538 14.41806
2015-07-02-18 13 32.174	-4.506012 5.419998 14.265717
2015-07-02-18 13 32.178	-4.339386 5.5378265 13.918182
2015-07-02-18 13 32.183	-4.3048706 5.552109 13.609924
2015-07-02-18 13 32.188	-4.30249 5.381912 13.26001
2015-07-02-18 13 32.194	-4.3239136 5.143875 12.87558
2015-07-02-18 13 32.198	-4.332245 4.861801 12.310242
2015-07-02-18 13 32.203	-4.256073 4.6023407 11.963898
2015-07-02-18 13 32.208	-4.23703 4.4868927 11.567566
2015-07-02-18 13 32.214	-4.216797 4.289322 11.198608
2015-07-02-18 13 32.218	-4.2477417 4.0822296 10.785614
2015-07-02-18 13 32.223	-4.289398 3.8834686 10.495209
2015-07-02-18 13 32.228	-4.3822327 3.6823273 10.082214
2015-07-02-18 13 32.234	-4.3762817 3.5871124 9.779907
2015-07-02-18 13 32.238	-4.231079 3.3943024 9.462128
2015-07-02-18 13 32.243	-4.050171 3.2288666 9.174103
2015-07-02-18 13 32.249	-3.8109436 3.1598358 8.83252
2015-07-02-18 13 32.254	-3.390808 3.0789032 8.592102
2015-07-02-18 13 32.259	-3.0480347 2.9777374 8.167206
2015-07-02-18 13 32.264	-2.588623 2.9063263 7.855377
2015-07-02-18 13 32.269	-2.223236 2.8182526 7.5494995
2015-07-02-18 13 32.274	-1.8257141 2.8158722 7.1198425
2015-07-02-18 13 32.279	-1.5115051 2.8158722 6.7020874
2015-07-02-18 13 32.284	-1.2710876 2.795639 6.276001
2015-07-02-18 13 32.289	-1.1830139 2.7587433 5.776123
2015-07-02-18 13 32.294	-1.4008179 2.6694794 5.267914
2015-07-02-18 13 32.299	-1.6507568 2.6551971 4.712097
2015-07-02-18 13 32.304	-2.05661 2.5242767 4.203888
2015-07-02-18 13 32.309	-2.5731506 2.4147797 3.7135315
2015-07-02-18 13 32.315	-2.980194 2.2790985 3.2172241
2015-07-02-18 13 32.320	-3.453888 2.2124481 2.697113
2015-07-02-18 13 32.324	-3.890686 2.1267548 2.2448425
2015-07-02-18 13 32.329	-4.351288 1.9589386 1.913971
2015-07-02-18 13 32.335	-4.697632 1.794693 1.4819336
2015-07-02-18 13 32.339	-4.884491 1.5483246 1.3855286
