2015-07-09-12 08 42.145	-1.2591858 -1.9746246 12.230499
2015-07-09-12 08 42.149	-1.28656 -1.9210663 12.223358
2015-07-09-12 08 42.154	-1.3282166 -2.0127106 12.159088
2015-07-09-12 08 42.159	-1.2591858 -1.977005 12.272156
2015-07-09-12 08 42.165	-1.311554 -2.092453 12.279297
2015-07-09-12 08 42.169	-1.2449036 -2.181717 12.1936035
2015-07-09-12 08 42.174	-1.3960571 -2.2102814 12.135284
2015-07-09-12 08 42.180	-1.3258362 -2.234085 12.165039
2015-07-09-12 08 42.185	-1.2984619 -2.2067108 11.957947
2015-07-09-12 08 42.189	-1.4377136 -2.2638397 12.068634
2015-07-09-12 08 42.195	-1.4948425 -2.3328705 11.741333
2015-07-09-12 08 42.200	-1.5793457 -2.3757172 11.567566
2015-07-09-12 08 42.205	-1.6626587 -2.4614105 11.253357
2015-07-09-12 08 42.210	-1.8007202 -2.4875946 10.932007
2015-07-09-12 08 42.215	-1.850708 -2.4542694 10.636841
2015-07-09-12 08 42.222	-1.8768921 -2.5018768 10.202423
2015-07-09-12 08 42.226	-1.9292603 -2.4506989 9.966766
2015-07-09-12 08 42.230	-1.8995056 -2.3852386 9.595428
2015-07-09-12 08 42.235	-1.7471619 -2.3911896 9.41571
2015-07-09-12 08 42.240	-1.6745605 -2.4495087 9.139587
2015-07-09-12 08 42.245	-1.4793701 -2.3769073 8.96463
2015-07-09-12 08 42.250	-1.2449036 -2.349533 8.9158325
2015-07-09-12 08 42.255	-1.0390015 -2.2840729 8.90155
2015-07-09-12 08 42.260	-0.8807068 -2.175766 8.981293
2015-07-09-12 08 42.266	-0.71170044 -2.0805511 9.009857
2015-07-09-12 08 42.270	-0.50341797 -2.0234222 9.15387
2015-07-09-12 08 42.275	-0.30108643 -1.8948822 9.149109
2015-07-09-12 08 42.280	-0.06304932 -1.7794342 9.233612
2015-07-09-12 08 42.286	0.08810425 -1.7044525 9.243134
2015-07-09-12 08 42.290	0.1499939 -1.6735077 9.231232
2015-07-09-12 08 42.295	0.24401855 -1.6223297 9.166962
2015-07-09-12 08 42.301	0.20236206 -1.649704 9.016998
2015-07-09-12 08 42.306	0.18569946 -1.5925751 8.994385
2015-07-09-12 08 42.310	0.072631836 -1.6235199 8.89679
2015-07-09-12 08 42.315	-0.019012451 -1.5699615 8.8349
2015-07-09-12 08 42.321	-0.16064453 -1.6080475 8.734924
2015-07-09-12 08 42.326	-0.25109863 -1.6366119 8.594482
