2015-07-06-19 06 21.207	0.2904358 1.4959564 7.3554993
2015-07-06-19 06 21.214	0.25354004 1.480484 7.662567
2015-07-06-19 06 21.219	0.26901245 1.5030975 7.9267883
2015-07-06-19 06 21.223	0.2071228 1.5066681 8.26004
2015-07-06-19 06 21.229	0.09762573 1.4828644 8.587341
2015-07-06-19 06 21.233	-0.019012451 1.4685822 8.780151
2015-07-06-19 06 21.238	-0.05709839 1.3674164 8.96463
2015-07-06-19 06 21.243	-0.042816162 1.2138824 9.051514
2015-07-06-19 06 21.248	-0.047576904 1.1555634 9.076508
2015-07-06-19 06 21.253	-0.01663208 1.0555878 8.928925
2015-07-06-19 06 21.258	0.06072998 0.9687042 8.870605
2015-07-06-19 06 21.263	0.022644043 0.94966125 8.70874
2015-07-06-19 06 21.268	-0.021392822 0.9603729 8.582581
2015-07-06-19 06 21.273	-0.08566284 1.0020294 8.51474
2015-07-06-19 06 21.281	-0.039245605 1.0270233 8.3576355
2015-07-06-19 06 21.284	-0.101135254 1.0853424 8.294556
2015-07-06-19 06 21.289	-0.07376099 1.1567535 8.230286
2015-07-06-19 06 21.293	-0.060668945 1.3043365 8.240997
2015-07-06-19 06 21.298	-0.042816162 1.3828888 8.370728
2015-07-06-19 06 21.305	-0.08685303 1.5066681 8.589722
2015-07-06-19 06 21.309	-0.138031 1.5971222 8.884888
2015-07-06-19 06 21.316	-0.08566284 1.6732941 9.062225
2015-07-06-19 06 21.319	-0.03567505 1.8339691 9.271698
2015-07-06-19 06 21.324	0.12023926 1.9149017 9.404999
2015-07-06-19 06 21.330	0.22973633 2.0279694 9.422852
2015-07-06-19 06 21.334	0.31304932 2.1005707 9.404999
2015-07-06-19 06 21.339	0.3892212 2.1815033 9.3966675
2015-07-06-19 06 21.346	0.4213562 2.1719818 9.206238
2015-07-06-19 06 21.349	0.38208008 2.1434174 9.247894
2015-07-06-19 06 21.354	0.31185913 2.1338959 9.205048
2015-07-06-19 06 21.360	0.21426392 2.0660553 9.275269
2015-07-06-19 06 21.365	0.0178833 1.9898834 9.452606
2015-07-06-19 06 21.369	-0.20944214 1.8470612 9.632324
2015-07-06-19 06 21.374	-0.4915161 1.6840057 9.967957
2015-07-06-19 06 21.379	-0.73550415 1.3959808 10.327393
2015-07-06-19 06 21.384	-0.95092773 1.230545 10.872498
2015-07-06-19 06 21.390	-1.0532837 1.1281891 11.637787
2015-07-06-19 06 21.395	-1.0782776 1.0151215 12.476868
2015-07-06-19 06 21.399	-0.9949646 1.018692 13.503998
2015-07-06-19 06 21.404	-0.830719 1.0627289 14.507324
2015-07-06-19 06 21.410	-0.4831848 1.0924835 15.529694
2015-07-06-19 06 21.415	-0.114227295 1.2269745 16.384247
2015-07-06-19 06 21.419	0.18688965 1.3209991 17.035278
2015-07-06-19 06 21.424	0.48205566 1.4245453 17.37091
2015-07-06-19 06 21.430	0.6439209 1.4435883 17.334015
2015-07-06-19 06 21.434	0.7034302 1.3816986 16.890076
2015-07-06-19 06 21.440	0.8188782 1.3126678 16.21643
2015-07-06-19 06 21.447	0.82839966 1.3257599 15.364258
2015-07-06-19 06 21.450	0.80459595 1.3079071 14.590637
2015-07-06-19 06 21.455	0.6248779 1.384079 13.931274
2015-07-06-19 06 21.460	0.47372437 1.4412079 13.4313965
2015-07-06-19 06 21.467	0.35708618 1.4138336 13.021973
2015-07-06-19 06 21.471	0.4368286 1.4328766 13.248108
2015-07-06-19 06 21.475	0.65582275 1.4602509 13.586121
2015-07-06-19 06 21.480	0.9414673 1.4983368 14.045532
2015-07-06-19 06 21.485	1.260437 1.493576 14.570404
2015-07-06-19 06 21.490	1.6032104 1.3947906 14.86319
2015-07-06-19 06 21.495	1.9935913 1.268631 14.889374
2015-07-06-19 06 21.500	2.337555 1.1281891 14.618011
2015-07-06-19 06 21.505	2.6755676 1.0032196 14.065765
2015-07-06-19 06 21.511	2.9136047 0.8365936 13.252869
2015-07-06-19 06 21.515	3.043335 0.5426178 12.313812
2015-07-06-19 06 21.520	2.9885864 0.3855133 11.239075
2015-07-06-19 06 21.525	3.0445251 0.15104675 10.157196
2015-07-06-19 06 21.531	2.9909668 -0.02986145 9.228851
2015-07-06-19 06 21.535	2.935028 -0.0036773682 8.45166
2015-07-06-19 06 21.540	2.901703 -0.017959595 7.87323
2015-07-06-19 06 21.545	2.8302917 0.04750061 7.576874
2015-07-06-19 06 21.551	2.6791382 0.13200378 7.519745
2015-07-06-19 06 21.555	2.3280334 0.28196716 7.8458557
2015-07-06-19 06 21.560	1.8757629 0.3367157 8.399292
2015-07-06-19 06 21.565	1.4211121 0.32362366 9.278839
2015-07-06-19 06 21.571	1.1223755 0.24507141 10.302399
2015-07-06-19 06 21.575	0.8569641 0.19746399 11.433075
2015-07-06-19 06 21.580	0.59750366 0.08677673 12.431641
2015-07-06-19 06 21.586	0.44039917 0.001083374 13.217163
2015-07-06-19 06 21.591	0.33685303 -0.12745667 13.6492
2015-07-06-19 06 21.596	0.25115967 -0.20838928 13.875336
2015-07-06-19 06 21.600	0.22140503 -0.22981262 13.891998
2015-07-06-19 06 21.606	0.030975342 -0.28575134 13.696808
2015-07-06-19 06 21.611	-0.0642395 -0.3131256 13.239777
2015-07-06-19 06 21.617	-0.2296753 -0.32383728 12.550659
2015-07-06-19 06 21.621	-0.35940552 -0.3309784 11.763947
2015-07-06-19 06 21.626	-0.48080444 -0.32502747 10.816559
2015-07-06-19 06 21.631	-0.61053467 -0.3869171 9.715637
2015-07-06-19 06 21.636	-0.61886597 -0.32740784 8.757538
