2015-06-14-11:32:14.278	-0.45462036 2.2088776 9.848938
2015-06-14-11:32:14.283	-0.45224 2.2100677 9.812042
2015-06-14-11:32:14.288	-0.41415405 2.16008 9.757294
2015-06-14-11:32:14.293	-0.4189148 2.1517487 9.898926
2015-06-14-11:32:14.298	-0.44033813 2.141037 9.929871
2015-06-14-11:32:14.303	-0.44985962 2.1077118 10.032227
2015-06-14-11:32:14.309	-0.41415405 2.083908 10.163147
2015-06-14-11:32:14.313	-0.43914795 2.1398468 10.1536255
2015-06-14-11:32:14.318	-0.401062 2.0755768 10.263123
2015-06-14-11:32:14.323	-0.42962646 2.0672455 10.24646
2015-06-14-11:32:14.329	-0.45819092 2.03273 10.241699
2015-06-14-11:32:14.333	-0.45581055 2.0815277 10.226227
2015-06-14-11:32:14.338	-0.44628906 2.0815277 10.235748
2015-06-14-11:32:14.345	-0.4343872 2.0232086 10.31311
2015-06-14-11:32:14.349	-0.40820313 2.0351105 10.334534
2015-06-14-11:32:14.354	-0.48199463 2.0089264 10.364288
2015-06-14-11:32:14.358	-0.4510498 1.9803619 10.271454
2015-06-14-11:32:14.364	-0.4998474 1.9958344 10.367859
2015-06-14-11:32:14.369	-0.47842407 1.9458466 10.367859
2015-06-14-11:32:14.374	-0.49508667 1.9636993 10.335724
2015-06-14-11:32:14.379	-0.47128296 1.9636993 10.30835
2015-06-14-11:32:14.384	-0.5319824 1.9363251 10.145294
2015-06-14-11:32:14.390	-0.63552856 1.987503 10.045319
2015-06-14-11:32:14.394	-0.5843506 1.9636993 10.1024475
2015-06-14-11:32:14.399	-0.5664978 2.0351105 9.946533
2015-06-14-11:32:14.404	-0.5093689 1.9791718 9.92868
2015-06-14-11:32:14.409	-0.51174927 1.9577484 9.867981
2015-06-14-11:32:14.414	-0.48675537 1.9886932 9.73587
2015-06-14-11:32:14.419	-0.4760437 1.9732208 9.658508
2015-06-14-11:32:14.424	-0.484375 1.8982391 9.53949
2015-06-14-11:32:14.430	-0.45224 1.929184 9.401428
2015-06-14-11:32:14.442	-0.38916016 1.923233 9.371674
2015-06-14-11:32:14.443	-0.38320923 1.9125214 9.189575
2015-06-14-11:32:14.445	-0.4022522 1.9149017 9.083649
2015-06-14-11:32:14.451	-0.37963867 1.9018097 8.970581
2015-06-14-11:32:14.454	-0.38082886 1.8339691 9.057465
2015-06-14-11:32:14.459	-0.37606812 1.83992 9.138397
2015-06-14-11:32:14.464	-0.3867798 1.8327789 9.277649
2015-06-14-11:32:14.470	-0.43795776 1.762558 9.388336
2015-06-14-11:32:14.474	-0.4189148 1.7256622 9.615662
2015-06-14-11:32:14.479	-0.29751587 1.6899567 9.844177
2015-06-14-11:32:14.484	-0.1880188 1.6363983 10.028656
2015-06-14-11:32:14.490	-0.17611694 1.6209259 10.254791
2015-06-14-11:32:14.495	-0.14993286 1.5840302 10.419037
2015-06-14-11:32:14.499	-0.1880188 1.5530853 10.576141
2015-06-14-11:32:14.505	-0.21063232 1.4983368 10.597565
2015-06-14-11:32:14.511	-0.28323364 1.512619 10.593994
2015-06-14-11:32:14.515	-0.2630005 1.5149994 10.636841
2015-06-14-11:32:14.520	-0.27252197 1.6244965 10.742767
2015-06-14-11:32:14.525	-0.22491455 1.6554413 10.602325
2015-06-14-11:32:14.531	-0.285614 1.6709137 10.517822
2015-06-14-11:32:14.535	-0.3106079 1.7351837 10.327393
2015-06-14-11:32:14.540	-0.39987183 1.7911224 10.003662
2015-06-14-11:32:14.545	-0.48675537 1.8565826 9.791809
2015-06-14-11:32:14.550	-0.57006836 1.9470367 9.643036
2015-06-14-11:32:14.555	-0.6474304 1.9851227 9.481171
2015-06-14-11:32:14.560	-0.7414551 2.064865 9.389526
2015-06-14-11:32:14.565	-0.74383545 2.1196136 9.355011
2015-06-14-11:32:14.570	-0.8069153 2.1779327 9.3133545
2015-06-14-11:32:14.575	-0.83547974 2.2088776 9.369293
2015-06-14-11:32:14.580	-0.8807068 2.2469635 9.360962
2015-06-14-11:32:14.585	-0.8723755 2.275528 9.452606
2015-06-14-11:32:14.591	-0.894989 2.269577 9.495453
2015-06-14-11:32:14.595	-0.95687866 2.3171844 9.6085205
2015-06-14-11:32:14.600	-0.862854 2.2790985 9.616852
2015-06-14-11:32:14.605	-0.8878479 2.2445831 9.685883
2015-06-14-11:32:14.611	-0.80096436 2.2600555 9.719208
2015-06-14-11:32:14.615	-0.77597046 2.1838837 9.6406555
2015-06-14-11:32:14.620	-0.7390747 2.230301 9.679932
2015-06-14-11:32:14.625	-0.6878967 2.192215 9.616852
2015-06-14-11:32:14.631	-0.6736145 2.1957855 9.639465
2015-06-14-11:32:14.635	-0.6152954 2.2207794 9.665649
2015-06-14-11:32:14.641	-0.5914917 2.1624603 9.682312
2015-06-14-11:32:14.647	-0.62005615 2.102951 9.827515
2015-06-14-11:32:14.652	-0.62005615 2.102951 9.827515
2015-06-14-11:32:14.656	-0.7331238 2.1136627 9.915588
2015-06-14-11:32:14.661	-0.76049805 2.0684357 9.931061
2015-06-14-11:32:14.666	-0.78549194 2.076767 10.031036
2015-06-14-11:32:14.671	-0.7497864 2.0660553 9.962006
2015-06-14-11:32:14.676	-0.6248169 2.083908 9.919159
2015-06-14-11:32:14.681	-0.60458374 2.0601044 9.883453
2015-06-14-11:32:14.686	-0.60458374 2.0743866 9.803711
2015-06-14-11:32:14.692	-0.5653076 2.0148773 9.876312
2015-06-14-11:32:14.696	-0.55340576 1.9958344 9.903687
2015-06-14-11:32:14.701	-0.5438843 1.9434662 9.945343
2015-06-14-11:32:14.706	-0.5605469 1.9636993 9.85965
2015-06-14-11:32:14.712	-0.7236023 1.8934784 9.833466
2015-06-14-11:32:14.716	-0.86761475 1.9303741 9.956055
2015-06-14-11:32:14.721	-0.7390747 2.0017853 10.001282
2015-06-14-11:32:14.726	-0.5105591 1.9982147 9.919159
2015-06-14-11:32:14.732	-0.4105835 1.9815521 9.841797
2015-06-14-11:32:14.736	-0.3605957 1.8768158 9.729919
2015-06-14-11:32:14.742	-0.25228882 1.8315887 9.743011
2015-06-14-11:32:14.747	-0.28204346 1.8839569 9.825134
2015-06-14-11:32:14.752	-0.253479 1.9351349 9.783478
2015-06-14-11:32:14.756	-0.21896362 1.872055 9.8072815
2015-06-14-11:32:14.761	-0.28085327 1.8482513 9.812042
2015-06-14-11:32:14.767	-0.2546692 1.8756256 9.707306
2015-06-14-11:32:14.772	-0.2546692 1.8756256 9.707306
2015-06-14-11:32:14.777	-0.23086548 1.858963 9.614471
2015-06-14-11:32:14.782	-0.3201294 1.8661041 9.73111
2015-06-14-11:32:14.787	-0.24395752 1.891098 9.660889
2015-06-14-11:32:14.792	-0.23800659 1.9065704 9.643036
2015-06-14-11:32:14.797	-0.20111084 1.9018097 9.609711
2015-06-14-11:32:14.802	-0.14517212 1.9256134 9.707306
2015-06-14-11:32:14.807	-0.25704956 1.8803864 9.662079
2015-06-14-11:32:14.812	-0.33798218 1.9803619 9.689453
2015-06-14-11:32:14.817	-0.401062 1.9172821 9.572815
2015-06-14-11:32:14.822	-0.49508667 1.9970245 9.622803
2015-06-14-11:32:14.827	-0.63552856 1.9839325 9.722778
2015-06-14-11:32:14.832	-0.6426697 2.0053558 9.587097
2015-06-14-11:32:14.837	-0.696228 2.0815277 9.501404
2015-06-14-11:32:14.843	-0.73431396 2.0946198 9.403809
2015-06-14-11:32:14.848	-0.70098877 2.0232086 9.432373
2015-06-14-11:32:14.852	-0.74502563 2.057724 9.446655
2015-06-14-11:32:14.857	-0.67837524 2.0850983 9.514496
2015-06-14-11:32:14.862	-0.7140808 2.0470123 9.632324
2015-06-14-11:32:14.867	-0.7545471 2.0565338 9.722778
2015-06-14-11:32:14.873	-0.7402649 2.0482025 9.79657
2015-06-14-11:32:14.877	-0.7319336 2.0339203 9.939392
2015-06-14-11:32:14.882	-0.7045593 2.082718 9.931061
2015-06-14-11:32:14.887	-0.71765137 2.0862885 9.881073
2015-06-14-11:32:14.893	-0.696228 2.083908 9.865601
2015-06-14-11:32:14.897	-0.6593323 2.0720062 9.844177
2015-06-14-11:32:14.902	-0.68551636 2.0731964 9.866791
2015-06-14-11:32:14.907	-0.72003174 2.102951 9.825134
2015-06-14-11:32:14.913	-0.7831116 2.1136627 9.739441
2015-06-14-11:32:14.917	-0.8366699 2.082718 9.60376
2015-06-14-11:32:14.923	-0.82714844 2.1303253 9.610901
2015-06-14-11:32:14.928	-0.8533325 2.1636505 9.773956
2015-06-14-11:32:14.933	-0.7581177 2.116043 9.845367
2015-06-14-11:32:14.938	-0.71884155 2.082718 9.935822
2015-06-14-11:32:14.943	-0.66885376 2.0791473 9.950104
2015-06-14-11:32:14.949	-0.6164856 2.1374664 9.903687
2015-06-14-11:32:14.953	-0.62005615 2.0374908 9.894165
2015-06-14-11:32:14.958	-0.62124634 2.1386566 9.900116
2015-06-14-11:32:14.963	-0.5891113 2.076767 9.709686
2015-06-14-11:32:14.968	-0.70098877 2.1112823 9.687073
2015-06-14-11:32:14.973	-0.71170044 2.1493683 9.715637
2015-06-14-11:32:14.978	-0.66052246 2.1636505 9.66684
2015-06-14-11:32:14.983	-0.6664734 2.1696014 9.704926
2015-06-14-11:32:14.988	-0.6498108 2.1719818 9.638275
2015-06-14-11:32:14.994	-0.6486206 2.1291351 9.6716
2015-06-14-11:32:14.998	-0.7057495 2.1386566 9.601379
2015-06-14-11:32:15.003	-0.6819458 2.1529388 9.613281
2015-06-14-11:32:15.008	-0.73669434 2.192215 9.626373
