2015-07-07-15 37 47.445	0.42730713 1.6018829 5.648773
2015-07-07-15 37 47.449	0.38446045 1.6768646 5.665436
2015-07-07-15 37 47.454	0.39874268 1.7958832 5.826111
2015-07-07-15 37 47.459	0.39517212 1.8101654 5.9201355
2015-07-07-15 37 47.464	0.41064453 1.9279938 6.2355347
2015-07-07-15 37 47.469	0.35113525 1.9517975 6.6390076
2015-07-07-15 37 47.474	0.2987671 1.9636993 6.7544556
2015-07-07-15 37 47.479	0.24401855 2.0029755 7.03891
2015-07-07-15 37 47.484	0.240448 2.0398712 7.243622
2015-07-07-15 37 47.490	0.2654419 2.0720062 7.405487
2015-07-07-15 37 47.495	0.25354004 2.0267792 7.603058
2015-07-07-15 37 47.500	0.2487793 1.9898834 7.8565674
2015-07-07-15 37 47.504	0.21426392 1.9351349 7.931549
2015-07-07-15 37 47.509	0.19641113 1.9506073 8.081512
2015-07-07-15 37 47.514	0.1987915 1.8958588 8.273132
2015-07-07-15 37 47.520	0.17141724 1.9660797 8.399292
2015-07-07-15 37 47.524	0.20355225 1.9351349 8.569489
2015-07-07-15 37 47.529	0.240448 1.9387054 8.732544
2015-07-07-15 37 47.535	0.16308594 1.9137115 8.782532
2015-07-07-15 37 47.540	0.15356445 1.9791718 8.870605
2015-07-07-15 37 47.544	0.13571167 1.9886932 8.995575
2015-07-07-15 37 47.550	0.125 1.9494171 9.044373
2015-07-07-15 37 47.555	0.057159424 1.9006195 9.020569
2015-07-07-15 37 47.560	0.05834961 1.8815765 9.039612
2015-07-07-15 37 47.565	0.08572388 1.8375397 8.880127
2015-07-07-15 37 47.570	0.13928223 1.845871 8.775391
2015-07-07-15 37 47.575	0.21307373 1.8494415 8.621857
2015-07-07-15 37 47.580	0.23092651 1.7982635 8.596863
2015-07-07-15 37 47.585	0.31661987 1.7518463 8.427856
2015-07-07-15 37 47.590	0.34280396 1.7720795 8.369537
2015-07-07-15 37 47.599	0.42492676 1.8387299 8.381439
2015-07-07-15 37 47.601	0.35232544 1.8696747 8.430237
2015-07-07-15 37 47.605	0.35232544 1.8696747 8.430237
2015-07-07-15 37 47.610	0.2975769 1.872055 8.611145
2015-07-07-15 37 47.615	0.16546631 1.9494171 8.903931
2015-07-07-15 37 47.620	0.16546631 1.9494171 8.903931
2015-07-07-15 37 47.625	0.05001831 1.8815765 9.0824585
2015-07-07-15 37 47.630	-0.105895996 1.8470612 9.333588
2015-07-07-15 37 47.635	-0.39154053 1.8661041 9.712067
2015-07-07-15 37 47.641	-0.45343018 1.8827667 10.132202
2015-07-07-15 37 47.645	-0.66052246 1.8518219 10.228607
2015-07-07-15 37 47.650	-0.7807312 1.8018341 10.403564
2015-07-07-15 37 47.656	-0.8128662 1.813736 10.624939
2015-07-07-15 37 47.661	-0.81048584 1.7720795 10.754669
2015-07-07-15 37 47.665	-0.6997986 1.6911469 10.858215
2015-07-07-15 37 47.670	-0.6069641 1.7411346 10.865356
2015-07-07-15 37 47.676	-0.50579834 1.7268524 10.964142
2015-07-07-15 37 47.681	-0.67718506 1.5542755 10.929626
2015-07-07-15 37 47.685	-0.78430176 1.3031464 10.867737
2015-07-07-15 37 47.691	-1.0556641 1.0805817 10.902252
2015-07-07-15 37 47.696	-1.3020325 0.8961029 10.904633
2015-07-07-15 37 47.701	-1.4817505 0.79374695 11.048645
2015-07-07-15 37 47.706	-1.5257874 0.80088806 11.084351
2015-07-07-15 37 47.711	-1.4472351 0.9151459 11.181946
2015-07-07-15 37 47.716	-1.3079834 1.0151215 11.534241
2015-07-07-15 37 47.721	-1.15802 1.1960297 11.896057
2015-07-07-15 37 47.726	-1.0187683 1.3745575 12.412598
2015-07-07-15 37 47.731	-0.9556885 1.3864594 12.988647
2015-07-07-15 37 47.736	-0.9473572 1.397171 13.721802
2015-07-07-15 37 47.742	-0.90689087 1.2460175 14.489471
2015-07-07-15 37 47.748	-0.85809326 1.0984344 14.976257
2015-07-07-15 37 47.751	-0.7462158 0.8544464 15.344025
2015-07-07-15 37 47.757	-0.63790894 0.7056732 15.69632
2015-07-07-15 37 47.761	-0.5438843 0.4509735 15.804626
2015-07-07-15 37 47.766	-0.41415405 0.1391449 15.709412
2015-07-07-15 37 47.771	-0.34036255 -0.15483093 15.516602
2015-07-07-15 37 47.776	-0.3106079 -0.49879456 15.155975
2015-07-07-15 37 47.782	-0.3034668 -0.6856537 14.531128
2015-07-07-15 37 47.786	-0.18563843 -0.8820343 13.914612
2015-07-07-15 37 47.792	-0.114227295 -0.9832001 13.176697
2015-07-07-15 37 47.797	-0.15588379 -1.0688934 12.498291
2015-07-07-15 37 47.802	-0.06781006 -0.9546356 11.6996765
2015-07-07-15 37 47.806	-0.16897583 -0.8725128 11.027222
2015-07-07-15 37 47.811	-0.26538086 -0.78681946 10.30954
2015-07-07-15 37 47.817	-0.34869385 -0.6118622 9.787048
2015-07-07-15 37 47.822	-0.4677124 -0.39405823 9.3454895
2015-07-07-15 37 47.826	-0.61886597 -0.10246277 8.975342
2015-07-07-15 37 47.832	-0.8711853 0.16175842 8.784912
2015-07-07-15 37 47.837	-1.1211243 0.4842987 8.767059
2015-07-07-15 37 47.842	-1.3555908 0.774704 8.573059
2015-07-07-15 37 47.847	-1.5579224 1.0520172 8.651611
2015-07-07-15 37 47.852	-1.6257629 1.3209991 8.793243
2015-07-07-15 37 47.857	-1.6757507 1.6387787 8.546875
2015-07-07-15 37 47.862	-1.6602783 1.8089752 8.744446
2015-07-07-15 37 47.867	-1.5888672 1.9958344 8.730164
2015-07-07-15 37 47.872	-1.485321 2.1386566 8.673035
2015-07-07-15 37 47.877	-1.402008 2.2326813 8.5885315
2015-07-07-15 37 47.882	-1.3496399 2.269577 8.511169
2015-07-07-15 37 47.887	-1.080658 2.2600555 8.286224
2015-07-07-15 37 47.892	-1.0437622 2.2457733 8.116028
2015-07-07-15 37 47.899	-0.90927124 2.1457977 7.887512
2015-07-07-15 37 47.904	-0.67123413 2.0684357 7.622101
2015-07-07-15 37 47.907	-0.42248535 2.03273 7.154358
2015-07-07-15 37 47.912	-0.19158936 1.8994293 6.8960876
2015-07-07-15 37 47.917	-0.034484863 1.878006 6.6128235
2015-07-07-15 37 47.923	0.1583252 1.8791962 6.2617188
2015-07-07-15 37 47.927	0.30352783 1.8446808 6.0748596
2015-07-07-15 37 47.932	0.40707397 1.8363495 5.802307
2015-07-07-15 37 47.938	0.47610474 1.8518219 5.597595
2015-07-07-15 37 47.943	0.5046692 1.872055 5.4595337
2015-07-07-15 37 47.947	0.58917236 1.974411 5.4845276
2015-07-07-15 37 47.952	0.6855774 1.9994049 5.3226624
2015-07-07-15 37 47.958	0.79626465 2.1291351 5.364319
2015-07-07-15 37 47.963	0.73080444 2.211258 5.353607
2015-07-07-15 37 47.967	0.81411743 2.2802887 5.455963
2015-07-07-15 37 47.972	0.7748413 2.3552704 5.583313
2015-07-07-15 37 47.978	0.8581543 2.429062 5.717804
2015-07-07-15 37 47.983	0.82006836 2.4778595 5.896332
2015-07-07-15 37 47.988	0.8641052 2.5611725 6.0308228
2015-07-07-15 37 47.993	0.82958984 2.5909271 6.193878
2015-07-07-15 37 47.998	0.8164978 2.6468658 6.4604797
2015-07-07-15 37 48.003	0.80578613 2.60997 6.6592407
2015-07-07-15 37 48.008	0.7403259 2.557602 6.8580017
2015-07-07-15 37 48.013	0.65463257 2.5528412 7.097229
2015-07-07-15 37 48.018	0.5879822 2.558792 7.200775
2015-07-07-15 37 48.023	0.651062 2.4992828 7.3055115
2015-07-07-15 37 48.028	0.6355896 2.4992828 7.5364075
