2015-07-07-15 43 38.241	-0.9354553 2.211258 6.935364
2015-07-07-15 43 38.247	-0.9842529 2.2219696 6.78302
2015-07-07-15 43 38.256	-0.9878235 2.2100677 6.666382
2015-07-07-15 43 38.257	-0.79263306 2.2671967 6.641388
2015-07-07-15 43 38.262	-0.55459595 2.0720062 6.7223206
2015-07-07-15 43 38.270	-0.32369995 2.1505585 6.827057
2015-07-07-15 43 38.272	0.123809814 2.2041168 6.9389343
2015-07-07-15 43 38.278	0.46539307 2.1017609 7.244812
2015-07-07-15 43 38.282	0.7748413 1.9958344 7.7018433
2015-07-07-15 43 38.288	0.9081421 1.8065948 7.944641
2015-07-07-15 43 38.295	1.0819092 1.5923615 8.146973
2015-07-07-15 43 38.299	1.0569153 1.4043121 8.492126
2015-07-07-15 43 38.312	0.96051025 1.1829376 8.701599
2015-07-07-15 43 38.313	0.849823 1.0579681 8.844421
2015-07-07-15 43 38.314	0.7260437 1.0258331 8.984863
2015-07-07-15 43 38.321	0.7819824 1.0758209 9.043182
2015-07-07-15 43 38.322	0.95098877 1.4245453 9.063416
2015-07-07-15 43 38.328	1.2247314 1.6637726 8.340973
2015-07-07-15 43 38.337	0.95098877 1.3424225 7.9470215
2015-07-07-15 43 38.339	0.5118103 1.0936737 7.532837
2015-07-07-15 43 38.343	0.104766846 0.9794159 7.4649963
2015-07-07-15 43 38.348	-0.24038696 0.91038513 7.509033
2015-07-07-15 43 38.353	-0.32369995 0.9294281 7.623291
2015-07-07-15 43 38.358	-0.35583496 0.87586975 7.9006042
2015-07-07-15 43 38.362	-1.3972473 0.6354523 8.475464
2015-07-07-15 43 38.368	0.06072998 0.76994324 8.344543
2015-07-07-15 43 38.373	1.4044495 0.84254456 8.457611
2015-07-07-15 43 38.378	1.8067322 0.70448303 8.444519
2015-07-07-15 43 38.383	1.7388916 0.46406555 8.573059
2015-07-07-15 43 38.388	1.6960449 0.30101013 8.723022
2015-07-07-15 43 38.393	1.7995911 0.3521881 8.678986
2015-07-07-15 43 38.398	2.1804504 0.4509735 8.623047
2015-07-07-15 43 38.403	2.3470764 0.57832336 8.668274
2015-07-07-15 43 38.408	2.4363403 0.66044617 8.743256
2015-07-07-15 43 38.413	2.3839722 0.63783264 8.942017
2015-07-07-15 43 38.419	2.17688 0.6021271 9.228851
2015-07-07-15 43 38.423	2.010254 0.46525574 9.632324
2015-07-07-15 43 38.428	1.7519836 0.312912 9.995331
2015-07-07-15 43 38.436	1.6329651 0.25221252 10.363098
2015-07-07-15 43 38.439	1.5686951 0.20579529 10.63208
2015-07-07-15 43 38.444	1.5115662 0.123672485 10.990326
2015-07-07-15 43 38.448	1.6567688 0.0320282 11.214081
2015-07-07-15 43 38.454	1.8579102 0.054641724 11.504486
2015-07-07-15 43 38.459	2.1447449 -0.044143677 11.753235
2015-07-07-15 43 38.463	2.3530273 -0.07984924 11.956757
2015-07-07-15 43 38.468	2.664856 -0.18577576 12.1614685
2015-07-07-15 43 38.473	2.9635925 -0.3297882 12.194794
2015-07-07-15 43 38.479	3.1611633 -0.5118866 12.209076
2015-07-07-15 43 38.485	3.223053 -0.6190033 12.2769165
2015-07-07-15 43 38.489	3.3861084 -0.75468445 12.284058
2015-07-07-15 43 38.494	3.3872986 -0.8153839 12.278107
2015-07-07-15 43 38.499	4.1692505 -1.5901947 13.144562
2015-07-07-15 43 38.504	4.404907 -1.3557281 14.489471
2015-07-07-15 43 38.508	3.0683289 -1.0748444 12.946991
2015-07-07-15 43 38.514	3.4825134 -1.0177155 12.151947
2015-07-07-15 43 38.519	4.0847473 -0.74754333 12.792267
2015-07-07-15 43 38.524	4.256134 -0.591629 13.2326355
2015-07-07-15 43 38.529	4.1442566 -0.5773468 13.26001
2015-07-07-15 43 38.534	4.0097656 -0.6344757 13.540894
2015-07-07-15 43 38.539	3.883606 -0.71183777 13.5789795
2015-07-07-15 43 38.544	3.8086243 -0.8260956 13.657532
2015-07-07-15 43 38.549	3.6634216 -0.8070526 13.613495
2015-07-07-15 43 38.554	3.6777039 -0.81062317 13.663483
2015-07-07-15 43 38.559	3.7062683 -0.7439728 13.715851
2015-07-07-15 43 38.564	3.703888 -0.71302795 13.667053
2015-07-07-15 43 38.569	3.8669434 -0.674942 13.6111145
2015-07-07-15 43 38.574	4.1026 -0.7237396 13.457581
2015-07-07-15 43 38.579	4.269226 -0.78086853 13.362366
2015-07-07-15 43 38.584	4.4656067 -0.80467224 13.208832
2015-07-07-15 43 38.589	4.602478 -0.8665619 12.927948
2015-07-07-15 43 38.596	4.659607 -0.9653473 12.209076
2015-07-07-15 43 38.600	4.659607 -0.9653473 12.209076
2015-07-07-15 43 38.604	4.6691284 -0.989151 11.806793
2015-07-07-15 43 38.609	4.556061 -1.0105743 11.39975
2015-07-07-15 43 38.614	4.460846 -0.9712982 11.1414795
2015-07-07-15 43 38.620	4.2216187 -0.92726135 10.924866
2015-07-07-15 43 38.624	4.064514 -0.85346985 10.683258
