2015-07-10-13 10 29.758	-1.4043884 2.8741913 8.494507
2015-07-10-13 10 29.763	-1.421051 2.8158722 8.036285
2015-07-10-13 10 29.768	-1.5567322 2.7206573 7.5483093
2015-07-10-13 10 29.773	-1.8245239 2.6528168 7.122223
2015-07-10-13 10 29.778	-2.1661072 2.6016388 6.6378174
2015-07-10-13 10 29.783	-2.5148315 2.6647186 6.306946
2015-07-10-13 10 29.788	-2.7314453 2.7527924 5.8380127
2015-07-10-13 10 29.793	-2.946869 2.8944244 5.461914
2015-07-10-13 10 29.798	-3.1099243 3.039627 4.672821
2015-07-10-13 10 29.803	-3.59552 3.2205353 4.1229553
2015-07-10-13 10 29.808	-3.7776184 3.4038239 3.8694458
2015-07-10-13 10 29.813	-3.7466736 3.6537628 3.7504272
2015-07-10-13 10 29.818	-3.5324402 3.8977509 3.4326477
2015-07-10-13 10 29.823	-3.249176 4.007248 2.914917
2015-07-10-13 10 29.829	-3.08255 4.008438 2.4995422
2015-07-10-13 10 29.834	-3.011139 4.117935 2.2115173
2015-07-10-13 10 29.838	-3.0777893 4.2988434 1.9984741
2015-07-10-13 10 29.843	-3.2313232 4.604721 1.773529
2015-07-10-13 10 29.849	-3.1825256 4.8963165 1.6652222
2015-07-10-13 10 29.853	-3.2134705 5.090317 1.5176392
2015-07-10-13 10 29.858	-3.2991638 5.285507 1.4486084
2015-07-10-13 10 29.863	-3.3551025 5.458084 1.4057617
2015-07-10-13 10 29.869	-3.4146118 5.662796 1.3486328
2015-07-10-13 10 29.873	-3.5740967 5.8246613 1.362915
2015-07-10-13 10 29.879	-3.7407227 5.988907 1.2427063
2015-07-10-13 10 29.884	-3.9311523 6.125778 1.0570374
2015-07-10-13 10 29.889	-3.998993 6.194809 0.9784851
2015-07-10-13 10 29.894	-4.0144653 6.367386 0.91659546
2015-07-10-13 10 29.899	-3.9966125 6.5054474 0.84161377
2015-07-10-13 10 29.904	-3.998993 6.676834 0.6976013
2015-07-10-13 10 29.909	-4.1703796 6.7803802 0.56073
2015-07-10-13 10 29.914	-4.397705 6.918442 0.6071472
2015-07-10-13 10 29.919	-4.6250305 6.9743805 0.6987915
2015-07-10-13 10 29.924	-4.8571167 7.049362 0.7583008
2015-07-10-13 10 29.929	-5.1653748 7.087448 0.98443604
2015-07-10-13 10 29.934	-5.4022217 7.188614 1.1677246
2015-07-10-13 10 29.939	-5.6450195 7.2683563 1.4962158
2015-07-10-13 10 29.944	-5.769989 7.337387 1.862793
2015-07-10-13 10 29.949	-6.0092163 7.221939 2.1163025
2015-07-10-13 10 29.954	-6.2674866 7.1219635 2.440033
2015-07-10-13 10 29.959	-6.5888367 6.951767 2.5971375
2015-07-10-13 10 29.964	-6.624542 6.7232513 2.6554565
2015-07-10-13 10 29.970	-6.5876465 6.485214 2.5971375
2015-07-10-13 10 29.974	-6.5614624 6.182907 2.260315
