2015-07-10-13 13 52.361	-1.7150269 6.2507477 7.7815857
2015-07-10-13 13 52.365	-1.7507324 6.276932 7.8506165
2015-07-10-13 13 52.371	-1.8245239 6.2626495 7.969635
2015-07-10-13 13 52.375	-1.9006958 6.322159 8.117218
2015-07-10-13 13 52.381	-1.8852234 6.2614594 8.2421875
2015-07-10-13 13 52.385	-1.9328308 6.3126373 8.207672
2015-07-10-13 13 52.391	-2.0090027 6.234085 8.400482
2015-07-10-13 13 52.396	-2.0137634 6.175766 8.543304
2015-07-10-13 13 52.401	-2.126831 6.20076 8.602814
2015-07-10-13 13 52.406	-2.1684875 6.2233734 8.559967
2015-07-10-13 13 52.411	-2.2494202 6.2293243 8.545685
2015-07-10-13 13 52.416	-2.204193 6.1602936 8.582581
2015-07-10-13 13 52.421	-2.2065735 6.162674 8.523071
2015-07-10-13 13 52.426	-2.158966 6.1864777 8.475464
2015-07-10-13 13 52.432	-1.9887695 6.425705 8.499268
2015-07-10-13 13 52.436	-1.8042908 6.7113495 8.436188
2015-07-10-13 13 52.441	-1.8721313 7.0315094 8.246948
2015-07-10-13 13 52.448	-2.151825 7.208847 7.9743958
2015-07-10-13 13 52.452	-2.3327332 7.2945404 7.9398804
2015-07-10-13 13 52.456	-2.6802673 7.194565 8.00177
2015-07-10-13 13 52.463	-2.9885254 6.920822 8.287415
2015-07-10-13 13 52.468	-3.2015686 6.657791 8.434998
2015-07-10-13 13 52.472	-3.434845 6.5709076 8.410004
2015-07-10-13 13 52.477	-3.46698 6.560196 8.64447
2015-07-10-13 13 52.481	-3.33844 6.662552 8.64447
2015-07-10-13 13 52.488	-3.2241821 6.754196 8.7039795
2015-07-10-13 13 52.492	-3.2063293 6.7232513 8.693268
2015-07-10-13 13 52.497	-3.088501 6.553055 8.878937
2015-07-10-13 13 52.501	-2.9897156 6.374527 8.914642
2015-07-10-13 13 52.507	-2.857605 6.2186127 8.958679
2015-07-10-13 13 52.514	-2.5338745 6.099594 9.002716
2015-07-10-13 13 52.517	-2.357727 6.0377045 8.972961
2015-07-10-13 13 52.522	-2.222046 5.8841705 9.057465
2015-07-10-13 13 52.527	-2.1922913 5.6901703 9.172913
2015-07-10-13 13 52.532	-2.191101 5.5580597 9.257416
2015-07-10-13 13 52.537	-2.178009 5.374771 9.246704
2015-07-10-13 13 52.542	-2.1946716 5.1093597 9.41095
2015-07-10-13 13 52.547	-2.306549 4.8070526 9.35144
2015-07-10-13 13 52.554	-2.4422302 4.641617 9.47403
2015-07-10-13 13 52.557	-2.5326843 4.309555 9.503784
2015-07-10-13 13 52.562	-2.5065002 4.0120087 9.591858
2015-07-10-13 13 52.569	-2.5921936 3.8251495 9.698975
2015-07-10-13 13 52.573	-2.6159973 3.629959 9.876312
2015-07-10-13 13 52.577	-2.7707214 3.4907074 10.17981
2015-07-10-13 13 52.582	-2.8171387 3.3062286 10.414276
2015-07-10-13 13 52.590	-2.9849548 3.1919708 10.591614
2015-07-10-13 13 52.595	-3.126587 2.9967804 10.685638
2015-07-10-13 13 52.600	-3.2967834 2.8123016 10.6285095
2015-07-10-13 13 52.607	-3.4681702 2.6587677 10.476166
2015-07-10-13 13 52.608	-3.7407227 2.4540558 10.43689
2015-07-10-13 13 52.613	-3.820465 2.4207306 10.288116
2015-07-10-13 13 52.617	-3.9132996 2.4183502 10.152435
2015-07-10-13 13 52.623	-3.8299866 2.3862152 9.996521
2015-07-10-13 13 52.630	-3.7716675 2.3362274 9.280029
2015-07-10-13 13 52.633	-3.7716675 2.3362274 9.280029
2015-07-10-13 13 52.637	-3.710968 2.2541046 8.806335
2015-07-10-13 13 52.643	-3.7228699 2.2517242 8.296936
2015-07-10-13 13 52.648	-3.5514832 2.230301 7.924408
2015-07-10-13 13 52.653	-3.4550781 2.2493439 7.372162
2015-07-10-13 13 52.658	-3.4360352 2.2874298 6.7461243
2015-07-10-13 13 52.663	-3.5788574 2.256485 6.27005
2015-07-10-13 13 52.668	-3.8430786 2.2910004 5.7904053
2015-07-10-13 13 52.674	-5.0225525 2.2386322 5.1881714
2015-07-10-13 13 52.678	-4.820221 2.2707672 4.8108826
2015-07-10-13 13 52.683	-3.2277527 2.5171356 4.8751526
2015-07-10-13 13 52.688	-2.4374695 2.7813568 4.5549927
2015-07-10-13 13 52.693	-2.8528442 2.724228 4.564514
2015-07-10-13 13 52.698	-3.1551514 2.667099 4.526428
2015-07-10-13 13 52.703	-3.069458 2.5873566 4.435974
2015-07-10-13 13 52.708	-2.665985 2.60997 4.0729675
2015-07-10-13 13 52.713	-2.466034 2.5480804 3.742096
2015-07-10-13 13 52.718	-2.2648926 2.4409637 3.4588318
2015-07-10-13 13 52.723	-2.254181 2.3231354 3.2945862
2015-07-10-13 13 52.728	-2.2172852 2.281479 3.1481934
2015-07-10-13 13 52.733	-2.2113342 2.2207794 3.0386963
2015-07-10-13 13 52.738	-2.2339478 2.1196136 3.0018005
2015-07-10-13 13 52.743	-2.1042175 2.1208038 3.1291504
2015-07-10-13 13 52.748	-2.1054077 2.083908 3.3790894
2015-07-10-13 13 52.754	-2.0101929 2.0232086 3.4290771
2015-07-10-13 13 52.758	-1.9542542 1.9851227 3.57547
2015-07-10-13 13 52.763	-1.8685608 1.9589386 3.6516418
2015-07-10-13 13 52.768	-1.818573 1.9506073 3.6802063
2015-07-10-13 13 52.774	-1.6745605 1.858963 3.6516418
2015-07-10-13 13 52.780	-1.54245 1.7458954 3.5421448
2015-07-10-13 13 52.783	-1.54245 1.7458954 3.5421448
2015-07-10-13 13 52.789	-1.4305725 1.6244965 3.4695435
2015-07-10-13 13 52.794	-1.3389282 1.512619 3.5231018
2015-07-10-13 13 52.799	-1.2853699 1.3912201 3.6195068
2015-07-10-13 13 52.804	-1.2032471 1.2281647 3.825409
2015-07-10-13 13 52.809	-1.190155 1.1293793 4.0015564
2015-07-10-13 13 52.814	-1.0901794 0.9889374 4.241974
2015-07-10-13 13 52.819	-1.1401672 0.93299866 4.5335693
2015-07-10-13 13 52.824	-1.0437622 0.80088806 4.819214
2015-07-10-13 13 52.829	-0.092803955 0.54618835 7.379303
2015-07-10-13 13 52.834	-0.092803955 0.54618835 7.379303
2015-07-10-13 13 52.839	-0.70217896 0.56999207 7.335266
2015-07-10-13 13 52.844	-1.2675171 0.46644592 6.340271
2015-07-10-13 13 52.849	-1.2187195 0.5033417 6.585449
2015-07-10-13 13 52.854	-0.9949646 0.53785706 7.61734
