2015-06-23-18 43 22.046	-0.58078 2.1945953 3.5599976
2015-06-23-18 43 22.051	-0.52127075 2.2195892 3.8730164
2015-06-23-18 43 22.057	-0.45224 2.237442 4.2907715
2015-06-23-18 43 22.061	-0.29989624 2.281479 4.6109314
2015-06-23-18 43 22.066	-0.23800659 2.3219452 4.98584
2015-06-23-18 43 22.071	-0.18325806 2.2993317 5.43454
2015-06-23-18 43 22.077	-0.105895996 2.371933 5.738037
2015-06-23-18 43 22.083	-0.029724121 2.4195404 5.9915466
2015-06-23-18 43 22.086	0.08215332 2.4338226 6.20578
2015-06-23-18 43 22.092	0.22497559 2.4778595 6.4069214
2015-06-23-18 43 22.097	0.39160156 2.423111 6.641388
2015-06-23-18 43 22.101	0.5344238 2.4647675 6.834198
2015-06-23-18 43 22.106	0.59869385 2.538559 7.1900635
2015-06-23-18 43 22.112	0.62368774 2.4469147 7.509033
2015-06-23-18 43 22.117	0.58203125 2.4326324 7.8565674
2015-06-23-18 43 22.122	0.53323364 2.4266815 8.3897705
2015-06-23-18 43 22.127	0.4284973 2.3957367 8.946777
2015-06-23-18 43 22.132	0.40707397 2.3290863 9.601379
2015-06-23-18 43 22.137	0.50109863 2.2410126 10.315491
2015-06-23-18 43 22.142	0.75460815 2.16008 10.860596
2015-06-23-18 43 22.147	0.8569641 2.0743866 11.216461
2015-06-23-18 43 22.152	0.87005615 1.83992 11.316437
2015-06-23-18 43 22.157	0.83673096 1.7994537 11.27478
2015-06-23-18 43 22.162	0.8081665 1.7744598 11.097443
2015-06-23-18 43 22.167	0.62249756 1.7387543 10.746338
2015-06-23-18 43 22.172	0.43325806 1.8542023 10.472595
2015-06-23-18 43 22.177	0.072631836 1.9982147 10.347626
2015-06-23-18 43 22.182	-0.3356018 2.0755768 10.529724
2015-06-23-18 43 22.187	-0.69503784 2.0779572 10.914154
2015-06-23-18 43 22.192	-0.9890137 2.0874786 11.606842
2015-06-23-18 43 22.198	-0.9854431 2.0981903 12.348328
2015-06-23-18 43 22.202	-0.7652588 1.9708405 13.113617
2015-06-23-18 43 22.207	-0.56411743 1.9279938 13.993164
2015-06-23-18 43 22.212	-0.25704956 1.9172821 14.93222
2015-06-23-18 43 22.218	-0.1546936 1.9910736 15.647522
2015-06-23-18 43 22.222	0.021453857 2.0624847 15.895081
2015-06-23-18 43 22.227	0.16070557 2.2100677 15.543976
2015-06-23-18 43 22.235	0.651062 2.640915 13.418304
2015-06-23-18 43 22.239	0.651062 2.640915 13.418304
2015-06-23-18 43 22.242	0.89505005 2.6575775 12.100769
2015-06-23-18 43 22.248	1.2128296 2.7266083 10.674927
2015-06-23-18 43 22.253	1.6270142 2.9194183 9.504974
2015-06-23-18 43 22.258	2.068573 3.0824738 8.123169
2015-06-23-18 43 22.263	2.1625977 3.4062042 7.110321
2015-06-23-18 43 22.268	2.2875671 3.647812 6.390259
2015-06-23-18 43 22.273	2.3756409 3.9203644 6.065338
2015-06-23-18 43 22.279	2.2828064 3.9905853 6.0177307
2015-06-23-18 43 22.283	2.0804749 4.072708 6.185547
2015-06-23-18 43 22.289	1.7329407 4.059616 6.5437927
2015-06-23-18 43 22.293	1.34375 3.9596405 7.071045
2015-06-23-18 43 22.299	0.9878845 3.7692108 8.016052
2015-06-23-18 43 22.303	0.75460815 3.4978485 8.895599
2015-06-23-18 43 22.308	0.7748413 3.2490997 9.901306
2015-06-23-18 43 22.313	0.91052246 3.0931854 10.897491
2015-06-23-18 43 22.319	1.1140442 2.8563385 11.72467
2015-06-23-18 43 22.323	1.228302 2.615921 12.379272
2015-06-23-18 43 22.328	1.1806946 2.4373932 12.68277
2015-06-23-18 43 22.333	0.99264526 2.2802887 12.873199
2015-06-23-18 43 22.339	0.62368774 2.199356 12.973175
2015-06-23-18 43 22.343	0.20355225 2.154129 13.044586
2015-06-23-18 43 22.348	-0.39630127 2.0017853 13.185028
2015-06-23-18 43 22.354	-0.946167 1.929184 13.417114
2015-06-23-18 43 22.359	-1.3805847 1.7768402 13.362366
2015-06-23-18 43 22.363	-1.7519226 1.6435394 13.160034
2015-06-23-18 43 22.368	-2.1244507 1.6221161 12.774414
2015-06-23-18 43 22.374	-2.4303284 1.5328522 11.308105
2015-06-23-18 43 22.379	-2.4303284 1.5328522 11.308105
2015-06-23-18 43 22.385	-1.9923401 1.628067 9.106262
2015-06-23-18 43 22.389	-1.9923401 1.628067 9.106262
2015-06-23-18 43 22.394	-1.3996277 1.4388275 6.9722595
2015-06-23-18 43 22.399	-0.9723511 1.3590851 6.5473633
2015-06-23-18 43 22.403	-0.5510254 1.3317108 6.371216
2015-06-23-18 43 22.408	-0.036865234 1.2388763 6.5176086
2015-06-23-18 43 22.414	0.32733154 1.2281647 6.6913757
2015-06-23-18 43 22.419	0.6689148 1.2162628 6.7235107
2015-06-23-18 43 22.424	0.9914551 1.2531586 6.9520264
2015-06-23-18 43 22.429	1.2830505 1.2519684 7.0674744
2015-06-23-18 43 22.434	1.4115906 1.2995758 7.2674255
2015-06-23-18 43 22.439	1.6008301 1.3114777 7.2793274
2015-06-23-18 43 22.444	1.7174683 1.3900299 7.1448364
2015-06-23-18 43 22.449	1.8162537 1.4828644 6.8960876
2015-06-23-18 43 22.454	1.8364868 1.5626068 6.5664063
2015-06-23-18 43 22.459	1.837677 1.6673431 6.1200867
2015-06-23-18 43 22.464	1.7686462 1.813736 5.82135
2015-06-23-18 43 22.469	1.7472229 1.9648895 5.488098
2015-06-23-18 43 22.474	1.6543884 2.044632 5.4321594
2015-06-23-18 43 22.480	1.5210876 2.076767 5.3821716
2015-06-23-18 43 22.484	1.1902161 2.1969757 5.6440125
2015-06-23-18 43 22.489	0.83673096 2.3243256 6.0486755
2015-06-23-18 43 22.494	0.3796997 2.4243011 6.5604553
2015-06-23-18 43 22.500	0.061920166 2.436203 7.160309
2015-06-23-18 43 22.504	-0.19277954 2.379074 7.738739
2015-06-23-18 43 22.509	-0.20349121 2.3350372 8.1922
2015-06-23-18 43 22.515	-0.021392822 2.2041168 8.748016
2015-06-23-18 43 22.520	0.04525757 2.0541534 9.184814
2015-06-23-18 43 22.524	0.24401855 1.9827423 9.482361
2015-06-23-18 43 22.530	0.6117859 1.8553925 9.92392
2015-06-23-18 43 22.537	0.69628906 1.7185211 10.214325
2015-06-23-18 43 22.541	0.8069763 1.5804596 10.583282
2015-06-23-18 43 22.545	0.78674316 1.5518951 11.072449
2015-06-23-18 43 22.550	0.54156494 1.499527 11.345001
2015-06-23-18 43 22.555	0.22021484 1.467392 11.613983
2015-06-23-18 43 22.560	-0.31298828 1.3626556 11.736572
2015-06-23-18 43 22.565	-0.830719 1.2519684 12.159088
2015-06-23-18 43 22.570	-1.4460449 1.1710358 12.643494
2015-06-23-18 43 22.575	-1.9899597 1.0067902 13.042206
2015-06-23-18 43 22.581	-2.3172607 0.90919495 13.509949
2015-06-23-18 43 22.585	-2.479126 0.63783264 13.911041
2015-06-23-18 43 22.590	-2.4565125 0.39265442 14.402588
2015-06-23-18 43 22.595	-2.2958374 0.08558655 14.807251
2015-06-23-18 43 22.600	-2.1542053 -0.11317444 15.332123
