2015-06-30-18 29 46.165	0.23568726 2.1957855 9.161011
2015-06-30-18 29 46.171	0.15951538 2.2552948 9.28241
2015-06-30-18 29 46.176	0.17855835 2.167221 9.170532
2015-06-30-18 29 46.181	0.09643555 2.1386566 9.088409
2015-06-30-18 29 46.186	-0.0071105957 2.0850983 8.969391
2015-06-30-18 29 46.192	-0.052337646 2.0303497 8.877747
2015-06-30-18 29 46.196	-0.14755249 1.9172821 8.975342
2015-06-30-18 29 46.201	-0.3022766 1.8161163 9.184814
2015-06-30-18 29 46.206	-0.401062 1.7554169 9.469269
2015-06-30-18 29 46.213	-0.43795776 1.7018585 9.684692
2015-06-30-18 29 46.216	-0.50579834 1.6673431 9.966766
2015-06-30-18 29 46.221	-0.52246094 1.5816498 10.071503
2015-06-30-18 29 46.226	-0.40463257 1.5816498 10.3333435
2015-06-30-18 29 46.234	-0.26776123 1.6649628 10.485687
2015-06-30-18 29 46.236	-0.07852173 1.6816254 10.701111
2015-06-30-18 29 46.242	0.083343506 1.8482513 10.922485
2015-06-30-18 29 46.248	0.26068115 1.9089508 11.034363
2015-06-30-18 29 46.252	0.48919678 1.9279938 10.992706
2015-06-30-18 29 46.257	0.7284241 1.942276 11.0260315
2015-06-30-18 29 46.262	0.8843384 1.9446564 11.158142
2015-06-30-18 29 46.267	0.95336914 1.9149017 11.5842285
2015-06-30-18 29 46.272	1.0212097 1.9446564 11.843689
2015-06-30-18 29 46.277	1.029541 1.9970245 12.249542
2015-06-30-18 29 46.282	0.9414673 2.0791473 12.542328
2015-06-30-18 29 46.287	0.7938843 2.1362762 12.780365
2015-06-30-18 29 46.292	0.6498718 2.2172089 12.844635
2015-06-30-18 29 46.298	0.3630371 2.3552704 12.454254
2015-06-30-18 29 46.303	0.3630371 2.3552704 12.454254
2015-06-30-18 29 46.307	-0.35702515 2.2874298 12.098389
2015-06-30-18 29 46.314	-0.6557617 2.1588898 11.768707
2015-06-30-18 29 46.318	-1.2103882 1.7054291 11.27597
2015-06-30-18 29 46.324	-0.8961792 1.9137115 10.829651
2015-06-30-18 29 46.327	-0.8045349 2.019638 10.682068
2015-06-30-18 29 46.333	-0.84262085 2.0815277 10.551147
2015-06-30-18 29 46.337	-0.9378357 2.1446075 10.31192
2015-06-30-18 29 46.343	-1.1246948 2.333847 10.103638
2015-06-30-18 29 46.348	-1.3674927 2.3921661 10.042938
2015-06-30-18 29 46.353	-1.5150757 2.295761 10.021515
2015-06-30-18 29 46.358	-1.6828918 2.3171844 10.048889
2015-06-30-18 29 46.364	-1.9947205 2.2076874 9.907257
2015-06-30-18 29 46.368	-2.1982422 2.082718 9.907257
2015-06-30-18 29 46.373	-2.556488 1.7768402 9.783478
2015-06-30-18 29 46.377	-3.6383667 0.46525574 9.815613
2015-06-30-18 29 46.382	-4.7476196 -0.58210754 9.783478
2015-06-30-18 29 46.388	-4.2132263 -0.40000916 8.783722
2015-06-30-18 29 46.393	-3.0349426 0.3533783 8.00296
2015-06-30-18 29 46.400	-1.8626099 0.9877472 7.4804688
2015-06-30-18 29 46.403	-0.7212219 1.4792938 7.468567
2015-06-30-18 29 46.408	0.22021484 1.7637482 8.119598
2015-06-30-18 29 46.416	0.39874268 1.781601 8.932495
2015-06-30-18 29 46.418	0.19165039 1.5816498 9.47403
2015-06-30-18 29 46.423	-0.1463623 1.2793427 10.196472
2015-06-30-18 29 46.428	-0.40463257 1.0198822 10.433319
2015-06-30-18 29 46.435	-0.34988403 0.80326843 10.678497
2015-06-30-18 29 46.438	-0.221344 0.54499817 10.670166
2015-06-30-18 29 46.443	-0.042816162 0.26411438 10.7439575
2015-06-30-18 29 46.450	-0.221344 -0.1405487 10.678497
2015-06-30-18 29 46.454	-0.43676758 -0.71421814 10.677307
2015-06-30-18 29 46.458	-0.7378845 -1.2486115 10.590424
2015-06-30-18 29 46.463	-0.99972534 -1.7151642 10.601135
2015-06-30-18 29 46.468	-1.138977 -2.1019745 10.529724
2015-06-30-18 29 46.474	-1.1056519 -2.5054474 10.722534
2015-06-30-18 29 46.478	-1.2746582 -2.7303925 10.88916
2015-06-30-18 29 46.483	-1.3960571 -2.8910675 10.873688
2015-06-30-18 29 46.488	-1.3282166 -2.8589325 10.709442
2015-06-30-18 29 46.494	-1.1116028 -2.6613617 10.473785
2015-06-30-18 29 46.498	-1.0985107 -2.3293 10.642792
2015-06-30-18 29 46.503	-1.2960815 -2.2114716 10.754669
2015-06-30-18 29 46.508	-0.7057495 -2.0900726 10.892731
2015-06-30-18 29 46.514	-0.28204346 -1.8603668 11.287872
2015-06-30-18 29 46.518	0.10357666 -1.3795319 11.231934
2015-06-30-18 29 46.524	0.28805542 -1.0296173 11.048645
2015-06-30-18 29 46.529	0.29638672 -0.9308319 10.610657
2015-06-30-18 29 46.534	0.2571106 -1.0474701 10.175049
2015-06-30-18 29 46.539	-0.082092285 -1.1855316 9.80014
2015-06-30-18 29 46.544	-0.37249756 -1.1664886 9.47403
2015-06-30-18 29 46.549	-0.4355774 -1.0450897 9.201477
2015-06-30-18 29 46.554	-0.45700073 -0.87846375 9.053894
2015-06-30-18 29 46.562	-0.37130737 -0.7927704 8.811096
2015-06-30-18 29 46.564	-0.3034668 -0.7237396 8.719452
2015-06-30-18 29 46.569	-0.16778564 -0.6261444 8.619476
2015-06-30-18 29 46.574	-0.022583008 -0.63209534 8.567108
2015-06-30-18 29 46.580	0.104766846 -0.49046326 8.548065
2015-06-30-18 29 46.584	0.3380432 -0.40953064 8.592102
2015-06-30-18 29 46.589	0.43563843 -0.33454895 8.487366
2015-06-30-18 29 46.594	0.59750366 -0.33216858 8.402863
2015-06-30-18 29 46.600	0.64868164 -0.35002136 8.31955
2015-06-30-18 29 46.604	0.6843872 -0.3059845 8.307648
2015-06-30-18 29 46.609	0.81292725 -0.20124817 8.167206
2015-06-30-18 29 46.615	0.8093567 -0.15126038 8.020813
2015-06-30-18 29 46.619	0.72247314 -0.08937073 7.783966
2015-06-30-18 29 46.624	0.5951233 -0.0667572 7.576874
2015-06-30-18 29 46.629	0.5272827 -0.03819275 7.4197693
2015-06-30-18 29 46.635	0.45825195 0.03916931 7.1710205
2015-06-30-18 29 46.639	0.31781006 0.24745178 7.149597
2015-06-30-18 29 46.645	0.01550293 0.3533783 7.160309
2015-06-30-18 29 46.650	-0.138031 0.40931702 7.0805664
2015-06-30-18 29 46.655	-0.3451233 0.47120667 7.019867
2015-06-30-18 29 46.659	-0.3701172 0.47477722 7.0484314
2015-06-30-18 29 46.664	-0.35702515 0.42478943 6.97583
2015-06-30-18 29 46.670	-0.41296387 0.4105072 7.1210327
2015-06-30-18 29 46.675	-0.32250977 0.52119446 7.1507874
2015-06-30-18 29 46.679	-0.16540527 0.4842987 7.2293396
2015-06-30-18 29 46.684	-0.20706177 0.5009613 7.61734
2015-06-30-18 29 46.690	-0.32369995 0.6164093 7.905365
2015-06-30-18 29 46.695	-0.5069885 0.6068878 8.279083
2015-06-30-18 29 46.700	-0.7914429 0.6068878 8.534973
2015-06-30-18 29 46.705	-1.2556152 0.5426178 8.893219
2015-06-30-18 29 46.710	-1.5448303 0.5592804 9.231232
2015-06-30-18 29 46.715	-1.7209778 0.5200043 9.449036
2015-06-30-18 29 46.720	-1.7781067 0.43788147 9.729919
2015-06-30-18 29 46.725	-1.8280945 0.38194275 9.994141
2015-06-30-18 29 46.730	-1.8792725 0.31529236 10.169098
2015-06-30-18 29 46.735	-1.9804382 0.20103455 10.407135
2015-06-30-18 29 46.740	-1.8816528 0.12010193 10.579712
2015-06-30-18 29 46.745	-1.7019348 0.061782837 10.705872
2015-06-30-18 29 46.752	-1.2330017 0.1058197 10.782043
2015-06-30-18 29 46.756	-1.2330017 0.1058197 10.782043
2015-06-30-18 29 46.760	-0.997345 0.046310425 10.670166
2015-06-30-18 29 46.765	-0.80810547 0.021316528 10.56543
2015-06-30-18 29 46.770	-0.65219116 0.05821228 10.43689
2015-06-30-18 29 46.776	-0.631958 0.091537476 10.50592
2015-06-30-18 29 46.780	-0.4927063 0.091537476 10.290497
2015-06-30-18 29 46.785	-0.4915161 0.021316528 9.187195
2015-06-30-18 29 46.790	-0.4105835 -0.056045532 8.299316
2015-06-30-18 29 46.796	-0.6593323 0.10105896 9.059845
2015-06-30-18 29 46.800	-0.8200073 0.49143982 10.557098
2015-06-30-18 29 46.805	-0.8735657 0.7735138 11.131958
2015-06-30-18 29 46.811	-1.6781311 0.75328064 11.27002
2015-06-30-18 29 46.816	-2.5231628 0.63783264 11.616364
2015-06-30-18 29 46.821	-3.1218262 0.5319061 11.767517
2015-06-30-18 29 46.825	-4.010895 0.31767273 11.953186
2015-06-30-18 29 46.831	-3.8228455 0.7378082 11.819885
2015-06-30-18 29 46.836	-3.544342 1.0365448 11.698486
2015-06-30-18 29 46.841	-3.3229675 1.3293304 11.677063
2015-06-30-18 29 46.846	-3.1027832 1.4281158 11.512817
2015-06-30-18 29 46.851	-2.9635315 1.4423981 11.259308
2015-06-30-18 29 46.856	-2.7540588 1.5876007 11.134338
2015-06-30-18 29 46.861	-2.6766968 1.6256866 10.972473
2015-06-30-18 29 46.866	-2.7516785 1.6554413 10.996277
2015-06-30-18 29 46.871	-2.7064514 1.7197113 11.085541
2015-06-30-18 29 46.876	-2.7278748 1.7220917 11.073639
2015-06-30-18 29 46.881	-2.7647705 1.7316132 11.071259
2015-06-30-18 29 46.886	-2.723114 1.7506561 11.2569275
2015-06-30-18 29 46.891	-2.7112122 1.7042389 11.3723755
2015-06-30-18 29 46.897	-2.7838135 1.595932 11.499725
2015-06-30-18 29 46.902	-2.7909546 1.4471588 11.511627
2015-06-30-18 29 46.906	-2.7909546 1.4471588 11.511627
2015-06-30-18 29 46.911	-2.5314941 1.2757721 11.907959
2015-06-30-18 29 46.917	-2.1732483 1.0413055 12.344757
2015-06-30-18 29 46.921	-1.6971741 0.8306427 12.4756775
2015-06-30-18 29 46.926	-1.0818481 0.8306427 12.668488
2015-06-30-18 29 46.931	-0.5938721 0.85206604 12.988647
2015-06-30-18 29 46.937	-0.1963501 0.9389496 13.300476
2015-06-30-18 29 46.941	0.053588867 1.0591583 13.526611
2015-06-30-18 29 46.947	0.35351563 1.1508026 13.765839
2015-06-30-18 29 46.952	0.34518433 1.1424713 13.897949
2015-06-30-18 29 46.957	0.34518433 1.1424713 13.897949
2015-06-30-18 29 46.962	-0.101135254 1.0413055 13.909851
2015-06-30-18 29 46.966	-0.66052246 0.723526 13.949127
2015-06-30-18 29 46.972	-1.1604004 0.43193054 13.850342
2015-06-30-18 29 46.977	-1.716217 0.25578308 13.526611
2015-06-30-18 29 46.982	-2.2172852 0.10820007 13.023163
2015-06-30-18 29 46.987	-2.7671509 -0.02748108 12.30072
2015-06-30-18 29 46.992	-3.4467468 -0.2809906 11.597321
2015-06-30-18 29 46.998	-4.242981 -0.59757996 10.996277
2015-06-30-18 29 47.002	-5.001129 -0.7749176 10.254791
2015-06-30-18 29 47.007	-5.550995 -1.0688934 9.598999
2015-06-30-18 29 47.012	-6.3388977 -1.418808 8.569489
2015-06-30-18 29 47.017	-6.6197815 -1.4735565 8.179108
2015-06-30-18 29 47.022	-6.579315 -1.450943 7.911316
2015-06-30-18 29 47.027	-6.475769 -1.3116913 7.660187
2015-06-30-18 29 47.032	-6.1246643 -1.1914825 7.573303
2015-06-30-18 29 47.037	-5.6973877 -1.0867462 7.4590454
2015-06-30-18 29 47.042	-5.1903687 -0.94511414 7.372162
2015-06-30-18 29 47.047	-4.7535706 -0.8237152 7.4483337
2015-06-30-18 29 47.054	-4.287018 -0.7439728 7.6768494
2015-06-30-18 29 47.058	-3.8109436 -0.6951752 7.751831
2015-06-30-18 29 47.062	-3.177765 -0.64637756 7.9660645
2015-06-30-18 29 47.067	-2.7135925 -0.5618744 7.981537
2015-06-30-18 29 47.072	-2.3101196 -0.4047699 7.9470215
2015-06-30-18 29 47.078	-1.9447327 -0.38334656 7.720886
2015-06-30-18 29 47.082	-1.6281433 -0.31074524 7.2983704
2015-06-30-18 29 47.087	-1.3639221 -0.40119934 6.8758545
2015-06-30-18 29 47.092	-1.0092468 -0.38453674 6.391449
2015-06-30-18 29 47.098	-0.6664734 -0.24290466 5.9022827
2015-06-30-18 29 47.103	-0.37606812 -0.06913757 5.402405
2015-06-30-18 29 47.107	-0.11065674 0.078445435 4.929901
2015-06-30-18 29 47.113	-0.001159668 0.20936584 4.4692993
2015-06-30-18 29 47.118	0.059539795 0.29148865 4.231262
2015-06-30-18 29 47.123	-0.06781006 0.4033661 3.9360962
2015-06-30-18 29 47.128	-0.060668945 0.49143982 3.761139
2015-06-30-18 29 47.133	-0.11303711 0.5259552 3.454071
2015-06-30-18 29 47.138	-0.08685303 0.5997467 3.2148438
2015-06-30-18 29 47.143	-0.18087769 0.66282654 2.9994202
2015-06-30-18 29 47.148	-0.26895142 0.7342377 2.7601929
2015-06-30-18 29 47.153	-0.401062 0.7306671 2.5400085
2015-06-30-18 29 47.158	-0.46414185 0.78660583 2.3281555
2015-06-30-18 29 47.163	-0.5081787 0.7961273 2.0841675
2015-06-30-18 29 47.168	-0.6486206 0.8401642 1.9068298
2015-06-30-18 29 47.173	-0.8985596 0.8365936 1.71521
2015-06-30-18 29 47.178	-1.1830139 0.8163605 1.77948
2015-06-30-18 29 47.183	-1.394867 0.8223114 1.7842407
2015-06-30-18 29 47.188	-1.7126465 0.8246918 1.875885
2015-06-30-18 29 47.193	-2.049469 0.79374695 2.1912842
2015-06-30-18 29 47.199	-2.286316 0.7794647 2.3614807
2015-06-30-18 29 47.204	-2.620758 0.6640167 2.7720947
2015-06-30-18 29 47.208	-4.8749695 0.1796112 3.3671875
2015-06-30-18 29 47.213	-5.07135 0.21055603 3.8373108
2015-06-30-18 29 47.219	-3.9775696 0.71281433 4.1705627
2015-06-30-18 29 47.223	-3.1682434 1.1424713 4.4585876
2015-06-30-18 29 47.229	-2.4993591 1.4043121 4.748993
2015-06-30-18 29 47.234	-0.9378357 1.7197113 5.987976
2015-06-30-18 29 47.240	-0.05114746 2.430252 7.656616
2015-06-30-18 29 47.244	-1.6174316 1.9041901 7.1579285
2015-06-30-18 29 47.251	-3.063507 1.0353546 7.391205
2015-06-30-18 29 47.254	-2.9421082 0.76161194 8.862274
2015-06-30-18 29 47.259	-2.1208801 0.88420105 10.659454
2015-06-30-18 29 47.264	-1.2127686 1.0520172 11.859161
2015-06-30-18 29 47.269	-0.6997986 1.0674896 12.374512
2015-06-30-18 29 47.274	-0.3617859 1.1222382 12.930328
2015-06-30-18 29 47.279	0.14285278 1.2245941 13.45401
2015-06-30-18 29 47.284	0.5844116 1.3578949 13.975311
2015-06-30-18 29 47.289	0.7034302 1.5721283 14.4835205
2015-06-30-18 29 47.294	0.59155273 1.7256622 15.107178
2015-06-30-18 29 47.300	0.39993286 1.8565826 15.854614
2015-06-30-18 29 47.304	0.051208496 2.0113068 16.52945
2015-06-30-18 29 47.309	-0.38082886 2.2041168 17.180481
2015-06-30-18 29 47.314	-0.9854431 2.4016876 17.722015
2015-06-30-18 29 47.319	-1.5210266 2.5159454 18.207611
2015-06-30-18 29 47.324	-1.9637756 2.7325592 18.611084
2015-06-30-18 29 47.329	-2.331543 2.7813568 18.83603
2015-06-30-18 29 47.334	-2.4755554 2.8432465 19.006226
2015-06-30-18 29 47.340	-2.4874573 2.7432709 19.215698
2015-06-30-18 29 47.344	-2.5398254 2.5861664 19.281158
2015-06-30-18 29 47.349	-2.299408 2.423111 19.346619
2015-06-30-18 29 47.356	-2.235138 2.1505585 19.438263
2015-06-30-18 29 47.360	-2.139923 1.8494415 19.440643
2015-06-30-18 29 47.364	-2.0078125 1.5983124 19.251404
2015-06-30-18 29 47.370	-1.9268799 1.4233551 18.816986
2015-06-30-18 29 47.375	-1.8626099 1.2531586 18.13858
2015-06-30-18 29 47.380	-1.9221191 1.115097 17.319733
2015-06-30-18 29 47.385	-1.8649902 0.95680237 16.302124
2015-06-30-18 29 47.389	-1.6721802 0.85087585 15.435669
2015-06-30-18 29 47.395	-1.4353333 0.7151947 14.625153
2015-06-30-18 29 47.401	-1.1092224 0.5926056 13.796783
2015-06-30-18 29 47.405	-0.80215454 0.5283356 13.13147
2015-06-30-18 29 47.410	-0.46414185 0.45454407 12.344757
2015-06-30-18 29 47.415	-0.34155273 0.22245789 11.748474
2015-06-30-18 29 47.420	0.0059814453 0.30220032 11.191467
2015-06-30-18 29 47.425	0.39993286 0.4200287 10.682068
2015-06-30-18 29 47.430	0.6522522 0.41645813 10.321442
2015-06-30-18 29 47.435	0.80340576 0.40693665 9.850128
2015-06-30-18 29 47.440	0.86291504 0.28315735 9.508545
2015-06-30-18 29 47.445	0.8664856 0.17842102 9.321686
2015-06-30-18 29 47.450	0.8890991 0.13795471 9.062225
2015-06-30-18 29 47.455	0.9497986 0.16889954 8.776581
2015-06-30-18 29 47.460	0.96170044 0.10343933 8.314789
2015-06-30-18 29 47.465	0.89505005 0.10939026 7.8244324
2015-06-30-18 29 47.470	0.77008057 0.11772156 7.309082
2015-06-30-18 29 47.475	0.6867676 0.03678894 7.0412903
2015-06-30-18 29 47.481	0.51657104 0.053451538 6.7806396
2015-06-30-18 29 47.485	0.39279175 0.016555786 6.628296
2015-06-30-18 29 47.490	0.16546631 0.011795044 6.629486
2015-06-30-18 29 47.495	-0.017822266 -0.052474976 6.749695
2015-06-30-18 29 47.501	-0.30465698 -0.09889221 6.9663086
2015-06-30-18 29 47.506	-0.51293945 -0.15007019 7.1829224
2015-06-30-18 29 47.510	-0.5760193 -0.20957947 7.649475
2015-06-30-18 29 47.516	-0.61053467 -0.21910095 8.142212
2015-06-30-18 29 47.521	-0.5248413 -0.34526062 8.462372
2015-06-30-18 29 47.525	-0.44033813 -0.40834045 8.9670105
2015-06-30-18 29 47.530	-0.19396973 -0.6023407 9.425232
2015-06-30-18 29 47.536	0.013122559 -0.82966614 9.73468
2015-06-30-18 29 47.541	0.15237427 -0.9391632 9.995331
2015-06-30-18 29 47.546	0.3713684 -1.0653229 10.145294
2015-06-30-18 29 47.551	0.6260681 -1.2105255 10.30835
2015-06-30-18 29 47.556	0.94384766 -1.2831268 10.161957
2015-06-30-18 29 47.561	1.0711975 -1.2426605 10.044128
2015-06-30-18 29 47.566	1.2342529 -1.2033844 9.916779
2015-06-30-18 29 47.571	1.1914063 -1.1962433 9.99295
